lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ancilla	NN	[-100,0]	1	22_30	 	, sua lumina natis? </line><line> Poena reversura est in caput ista tuum. </line><line> Omnia feminea sunt ista libidine mota; </line><line> Acrior est nostra, plusque furoris habet. </line><line> Ergo age, ne dubita cunctas sperare puellas; </line><line> Vix erit e multis, quae neget, una, tibi. </line><line> Quae dant quaeque negant, gaudent tamen esse rogatae: </line><line> Ut iam fallaris, tuta repulsa tua est. </line><line> Sed cur fallaris, cum sit nova grata voluptas </line><line> Et capiant animos plus aliena suis? </line><line> Fertilior seges est alienis semper in agris, </line><line> Vicinumque pecus grandius uber habet. </line><line> Sed prius ancillam captandae nosse puellae </line><line> Cura sit: accessus molliet illa tuos. </line><line> Proxima consiliis dominae sit ut illa, videto, </line><line> Neve parum tacitis conscia fida iocis. </line><line> Hanc tu pollicitis, hanc tu corrumpe rogando: </line><line> Quod petis, ex facili, si volet illa, feres. </line><line> Illa leget tempus( medici quoque tempora servant) </line><line> Quo facilis dominae mens sit et apta capi. </line><line> Mens erit apta capi tum, cum laetissima rerum </line><line> Ut seges in pingui luxuriabit humo. </line><line> Pectora dum gaudent nec sunt adstricta dolore, </line><line> Ipsa patent, blanda tum subit arte Venus. </line><line> Tum	664:672	0:1348
ancilla	NN	[-100,0]	1	22_31	 	ex facili, si volet illa, feres. </line><line> Illa leget tempus( medici quoque tempora servant) </line><line> Quo facilis dominae mens sit et apta capi. </line><line> Mens erit apta capi tum, cum laetissima rerum </line><line> Ut seges in pingui luxuriabit humo. </line><line> Pectora dum gaudent nec sunt adstricta dolore, </line><line> Ipsa patent, blanda tum subit arte Venus. </line><line> Tum, cum tristis erat, defensa est Ilios armis: </line><line> Militibus gravidum laeta recepit equum. </line><line> Tum quoque temptanda est, cum paelice laesa dolebit: </line><line> Tum facies opera, ne sit inulta, tua. </line><line> Hanc matutinos pectens ancilla capillos </line><line> Incitet, et velo remigis addat opem, </line><line> Et se cum tenui suspirans murmure dicat </line>  <line> ; At, puto, non poteras ipsa referre vicem.; </line><line> Tum de te narret, tum persuadentia verba  </line><line> Addat, et insano iuret amore mori. </line><line> Sed propera, ne vela cadant auraeque residant: </line><line> Ut fragilis glacies, interit ira mora. </line><line> Quaeris, an hanc ipsam prosit violare ministram? </line><line> Talibus admissis alea grandis inest. </line><line> Haec a concubitu fit sedula, tardior illa, </line><line> Haec dominae munus te parat, illa sibi. </line><line> Casus in eventu est: licet	653:660	0:1321
ancilla	NN	[-100,0]	1	22_32	 	, interit ira mora. </line><line> Quaeris, an hanc ipsam prosit violare ministram? </line><line> Talibus admissis alea grandis inest. </line><line> Haec a concubitu fit sedula, tardior illa, </line><line> Haec dominae munus te parat, illa sibi. </line><line> Casus in eventu est: licet hic indulgeat ausis, </line><line> Consilium tamen est abstinuisse meum. </line><line> Non ego per praeceps et acuta cacumina vadam, </line><line> Nec iuvenum quisquam me duce captus erit. </line><line> Si tamen illa tibi, dum dat recipitque tabellas, </line><line> Corpore, non tantum sedulitate placet, </line><line> Fac domina potiare prius, comes illa sequatur: </line><line> Non tibi ab ancilla est incipienda venus. </line><line> Hoc unum moneo, siquid modo creditur arti, </line><line> Nec mea dicta rapax per mare ventus agit: </line><line> Aut non rem temptes aut perfice; tollitur index, </line><line> Cum semel in partem criminis ipsa venit. </line><line> Non avis utiliter viscatis effugit alis; </line><line> Non bene de laxis cassibus exit aper. </line><line> Saucius arrepto piscis teneatur ab hamo: </line><line> Perprime temptatam, nec nisi victor abi. </line><line> Tunc neque te prodet communi noxia culpa, </line><line> Factaque erunt dominae dictaque nota tibi. </line><line> Sed bene celetur: bene si celabitur index, </line><line> Notitiae suberit semper amica tuae. </line>	678:685	0:1384
ancilla	NN	[-100,0]	1	22_33	 	saepe iacebis humo. </line><line> Cynthius Admeti vaccas pavisse Pheraei </line><line> fertur, et in parva delituisse casa. </line><line> quod Phoebum decuit, quem non decet? exue fastus, </line><line> curam mansuri quisquis amoris habes. </line><line> si tibi per tutum planumque negabitur ire </line><line> atque erit opposita ianua fulta sera, </line><line> at tu per praeceps tecto delabere aperto: </line><line> det quoque furtivas alta fenestra vias. </line><line> laeta erit, et causam tibi se sciet esse pericli; </line><line> hoc dominae certi pignus amoris erit. </line><line> saepe tua poteras, Leandre, carere puella: </line><line> transnabas, animum nosset ut illa tuum. </line><line> nec pudor ancillas, ut quaeque erit ordine prima, </line><line> nec tibi sit servos demeruisse pudor. </line><line> nomine quemque suo( nulla est iactura) saluta, </line><line> iunge tuis humiles ambitiose manus. </line><line> sed tamen et servo( levis est inpensa) roganti </line><line> porrige Fortunae munera parva die; </line><line> porrige et ancillae, qua poenas luce pependit </line><line> lusa maritali Gallica veste manus. </line><line> fac plebem, mihi crede, tuam; sit semper in illa </line><line> ianitor et thalami qui iacet ante fores. </line><line> nec dominam iubeo pretioso munere dones: </line><line> parva, sed e parvis callidus apta dato. </line><line> dum bene dives ager	708:716	0:1391
ancilla	NN	[-100,0]	1	22_34	 	tu per praeceps tecto delabere aperto: </line><line> det quoque furtivas alta fenestra vias. </line><line> laeta erit, et causam tibi se sciet esse pericli; </line><line> hoc dominae certi pignus amoris erit. </line><line> saepe tua poteras, Leandre, carere puella: </line><line> transnabas, animum nosset ut illa tuum. </line><line> nec pudor ancillas, ut quaeque erit ordine prima, </line><line> nec tibi sit servos demeruisse pudor. </line><line> nomine quemque suo( nulla est iactura) saluta, </line><line> iunge tuis humiles ambitiose manus. </line><line> sed tamen et servo( levis est inpensa) roganti </line><line> porrige Fortunae munera parva die; </line><line> porrige et ancillae, qua poenas luce pependit </line><line> lusa maritali Gallica veste manus. </line><line> fac plebem, mihi crede, tuam; sit semper in illa </line><line> ianitor et thalami qui iacet ante fores. </line><line> nec dominam iubeo pretioso munere dones: </line><line> parva, sed e parvis callidus apta dato. </line><line> dum bene dives ager, cum rami pondere nutant, </line><line> adferat in calatho rustica dona puer. </line><line> rure suburbano poteris tibi dicere missa, </line><line> illa vel in Sacra sint licet empta Via. </line><line> adferat aut uvas aut, quas Amaryllis amabat, </line><line> at nunc castaneas non amat illa nuces. </line><line> quin etiam turdoque	682:690	0:1361
ancilla	NN	[-100,0]	1	22_35	 	fenere reddunt, </line><line> nec semper dubias adiuvat aura rates; </line><line> quod iuvat, exiguum, plus est, quod laedat amantes: </line><line> proponant animo multa ferenda suo. </line><line> quot lepores in Atho, quot apes pascuntur in Hybla, </line><line> caerula quot bacas Palladis arbor habet, </line><line> litore quot conchae, tot sunt in amore dolores; </line><line> quae patimur, multo spicula felle madent. </line><line> dicta erit isse foras: intus fortasse videbis: </line><line> isse foras, et te falsa videre puta. </line><line> clausa tibi fuerit promissa ianua nocte: </line><line> perfer et inmunda ponere corpus humo. </line><line> forsitan et vultu mendax ancilla superbo </line><line> dicet; quid nostras obsidet iste fores?; </line><line> postibus et durae supplex blandire puellae </line><line> et capiti demptas in fore pone rosas. </line><line> cum volet, accedes: cum te vitabit, abibis; </line><line> dedecet ingenuos taedia ferre sui. </line>  <line> ; effugere hunc non est; quare tibi possit amica </line><line> dicere? non omni tempore sensus obest. </line><line> nec maledicta puta, nec Vera ferre puellae </line><line> turpe nec ad teneros oscula ferre pedes. </line><line> quid moror in parvis? animus maioribus instat; </line><line> magna canam: toto pectore, vulgus, ades. </line><line> ardua molimur, sed nulla,	680:687	0:1353
ancilla	NN	[-100,0]	1	22_36	 	<line> fingat, an ex animo sollicitusque roget; </line><line> postque brevem rescribe moram: mora semper amantes </line><line> incitat, exiguum si modo tempus habet. </line><line> sed neque te facilem iuveni promitte roganti </line><line> nec tamen e duro quod petit ille nega. </line><line> fac timeat speretque simul, quotiensque remittes, </line><line> spesque magis veniat certa minorque metus. </line><line> munda sed e medio consuetaque Va, puellae, </line><line> scribite: sermonis publica forma placet. </line><line> a, quotiens dubius scriptis exarsit amator </line><line> et nocuit formae barbara lingua bonae! </line><line> sed quoniam, quamvis vittae careatis honore, </line><line> est vobis vestros fallere cura viros, </line><line> ancillae puerique manu perarate tabellas, </line><line> pignora nec iuveni credite vestra novo. </line><line> vidi ego pallentes isto terrore puellas </line><line> servitium miseras tempus in omne pati; </line><line> perfidus ille quidem, qui talia pignora servat, </line><line> sed tamen Aetnaei fulminis instar habent. </line><line> iudice me fraus est concessa repellere fraudem, </line><line> armaque in armatos sumere iura sinunt. </line><line> ducere consuescat multas manus una figuras </line>  <line> ( a, pereant, per quos ista monenda mihi!) </line><line> nec nisi deletis tutum rescribere ceris, </line><line> ne teneat geminas una tabella manus. </line><line> femina dicatur scribenti semper amator: </line>  <line> ; illa; sit in vestris	746:754	0:1497
ancilla	NN	[-100,0]	1	22_37	 	, senescet amor. </line><line> tum bene fortis equus reserato carcere currit, </line><line> cum quos praetereat quosque sequatur habet. </line><line> quamlibet extinctos iniuria suscitat ignes: </line><line> en ego, confiteor, non nisi laesus amo. </line><line> causa tamen nimium non sit manifesta doloris, </line><line> pluraque sollicitus, quam sciet, esse putet. </line><line> incitat et ficti tristis custodia servi </line><line> et nimium duri cura molesta viri. </line><line> quae venit ex tuto, minus est accepta voluptas; </line><line> ut sis liberior Thaide, finge metus. </line><line> cum melius foribus possis, admitte fenestra </line><line> inque tuo vultu signa timentis habe. </line><line> callida prosiliat dicatque ancilla; perimus!; </line><line> tu iuvenem trepidum quolibet abde loco. </line><line> admiscenda tamen Venus est secura timori, </line><line> ne tanti noctes non putet esse tuas. </line><line> qua vafer eludi possit ratione maritus </line><line> quaque vigil custos, praeteriturus eram. </line><line> nupta virum timeat, rata sit custodia nuptae; </line><line> hoc decet, hoc leges iusque pudorque iubent. </line><line> te quoque servari, modo quam vindicta redemit, </line><line> quis ferat? ut fallas, ad mea sacra veni. </line><line> tot licet observent, adsit modo certa voluntas, </line><line> quot fuerant Argo lumina, verba  dabis. </line><line> scilicet obstabit custos ne scribere possis	732:739	0:1430
ancilla	NN	[-100,0]	1	22_38	 	mihi, capiunt hominesque deosque: </line><line> placatur donis Iuppiter ipse datis. </line><line> quid sapiens faciet? stultus cum munere gaudet: </line><line> ipse quoque accepto munere mutus erit. </line><line> sed semel est custos longum redimendus in aevum; </line><line> saepe dabit, dederit quas semel, ille manus. </line><line> questus eram, memini, metuendos esse sodales; </line><line> non tangit solos ista querella viros. </line><line> credula si fueris, aliae tua gaudia carpent </line><line> et lepus hic aliis exagitatus erit. </line><line> haec quoque, quae praebet lectum studiosa locumque, </line><line> crede mihi, mecum non semel illa fuit. </line><line> nec nimium vobis formosa ancilla ministret: </line><line> saepe vicem dominae praebuit illa mihi. </line><line> quo feror insanus? quid aperto pectore in hostem </line><line> mittor, et indicio prodor ab ipse meo? </line><line> non avis aucupibus monstrat, qua parte petatur, </line><line> non docet infestos currere cerva canes. </line><line> viderit utilitas; ego coepta fideliter edam: </line><line> Lemniasin gladios in mea fata dabo. </line><line> efficite( et facile est) ut nos credamus amari: </line><line> prona venit cupidis in sua vota fides. </line><line> spectet amabilius iuvenem et suspiret ab imo </line><line> femina, tam sero cur veniatque roget; </line><line> accedant lacrimae, dolor et de paelice fictus	699:706	0:1399
ancilla	NN	[-100,100]	1	22_39	 	, ut deducat eas in Ida monte ad Alexandrum Paridem eumque iubeat iudicare. Cui Iuno, si secundum se iudicasset, pollicita est in omnibus terris eum regnaturum, divitem praeter ceteros praestaturum; Minerva, si inde victrix discederet, fortissimum inter mortales futurum et omni artificio scium; Venus autem Helenam Tyndarei filiam formosissimam omnium mulierum se in coniugium dare promisit. Paris donum posterius prioribus anteposuit Veneremque pulcherrimam esse iudicavit; ob id Iuno et Minerva Troianis fuerunt infestae. Alexander Veneris impulsu Helenam a Lacedaemone ab hospite Menelao Troiam abduxit eamque in coniugio habuit cum ancillis duabus Aethra et Thisadie, quas Castor et Pollux captivas ei assignarant, aliquando reginas. </section><section> LXV. Cassandra Cassandra Priami et Hecubae filia in Apollinis fano ludendo lassa obdormisse dicitur; quam Apollo cum vellet comprimere, corporis copiam non fecit. Ob quam rem Apollo fecit, ut, cum vera vaticinaretur, fidem non haberet. </section><section> LXVI. Anchisa Venus Anchisam Assaraci filium amasse et cum eo concubuisse dicitur, ex quo procreavit Aeneam eique praecepit, ne id apud homines enuntiaret. Quod Anchises inter sodales per vinum est elocutus. Ob id a Iove fulmine	637:645	0:1244
ancilla	NN	[-100,0]	1	22_40	 	, domum venit; calceos et vestimenta mutavit; paulisper, dum se uxor( ut fit) comparat, commoratus est; dein profectus id temporis cum iam Clodius, si quidem eo die Romani venturus erat, redire potuisset. Ob viam fit ei Clodius, expeditus, in equo, nulla raeda, nullis impedimentis; nullis Graecis comitibus, ut solebat; sine uxore, quod numquam fere: cum hic insidiator, qui iter illud ad caedem faciendam apparasset, cum uxore veheretur in raeda, paenulatus, magno et impedito et muliebri ac delicato ancillarum puerorumque comitatu. Fit ob viam Clodio ante fundum eius hora fere undecima, aut non multo secus. Statim complures cum telis in hunc faciunt de loco superiore impetum: adversi raedarium occidunt. Cum autem hic de raeda reiecta paenula desiluisset, seque acri animo defenderet, illi qui erant cum Clodio, gladiis eductis, partim recurrere ad raedam, ut a tergo Milonem adorirentur; partim, quod hunc iam interfectum putarent, caedere incipiunt eius servos, qui post erant: ex quibus qui animo fideli in dominum et praesenti fuerunt, partim occisi sunt	503:513	0:1066
ancilla	NN	[-100,0]	1	22_41	 	? Devertit in villam Pompei. Pompeium ut videret? sciebat in Alsiensi esse: villam ut perspiceret? miliens in ea fuerat. Quid ergo erat? morae et tergiversationes: dum hic veniret, locum relinquere noluit. </section><section> Age nunc; iter expediti latronis cum Milonis impedimentis comparate. Semper ille antea cum uxore, tum sine ea; numquam nisi in raeda, tum in equo; comites Graeculi quocumque ibat, etiam cum in castra Etrusca properabat, tum nugarum in comitatu nihil. Milo, qui numquam, tum casu pueros symphoniacos uxoris ducebat et ancillarum greges. Ille, qui semper se cum scorta, semper exoletos, semper lupas duceret, tum neminem, nisi ut virum a viro lectum esse diceres. Cur igitur victus est? Quia non semper viator a latrone, non numquam etiam latro a viatore occiditur: quia, quamquam paratus in imparatos Clodius, tamen mulier inciderat in viros. Nec vero sic erat umquam non paratus Milo contra illum, ut non satis fere esset paratus. Semper[ ille] et quantum interesset P. Clodi se perire, et quanto illi odio esset, et	543:553	0:1043
