lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
beatus	JJ	[-100,0]	1	14_2	 	- Quid? ad recte honeste laudabiliter, postremo ad bene vivendum satisne est praesidi in virtute?- Certe satis.- Potes igitur aut, qui male vivat, non eum miserum dicere aut, quem bene fateare, eum negare beate vivere?- Quidni possim? nam etiam in tormentis recte honeste laudabiliter et ob eam rem bene vivi potest, dum modo intellegas, quid nunc dicam'' bene.'' Dico enim constanter graviter sapienter fortiter. Haec etiam in eculeum coiciuntur, quo vita non adspirat beata.- Quid igitur? solane beata vita, quaeso, relinquitur extra ostium limenque carceris, cum constantia gravitas fortitudo sapientia reliquaeque virtutes rapiantur ad tortorem nullumque recusent nec supplicium nec dolorem?- Tu, si quid es facturus, nova aliqua conquiras oportet; ista me minime movent, non solum quia pervulgata sunt, sed multo magis, quia, tamquam levia quadam vina nihil valent in aqua, sic Stoicorum ista magis gustata quam potata delectant. Velut iste chorus virtutum in eculeum impositus imagines constituit ante oculos cum amplissima dignitate, ut ad eas cursim perrectura nec eas beata vita a	498:503	0:1090
beatus	JJ	[-100,0]	1	14_10	 	, alterius mens rationibus agitandis exquirendisque alebatur cum oblectatione sollertiae, qui est unus suavissimus pastus animorum, alterius in caede et iniuriis cum et diurno et nocturno metu. Age confer Democritum Pythagoram, Anaxagoram: quae regna, quas opes studiis eorum et delectationibus antepones? Etenim, quae pars optuma est in homine, in ea situm esse necesse est illud, quod quaeris, optumum. Quid est autem in homine sagaci ac bona mente melius? Eius bono fruendum est igitur, si beati esse volumus; bonum autem mentis est virtus; ergo hac beatam vitam contineri necesse est. Hinc omnia quae pulchra honesta praeclara sunt, ut supra dixi, sed dicendum idem illud paulo uberius videtur, plena gaudiorum sunt. Ex perpetuis autem plenisque gaudiis cum perspicuum sit vitam beatam existere, sequitur ut ea existat ex honestate. Sed ne verbis solum attingamus ea quae volumus ostendere, proponenda quaedam quasi moventia sunt, quae nos magis ad cognitionem intellegentiamque convertant. Sumatur enim nobis quidam praestans vir optumis artibus, isque animo parumper et cogitatione fingatur. Primum ingenio eximio sit necesse est; tardis enim mentibus virtus non	553:559	0:1169
beatus	JJ	[-100,0]	1	14_27	 	, cui aut adsit aut adesse possit multitudo malorum? Qui autem poterit esse celsus et erectus et ea, quae homini accidere possunt, omnia parva ducens, qualem sapientem esse volumus, nisi omnia sibi in se posita censebit? An Lacedaemonii Philippo minitante per litteras se omnia quae conarentur prohibiturum quaesiverunt, num se esset etiam mori prohibiturus: vir is, quem quaerimus, non multo facilius tali animo reperietur quam civitas universa? Quid? ad hanc fortitudinem, de qua loquimur, temperantia adiuncta, quae sit moderatrix omnium commotionum, quid potest ad beate vivendum deesse ei, quem fortitudo ab aegritudine et a metu vindicet, temperantia cum a libidine avocet, tum insolenti alacritate gestire non sinat? Haec efficere virtutem ostenderem, nisi superioribus diebus essent esplicata. Atque. cum perturbationes animi miseriam, sedationes autem vitam efficiant beatam, duplexque ratio perturbationis sit, quod aegritudo et metus in malis opinatis, in bonorum autem errore laetitia gestiens libidoque versetur, quae omnia cum consilio et ratione pugnant, his tu tam gravibus concitationibus tamque ipsis inter se dissentientibus atque distractis quem vacuum solutum liberum videris, hunc dubitabis	569:574	0:1213
beatus	JJ	[-100,0]	1	14_32	 	, e quibus haec nata sunt, vera esse non possint. Docent enim nos, ut scis, dialectici, si ea, quae rem aliquam sequantur, falsa sint, falsam illam ipsam esse, quam sequantur. Ita fit illa conclusio non solum vera, sed ita perspicua, ut dialectici ne rationem quidem reddi putent oportere: si illud, hoc; non autem hoc: igitur ne illud quidem. Sic consequentibus vestris sublatis prima tolluntur. Quae sequuntur igitur? Omnes, qui non sint sapientes, aeque miseros esse, sapientes omnes summe beatos, recte facta omnia aequalia, omnia peccata paria; quae cum magnifice primo dici viderentur, considerata minus probabantur. Sensus enim cuiusque et natura rerum atque ipsa veritas clamabat quodam modo non posse adduci, ut inter eas res, quas Zeno exaequaret, nihil interesset. Postea tuus ille Poenulus- scis enim Citieos, clientes tuos, e Phoenica profectos-, homo igitur acutus, causam non optinens repugnante natura verba versare coepit et primum rebus iis, quas nos bonas ducimus, concessit, ut haberentur aestimabiles et ad naturam accommodatae, faterique coepit	493:499	0:1067
beatus	JJ	[-100,0]	1	14_33	 	, Epicure, pareo, sequor, utor te ipso duce, obliviscor etiam malorum, ut iubes, eoque facilius, quod ea ne in malis quidem ponenda censeo. Sed traducis cogitationes meas ad voluptates. Quas? Corporis, credo, aut quae propter corpus vel recordatione vel spe cogitentur. Num quid est aliud? rectene interpretor sententiam tuam? Solent enim isti negare nos intellegere, quid dicat Epicurus. Hoc dicit, et hoc ille acriculus me audiente Athenis senex Zeno, istorum acutissimus, contendere et magna voce dicere solebat: eum esse beatum, qui praesentibus voluptatibus frueretur confideretque se fruiturum aut in omni aut in magna parte vitali dolore non interveniente, aut si interveniret, si summus foret, futurum brevem, sin productior, plus habiturum iucundi quam mali; haec cogitantem fore beatum, praesertim cum et ante perceptis bonis contentus esset; et; nec mortem nec deos extimesceret. Habes formam Epicuri vitae beatae Vis Zenonis expressam, nihil ut possit negari. Quid ergo? huiusne vitae propositio et cogitatio aut Thyestem levare poterit aut Aeetam, de quo paulo ante dixi, aut Telamonem pulsum	525:531	0:1106
beatus	JJ	[-100,0]	1	14_34	 	, et post eos Polemo et Crates unaque Crantor in Academia congregati diligenter ea, quae a superioribus acceperant, tuebantur. Iam Polemonem audiverant assidue Zeno et Arcesilas. Sed Zeno, cum Arcesilum anteiret aetate valdeque subtiliter clissereret et peracute moveretur, corrigere conatus est disciplinam eam quoque si videtur correctionem explicabo, sicut solebat Antiochus.'''' Mihi vero'' inquam'' videtur, quod vides idem significare Pomponium.'' Va.'' Zeno igitur nullo modo is erat qui ut Theophrasttis nervos virtutis inciderit, sed contra qui omnia quae[ que] ad beatam vitam pertinerent in una virtute poneret nec quicquam aliud numeraret hi bonis idque appellaret honestum quod esset simplex quoddam et solum et unum bonum. cetera autem etsi nec bona nec mala essent tamen alia secundum naturam dicebat alia naturae esse contraria, his is ipsis alia interiecta et media numerabat. quae autem secundum naturam essent ea sumenda et quadam aestimatione dignanda docebat, contraque contraria; neutra autem in mediis relinquebat, in quibus ponebat nihil omnino esse momenti. sed quae essent sumenda, ex iis alia pluris esse aestimanda alia minoris. quae pluris ea praeposita	574:580	0:1183
beatus	JJ	[-100,0]	1	14_35	 	, et quod virtus stabilitatem, firmitatem, constantiam totius vitae complectatur, nec haec eadem in artibus esse videamus. Deinceps explicatur differentia rerum, quam si non ullam esse diceremus, confunderetur omnis vita, ut ab Aristone, neque ullum sapientiae munus aut opus inveniretur, cum inter res eas, quae ad vitam degendam pertinerent, nihil omnino interesset, neque ullum dilectum adhiberi oporteret. itaque cum esset satis constitutum id solum esse bonum, quod esset honestum, et id malum solum, quod turpe, tum inter illa, quae nihil valerent ad beate misereve vivendum, aliquid tamen, quod differret, esse voluerunt, ut essent eorum alia aestimabilia, alia contra, alia neutrum. quae autem aestimanda essent, eorum in aliis satis esse causae, quam ob rem quibusdam anteponerentur, ut in valitudine, ut in integritate sensuum, ut in doloris vacuitate, ut gloriae, divitiarum, similium rerum, alia autem non esse eius modi, itemque eorum, quae nulla aestimatione digna essent, partim satis habere causae, quam ob rem reicerentur, ut dolorem, morbum, sensuum amissionem, paupertatem,	557:562	0:1093
beatus	JJ	[-100,0]	1	14_36	 	, in populo, in causis publicis esse volumus. Nec ulla tamen ei philosophiae fiet iniuria a nobis; non enim repelletur inde, quo adgredi cupiet, sed in hortulis quiescet suis, ubi vult, ubi etiam recubans molliter et delicate nos avocat a Rostris, a iudiciis, a curia, fortasse sapienter, hac praesertim re publica. Verum ego non quaero nunc, quae sit philosophia verissima, sed quae oratori coniuncta maxime; qua re istos sine ulla contumelia dimittamus; sunt enim et boni viri et, quoniam sibi ita videntur, beati; tantumque eos admoneamus, ut illud, etiam si est verissimum, tacitum tamen tamquam mysterium teneant, quod negant versari in re publica esse sapientis; nam si hoc nobis atque optimo cuique persuaserint, non poterunt ipsi esse, id quod maxime cupiunt, otiosi. Stoicos autem, quos minime improbo, dimitto tamen nec eos iratos vereor, quoniam omnino irasci nesciunt; atque hanc eis habeo gratiam, quod soli ex omnibus eloquentiam virtutem ac sapientiam esse dixerunt. Sed nimirum est in his, quod ab hoc, quem instruimus oratore, valde	510:515	0:1050
beatus	JJ	[-100,0]	1	14_37	 	, item contra miseriam omnem in dolore, id primum videamus, beate vivere vestrum quale sit. atque hoc dabitis, ut opinor, si modo sit aliquid esse beatum, id oportere totum poni in potestate sapientis. nam si amitti vita beata potest, beata esse non potest. quis enim confidit semper sibi illud stabile et firmum permansurum, quod fragile et caducum sit? qui autem diffidet perpetuitati bonorum suorum, timeat necesse est, ne aliquando amissis illis sit miser. beatus autem esse in maximarum rerum timore nemo potest. nemo igitur esse beatus potest. neque enim in aliqua parte, sed in perpetuitate temporis vita beata dici solet, nec appellatur omnino vita, nisi confecta atque absoluta, nec potest quisquam alias beatus esse, alias miser; qui enim existimabit posse se miserum esse beatus non erit. nam cum suscepta semel est beata vita, tam permanet quam ipsa illa effectrix beatae vitae sapientia neque expectat ultimum tempus aetatis, quod Croeso scribit Herodotus praeceptum a Solone. At enim, quem ad modum tute dicebas, negat Epicurus diuturnitatem quidem temporis ad beate vivendum aliquid afferre, nec	535:541	0:1111
beatus	JJ	[-100,0]	1	14_38	 	, Musa, fuisse potest? o quis te in terris loquitur iucundior uno?( Clio nam certe candida non loquitur.) quare illud satis est, si te permittis amari: nam contra ut sit amor mutuus, unde mihi? Ite hinc, inanes, ite, rhetorum ampullae, inflata rhoezo non Achaico verba; et vos, Selique Tarquitique Varroque, scholasticorum natio madens pingui, ite hinc, inane cymbalon iuventutis; tuque, o mearum cura, Sexte, curarum, vale, Sabine; iam valete, formosi. Nos ad beatos vela mittimus portus magni petentes docta dicta Sironis, vitamque ab omni vindicabimus cura. ite hinc, Camenae, vos quoque ite iam sane, dulces Camenae( nam fatebimur verum, dulces fuistis), et tamen meas chartas revisitote, sed pudenter et raro. Socer, beate nec tibi nec alteri, generque Noctuine, putidum caput, tuoque nunc puella talis et tuo stupore pressa rus abibit? ei mihi, ut ille versus usquequaque pertinet:; gener socerque, perdidistis omnia;. Si licet, hoc sine fraude, Vari dulcissime,	461:467	0:969
