lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
cohors	NN	[-100,0]	1	8_6	 	, aut si omne ius decretis eius statueretur, Antonione an Bruto legiones populi Romani adiudicaret? Alter advolarat subito ad direptionem pestemque sociorum, ut, quacumque iret, omnia vastaret, diriperet, auferret, exercitu populi Romani contra ipsum populum Romanum uteretur; alter eam legem sibi statuerat, ut, quocumque venisset, lux venisse quaedam et spes salutis videretur. Denique alter ad evertendam rem publicam praesidia quaerebat, alter ad conservandam. Nec vero nos hoc magis videbamus quam ipsi milites, a quibus tanta in iudicando prudentia non erat postulanda. Cum VII cohortibus esse Apolloniae scribit Antonium, qui iam captus est( quod di duint!) aut certe homo verecundus in Macedoniam non accedit, ne contra senatus consultum fecisse videatur. Dilectus habitus in Macedonia est summo Q. Hortensi studio et industria, cuius animum egregium dignumque ipso et maioribus eius ex Bruti litteris perspicere potuistis. Legio, quam L. Piso ducebat, legatus Antoni, Ciceroni se filio meo tradidit. Equitatus, qui in Syriam ducebatur bipertito, alter eum quaestorem, a quo ducebatur, reliquit in Thessalia seseque ad Brutum contulit, alterum in Macedonia	584:594	0:1165
cohors	NN	[-100,0]	1	8_8	 	, captum Cominium, victorem collegam adesse; adniterentur vincere priusquam gloria alterius exercitus foret. Haec insidens equo; inde tribunis centurionibusque imperat ut viam equitibus patefaciant; ipse Trebonio Caedicioque praedixerat, ubi se cuspidem erectam quatientem vidissent, quanta maxima vi possent concitarent equites in hostem. Ad nutum omnia, ut ex ante praeparato, fiunt; panduntur inter ordines viae; provolat eques atque infestis cuspidibus in medium agmen hostium ruit perrumpitque ordines quacumque impetum dedit. Instant Volumnius et Scipio et perculsos sternunt. Tum, iam deorum hominumque victa vi, funduntur linteatae cohortes; pariter iurati iniuratique fugiunt nec quemquam praeter hostes metuunt. Peditum agmen quod superfuit pugnae in castra aut Aquiloniam compulsum est; nobilitas equitesque Bovianum perfugerunt. Equites eques sequitur, peditem pedes; diversa cornua dextrum ad castra Samnitium, laevum ad urbem tendit. Prior aliquanto Volumnius castra cepit; ad urbem Scipioni maiore resistitur vi, non quia plus animi victis est sed melius muri quam vallum armatos arcent; inde lapidibus propulsant hostem. Scipio, nisi in primo pavore priusquam colligerentur animi transacta res esset, lentiorem fore munitae urbis oppugnationem ratus, interrogat	640:648	0:1278
cohors	NN	[-100,0]	1	8_13	 	, cum ad nos Cotylam mitteret, ornamentum atque arcem amicorum suorum, hominem aedilicium? si vero tum fuit aedilis, cum eum iussu Antoni in convivio servi publici loris ceciderunt. At quam modesta mandata! Ferrei sumus, patres conscripti, qui quicquam huic negemus.'' Utramque provinciam'', inquit'' remitto, exercitum depono, privatus esse non recuso.'' Haec sunt enim Va. Redire ad se videtur.'' Omnia obliviscor, in gratiam redeo.'' Sed quid adiungit?'' si legionibus meis sex, si equitibus, si cohorti praetoriae praemia agrumque dederitis.'' Iis etiam praemia postulat, quibus ut ignoscatur si postulet, impudentissimus iudicetur. Addit praeterea, ut, quos ipse cum Dolabella dederit agros, teneant ii, quibus dati sint. Hic est Campanus ager et Leontinus, quae duo maiores nostri annonae perfugia ducebant. Cavet mimis, aleatoribus, lenonibus, Cafoni etiam et Saxa cavet, quos centuriones pugnaces et lacertosos inter mimorum et mimarum greges collocavit. Postulat praeterea, ut[ chirographorum] sua[ et commentariorum] collegaeque sui decreta maneant. Quid laborat, ut	499:506	0:1077
cohors	NN	[-100,0]	1	8_14	 	, cum auspicio operam dedisset, profectus ut locum quem vellet priusquam hostes sentirent caperet, praeter castra hostium circumducit et prima luce acie instructa sub ipsum vallum tres cohortes mittit. mirantes barbari ab tergo apparvisse Romanum, discurrere; et; ipsi ad arma. interim consul apud suos'' nusquam nisi in virtute spes est, milites'', inquit'' et ego sedulo ne esset feci. inter castra nostra et nos medii hostes et ab tergo hostium ager est. quod pulcherrimum, idem tutissimum: in virtute spem positam habere''. sub haec cohortes recipi iubet, ut barbaros simulatione fugae eliceret. id quod crediderat evenit. pertimuisse et cedere rati Romanos porta erumpunt et quantum inter castra sua et aciem hostium relictum erat loci armatis complent. dum trepidant acie instruenda, consul iam paratis ordinatisque omnibus incompositos adgreditur. equites primos ab utroque cornu in pugnam induxit; sed in dextro extemplo pulsi cedentesque trepidi etiam pediti terrorem intulere. quod ubi consul vidit, duas cohortes delectas ab dextro latere hostium circumduci iubet et ab tergo se ostendere priusquam concurrerent peditum acies. is terror obiectus hosti rem metu Romanorum	537:545	0:1182
cohors	NN	[-300,0]	1	8_20	 	, Cybeles nemora simul, simul ite, Dindymenae dominae uaga pecora, aliena quae petentes uelut exules loca sectam meam exsecutae duce me mihi comites rapidum salum tulistis truculentaque pelagi et corpus euirastis ueneris nimio odio, hilarate erae citatis erroribus animum. Mora tarda mente cedat; simul ite, sequimini Phrygiam ad domum Cybebes, Phrygia ad nemora deae, ubi cymbalum sonat uox, ubi tympana reboant, tibicen ubi canit Phryx curuo graue calamo, ubi capita Maenades ui iaciunt hederigerae, ubi sacra sancta acutis ululatibus agitant, ubi sueuit illa diuae uolitare uaga cohors; quo nos decet citatis celerare tripudiis". Simul haec comitibus Attis cecinit notha mulier, thiasus repente linguis trepidantibus ululat, leue tympanum remugit, caua cymbala recrepant, uiridem citus adit Idam properante pede chorus. Furibunda simul anhelans uaga uadit, animam agens, comitata tympano Attis per opaca nemora dux, ueluti iuuenca uitans onus indomita iugi; rapidae ducem secuntur Gallae properipedem. Itaque ut domum Cybebes tetigere lassulae, nimio e labore somnum capiunt sine Cerere. Piger his labante languore oculos sopor operit; abit in quiete molli rabidus furor animi.	582:588	0:1181
cohors	NN	[-100,0]	1	8_22	 	, deinde audito Seguntiae Celtiberum omnes sarcinas impedimentaque relicta, eo pergit ducere ad oppugnandum. postquam nulla moventur re, persoluto stipendio non suis modo sed etiam praetoris militibus relictoque omni exercitu in castris praetoris ipse cum septem cohortibus ad Hiberum est regressus. Ea tam exigua manu oppida aliquot cepit. defecere ad eum Sedetani Ausetani Suessetani. Lacetanos, deviam et silvestrem gentem, cum insita feritas continebat in armis, tum conscientia, dum consul exercitusque Turdulo bello esset occupatus, depopulatorum subitis incursionibus sociorum. igitur ad oppidum eorum oppugnandum consul ducit non Romanas modo cohortes sed iuventutem etiam merito infensorum iis sociorum. oppidum longum, in latitudinem haudquaquam tantundem patens habebant. quadringentos inde ferme passus constituit signa. ibi delectarum cohortium stationem relinquens praecepit iis ne se ex eo loco ante moverent quam ipse ad eos venisset; ceteras copias ad ulteriorem partem urbis circumducit. maximum ex omnibus auxiliis numerum Suessetanae iuventutis habebat: eos ad murum oppugnandum subire iubet. quorum ubi arma signaque Lacetani cognovere, memores quam saepe in agro eorum impune persultassent, quotiens ipsos signis conlatis fudissent fugassentque, patefacta repente porta universi in eos erumpunt.	651:659	0:1318
cohors	NN	[-100,0]	1	8_35	 	, his ferme incisa litteris fuit:'' Iuppiter atque divi omnes hoc dederunt ut T. Quinctius dictator oppida novem caperet''. die vicesimo quam creatus erat dictatura se abdicavit. Comitia inde habita tribunorum militum consulari potestate, quibus aequatus patriciorum plebeiorumque numerus. ex patribus creati P. et C. Manlii cum L. Iulio; plebes C. Sextilium M. Albinium L. Antistium dedit. Manliis, quod genere plebeios, gratia Iulium anteibant, Volsci provincia sine sorte, sine comparatione, extra ordinem data; cuius et ipsos postmodo et patres qui dederant paenituit. inexplorato pabulatum cohortes misere; quibus velut circumventis, cum id falso nuntiatum esset, dum praesidio ut essent citati feruntur, ne auctore quidem adservato qui eos hostis Latinus pro milite Romano frustratus erat ipsi in insidias praecipitavere. ibi dum iniquo loco sola virtute militum restantes caedunt caedunturque, castra interim Romana iacentia in campo ab altera parte hostes invasere. ab ducibus utrobique proditae temeritate atque inscitia res; quidquid superfuit Fortunae populi Romani, id militum etiam sine rectore stabilis virtus tutata est. quae ubi Romam sunt relata, primum dictatorem dici placebat; deinde, postquam quietae	595:603	0:1222
cohors	NN	[-100,0]	1	8_36	 	, magna pars ablegati. Quam multitudinem consul alter Romae praetorque alias ex aliis fingendo moras retinebat. Et primo quidem ignari ludificationis minime inviti domos revisebant; postquam neque reverti ad signa primos nec ferme alium quam qui in Campania hibernassent praecipueque ex his seditionis auctores mitti viderunt, primum admiratio, deinde haud dubius timor incessit animos consilia sua emanasse: iam quaestiones, iam indicia, iam occulta singulorum supplicia impotensque et crudele consulum ac patrum in se regnum passuros. Haec qui in castris erant occultis sermonibus serunt, nervos coniurationis electos arte consulis cernentes. Cohors una, cum haud procul Anxure esset, ad Lautulas saltu angusto inter mare ac montes consedit ad excipiendos quos consul aliis atque aliis, ut ante dictum est, causis mittebat. Iam valida admodum numero manus erat nec quicquam ad iusti exercitus formam praeter ducem deerat. Incompositi itaque praedantes in agrum Albanum perveniunt et sub iugo Albae Longae castra vallo cingunt. Perfecto inde opere reliquum diei de imperatore sumendo sententiis decertant, nulli ex praesentibus satis fidentes: quem autem ab Roma posse exciri? Quem patrum aut plebis esse qui aut se tanto periculo sciens	645:651	0:1239
cohors	NN	[-100,0]	1	8_37	 	, nolle minuere exercitum, quod aut moram sibi ad dimicandum aut in dimicando periculum adferre posset. stat sententia non minuere copias, ne quid interim hostes inferant ignominiae; sociis spem pro re ostentandam censet: saepe vana pro veris, maxime in bello, valuisse et credentem se aliquid auxilii habere, perinde atque haberet, ipsa fiducia et sperando atque audendo servatum. postero die legatis respondet, quamquam vereatur ne suas vires aliis eas commodando minuat, tamen se illorum temporis ac periculi magis quam sui rationem habere. denuntiari militum parti tertiae ex omnibus cohortibus iubet ut cibum quem in naves imponant mature coquant navesque in diem tertium expediri[ iussit]. duos ex legatis Bilistagi atque Ilergetibus nuntiare ea iubet; filium reguli comiter habendo et muneribus apud se retinet. legati non ante profecti quam impositos in naves milites viderunt: id pro haud dubio iam nuntiantes non suos modo sed etiam hostes fama Romani auxilii adventantis impleverunt. Consul ubi satis quod in speciem fuit ostentatum est, revocari ex navibus milites iubet: ipse, cum iam id tempus anni appeteret quo geri res possent, castra hiberna tria milia	588:598	0:1171
cohors	NN	[-100,0]	1	8_38	 	, nondum victoria erat; tegi magis Romanus quam pugnare; Volscus inferre signa, urgere aciem, plus caedis hostium videre quam fugae. Iam omnibus locis ceditur, nequiquam Sempronio consule obiurgante atque hortante. Nihil nec imperium nec maiestas valebat, dataque mox terga hostibus forent, ni Sex. Tempanius, decurio equitum, labante iam re praesenti animo subvenisset. Qui cum magna voce exclamasset ut equites, qui salvam rem publicam vellent esse, ex equis desilirent, omnium turmarum equitibus velut ad consulis imperium motis,; nisi haec; inquit,; parmata cohors sistit impetum hostium, actum de imperio est. Sequimini pro vexillo cuspidem meam; ostendite Romanis Volscisque neque equitibus vobis ullos equites nec peditibus esse pedites pares;. Cum clamore comprobata adhortatio esset, vadit alte cuspidem gerens. Quacumque incedunt, vi viam faciunt; eo se inferunt obiectis parmis, ubi suorum plurimum laborem vident. Restituitur omnibus locis pugna, in quae eos impetus tulit; nec dubium erat quin, si tam pauci simul obire omnia possent, terga daturi hostes fuerint. Et cum iam parte nulla sustinerentur, dat signum Volscus imperator	562:568	0:1144
