lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
dolus	NN	[-100,0]	1	13_12	 	, dicere, sapientis esse nihil contra mores, leges, instituta facientem habere rationem rei familiaris. Neque enim solum nobis divites esse volumus, sed liberis, propinquis, amicis maximeque rei publicae. Singulorum enim facultates et copiae divitiae sunt civitatis. Huic Scaevolae factum, de quo paulo ante dixi, placere nullo modo potest. Etenim omnino tantum se negat facturum compendii sui causa, quod non liceat. Huic nec laus magna tribuenda nec gratia est. Sed sive et simulatio et dissimulatio dolus malus est, perpaucae res sunt, in quibus non dolus malus iste versetur, sive vir bonus est is, qui prodest quibus potest, nocet nemini, certe istum virum bonum non facile reperimus. Numquam igitur est utile peccare, quia semper est turpe, et, quia semper est honestum virum bonum esse, semper est utile. Ac de iure quidem praediorum sanctum apud nos est iure civili, ut in iis vendendis vitia dicerentur, quae nota essent venditori. Nam cum ex duodecim tabulis satis esset ea praestari, quae essent lingua nuncupata, quae qui infitiatus esset, dupli poena subiret, a	553:558	0:1075
dolus	NN	[-300,0]	1	13_22	 	, inquam, ut caueas. Caue. em istis mihi tu hodie manibus argentum dabis. Edepol mortalem graphicum, si seruat fidem! Seruitum tibi me abducito, ni fecero. Bene atque amice dicis. Nam nunc non meus. Vin etiam dicam quod uos magi miremini? Studeo hercle audire, nam ted ausculto lubens.[ Agedum, nam sati lubenter te ausculto loqui.] Priuquam istam pugnam pugnabo, ego etiam prius dabo aliam pugnam claram et commemorabilem. Quam pugnam? em ab hoc lenone uicino tuo per sycophantiam atque per doctos dolos tibicinam illam tuo quam gnatus deperit, ea circumducam lepide lenonem. Quid est? Ecfectum hoc hodie reddam utrumque ad uesperum. Siquidem istaec opera, ut praedicas, perfeceris, uirtute regi Agathocli antecesseris. Sed si non faxis, numquid caussaest ilico quin te in pistrinum condam? Non unum diem, uerum hercle in omnis quantumst; sed si ecfecero, dabin mi argentum quod dem lenoni ilico tua uoluntate? Ius bonum orat Pseudolus;" dabo" inque. At enim scin quid mihi in mentem uenit? Quid si hisce inter se consenserunt	499:504	0:1028
dolus	NN	[-300,0]	1	13_32	 	, perfidiam, malitiam atque audaciam, confidentiam, confirmitatem, fraudulentiam. Qui arguat se, eum contra uincat iureiurando suo: domi habet animum falsiloquom, falsificum, falsiiurium, domi dolos, domi delenifica facta, domi fallacias. Nam mulier holitori numquam supplicat si quast mala: domi habet hortum et condimenta ad omnis mores malificos. Ego istaec, si erit hic, nuntiabo. Sed quid est, Palaestrio, quod uolutas tute tecum in corde? Paullisper tace, dum ego mihi consilia in animum conuoco et dum consulo quid agam, quem dolum doloso contra conseruo parem, qui illam hic uidit osculantem, id uisum ut ne uisum siet. Quaere: ego hinc apscessero aps te huc interim. Illuc sis uide, quem ad modum astitit, seuero fronte curans, cogitans. pectus digitis pultat, cor credo euocaturust foras; ecce auortit: nixus laeuo in femine habet laeuam manum, dextera digitis rationem computat, feriens femur dexterum. Ita uehementer icit: quod agat aegre suppetit. Concrepuit digitis: laborat; crebro commutat status. Eccere autem capite nutat: non placet quod repperit.	533:538	0:1067
dolus	NN	[-100,0]	1	13_33	 	, socer praeterea ipsius, agere varie rogando alternis suadendoque coepit ut vinci se consensu civitatis pateretur, timens consul ne postmodum privato sibi eadem illa cum bonorum amissione additaque alia insuper ignominia acciderent, abdicavit se consulatu rebus que suis omnibus Lavinium translatis civitate cessit. Brutus ex senatus consulto ad populum tulit ut omnes Tarquiniae gentis exsules essent; collegam sibi comitiis centuriatis creavit P. Valerium, quo adiutore reges eiecerat. Cum haud cuiquam in dubio esset bellum ab Tarquiniis imminere, id quidem spe omnium serius fuit; ceterum, id quod non timebant, per dolum ac proditionem prope libertas amissa est. Erant in Romana iuventute adulescentes aliquot, nec ii tenui loco orti, quorum in regno libido solutior fuerat, aequales sodalesque adulescentium Tarquiniorum, adsueti more regio vivere. Eam tum, aequato iure omnium, licentiam quaerentes, libertatem aliorum in suam vertisse servitutem inter se conquerebantur: regem hominem esse, a quo impetres, ubi ius, ubi iniuria opus sit; esse gratiae locum, esse beneficio; et irasci et ignoscere posse; inter amicum atque inimicum discrimen nosse; leges rem surdam, inexorabilem esse,	621:626	0:1195
dolus	NN	[-300,0]	1	13_34	 	; nam ego precator et patronus foribus processi foras. Tunc es Ballio? Immo uero ego eius sum Subballio. Quid istuc uerbist? Condus, promus sum, procurator peni. Quasi te dicas atriensem. Immo atriensi ego impero. Quid tu, seruosne es an liber? Nunc quidem etiam seruio. Ita uidere, et non uidere dignus qui liber sies. Non soles respicere te, quom dicis iniuste alteri? Hunc hominem malum esse oportet. Di me seruant atque amant, nam haec mihi incus est: procudam ego hodie hinc multos dolos. Quid illic solus se cum loquitur? Quid ais tu, adulescens? Quid est? Esne tu an non es ab illo militi Macedonio, seruos eiius qui hinc a nobis est mercatus mulierem, qui argenti meo ero lenoni quindecim dederat minas, quinque debet? Sum. Sed ubi tu me nouisti gentium aut uidisti aut conlocutus? Nam equidem Athenas antidhac numquam adueni neque te uidi ante hunc diem umquam oculis meis. Quia uidere inde esse; nam olim quom abiit, argento haec dies praestitutast, quoad referret nobis, neque dum rettulit	487:492	0:1001
dolus	NN	[-300,0]	1	13_35	 	: eost ingenio natus. Quiquomque ubi sunt, qui fuerunt quique futuri sunt posthac stulti, stolidi, fatui, fungi, bardi, blenni, buccones, solus ego omnis longe antideo stultitia et moribus indoctis. Perii, pudet: hocine me aetatis ludos bis factum esse indigne? magi quam id reputo, tam magis uror quae meu filiu turbauit. Perditu sum atque eradicatus sum, omnibus exemplis excrucior. Omnia me mala consectantur, omnibus exitiis interii. Chrysalu med hodie lacerauit, Chrysalu me miserum spoliauit: is me scelus auro usque attondit dolis doctis indoctum ut lubitumst. Ita miles memorat meretricem esse eam quam ille uxorem esse aiebat, omniaque ut quidque actum est memorauit, eam sibi hunc annum conductam, relicuom id auri factum quod ego ei stultissumus homo promisissem: hoc, hoc est quod cor peracescit; hoc est demum quod percrucior, me hoc aetatis ludificari, immo edepol sic ludos factum cano capite atque alba barba miserum me auro esse emunctum. Perii, hoc seruom meum non nauci facere esse ausum! atque ego, si alibi plus perdiderim, minus aegre habeam minuque id	532:537	0:1075
dolus	NN	[-300,0]	1	13_36	 	? Peccaui: illuc dicere, uilicum, uolebam. Sciens de uia in semitam degredere. Num quid mihi minatur? Tibi infesta solist plus quam quoiquam. Quamobrem? Quia se des uxorem Olympioni, neque se tuam nec suam neque uiri uitam sinere in crastinum protolli: id huc missa sum tibi ut dicerem, ab ea uti caueas tibi. Perii hercle ego miser! Dignus tu. Neque est neque fuit me senex quisquam amator adaeque miser. Ludo ego hunc facete; nam quae facta dixi omnia huic falsa dixi: era atque haec dolum ex proxumo hunc protulerunt, ego hunc missa sum ludere. Heus Pardalisca! Quid est? Est Quid? Est quod uolo exquirere ex te. Moram offers mihi. At tu mihi offers maerorem. Sed etiamne habet nunc Casina gladium? Habet, sed duos. Quid, duos? Altero te occisurum ait, altero uilicum hodie. Occisissumus sum omnium qui uiuont. Loricam induam mi optumum esse opinor. Quid uxor mea? Non adi atque ademit? Nemo audet prope accedere. Exoret. Orat: negat ponere alio modo ullo profecto,	486:491	0:969
dolus	NN	[-300,0]	1	13_37	 	. Dabitur, praebebo cibum. Numquam hercle hodie, nisi me orassis, solues. Oro te, Epidice, mihi ut ignoscas siquid inprudens culpa peccaui mea. At ob eam rem liber esto. Inuitus do hanc ueniam tibi, nisi necessitate cogar. Solue sane si lubet. Hic is homo est qui libertatem malitia inuenit sua. Plaudite et ualete. Lumbos porgite atque exsurgite. postquam est mortem aptus Plautus, Comoedia luget, scaena est deserta, dein Risus Ludus Iocusque et Numeri innumeri simul omnes conlacrimarunt. Quam ego tanta pauperaui per dolum pecunia. Panem et polentam, uinum, murrinam. Opu facere nimio quam dormire mauolo: ueternum metuo. Quasi lupus ab armis ualeo, clunis infractos fero. Nunc mihi licet quiduis loqui: nemo hic adest superstes. muiionum nauteam fecisset rauim. Sequere adsecue, Polybadisce: meam spem cupio consequi. Sequor hercle equidem: nam lubenter meam speratam consequor. Axitiosae annonam caram e uili concinnant uiris. Quasi tolleno aut pilum graecum reciprocas plana uia. Terebratus multum sit et supscudes addite. Terebra tu quidem pertundis. Dare pedibus protinam sese ab	521:526	0:1089
dolus	NN	[-300,0]	1	13_38	 	. Sed hic illi subparasitatur semper, hic eae proxumust, primus ad cibum uocatur, primo pulmentum datur; nam illic noster est fortasse circiter triennium neque quoiquam quam illic in nostra meliust famulo familia. Sed ego hoc quod ago, id me agere oportet, hoc opseruare ostium. Sic opsistam. Hac quidem pol certo uerba mihi numquam dabunt. Praecepta facito ut memineris. Totiens monere mirumst. at metuo ut sati sis subdola. Cedo uel decem, edocebo minime malas ut sint malae, mihi solae quod superfit. Age nunciam insiste in dolos; ego aps te procul recedam. Quid ais tu, Sceledre? Hanc rem gero. Habeo auris, loquere quiduis. Credo ego istoc exemplo tibi esse pereundum extra portam, dispessis manibus, patibulum quom habebis. Quamnam ob rem? Respicedum ad laeuam: quis illaec est mulier? Pro di inmortales, eri concubinast haec quidem! Mihi quoque pol ita uidetur. Age nunciam, quando lubet Quid agam? Perire propera. Vbi iste est bonu seruos qui probri me maxumi innocentem falso insimulauit? em tibi! Hic mihi dixit tibi quae	527:532	0:1032
dolus	NN	[-300,0]	1	13_39	 	. Sed quid ais? Quid? Qui scis eos nunc discordare inter se? Ipsu mihi Dauo, qui intumust eorum consiliis, dixit; et is mihi persuadet nuptias quantum queam ut maturem. Num censes faceret, filium nisi sciret eadem haec uelle? tute adeo iam eius audies uerba. Euocate huc Dauom. Atque eccum uideo ipsum foras exire. Ad te ibam. Quidnamst? Quor uxor non accersitur? Iam aduesperascit. Audin? Ego dudum non nil ueritu sum, Daue, abs te ne faceres idem quod uolgu seruorum solet, dolis ut me deluderes propterea quod amat filius. Egon istuc facerem? Credidi, idque adeo metuens uos celaui quod nunc dicam. quid? Scies; nam propemodum habeo iam fidem. Tandem cognosti qui siem? Non fuerant nuptiae futurae. Quid? Non? Sed ea gratia simulaui uos ut pertemptarem. Quid ais? Sic res est. Vide: numquam istuc quiui ego intellegere. Vah consilium callidum! Hoc audi: ut hinc te intro ire iussi, opportune hic fit mi obuiam. Hem numnam perimu? Narro huic quae tu dudum narrasti	476:481	0:967
