lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
dux	NN	[-100,0]	1	6_3	 	- nullo tamen modo Africo bello comparanda, ubi non portus ullus classi nostrae apertus, non ager pacatus, non civitas socia, non rex amicus, non consistendi usquam locus, non procedendi; quacumque circumspexeris hostilia omnia atque infesta.'' An Syphaci Numidisque credis? satis sit semel creditum; non semper temeritas est felix, et fraus fidem in parvis sibi praestruit ut, cum operae pretium sit, cum mercede magna fallat. non hostis patrem patruumque tuum armis prius quam Celtiberi socii fraude circumvenerunt; nec tibi ipsi a Magone et Hasdrubale hostium ducibus quantum ab Indibili et Mandonio in fidem acceptis periculi fuit. Numidis tu credere potes, defectionem militum tuorum expertus? et Syphax et Masinissa se quam Carthaginienses malunt potentissimos in Africa esse, Carthaginienses quam quemquam alium. nunc illos aemulatio inter sese et omnes causae certaminum acuunt quia procul externus metus est: ostende Romana arma et exercitum alienigenam; iam velut ad commune restinguendum incendium concurrent. aliter iidem illi Carthaginienses Hispaniam defenderunt, aliter moenia patriae, templa deum, aras et focos defendent cum euntes in proelium pavida prosequetur coniunx et parvi liberi occursabunt.	563:570	0:1217
dux	NN	[-100,0]	1	6_4	 	- Regium etiam nuntium mittit ad praefectum praesidii quod ab Laevino consule adversus Bruttios ibi locatum erat, octo milia hominum, pars maxima ab Agathyrna, sicut ante dictum est, ex Sicilia traducta, rapto vivere hominum adsuetorum; additi erant Bruttiorum indidem perfugae, et audacia et audendi omnia necessitatibus pares. hanc manum ad Bruttium primum agrum depopulandum duci iussit, inde ad Cauloniam urbem oppugnandam. imperata non impigre solum sed etiam avide exsecuti direptis fugatisque cultoribus agri summa vi urbem oppugnabant. Marcellus et consulis litteris excitus et quia ita induxerat in animum neminem ducem Romanum tam parem Hannibali quam se esse, ubi primum in agris pabuli copia fuit ex hibernis profectus ad Canusium Hannibali occurrit. sollicitabat ad defectionem Canusinos Poenus; ceterum ut appropinquare Marcellum audivit, castra inde movit. aperta erat regio, sine ullis ad insidias latebris; itaque in loca saltuosa cedere inde coepit. Marcellus vestigiis instabat castraque castris conferebat, et opere perfecto extemplo in aciem legiones educebat. Hannibal turmatim per equites peditumque iaculatores levia certamina serens casum universae pugnae non necessarium ducebat. tractus est tamen ad id quod vitabat certamen. nocte praegressum	623:628	0:1271
dux	NN	[-100,0]	1	6_18	 	, </line><line> in vacuo defit, cessant, tantumque profundi </line><line> explicat errantis, et in ipso limine tardant. </line><line> angustis opus est turbanti faucibus; illic </line><line> fervet opus densaque premit premiturque ruina </line><line> nunc Euri Boreaeque Notus, nunc huius uterque[ est]. </line><line> hinc venti rabies, hinc saevo quassat hiatu </line><line> fundamenta soli, trepidant urbesque caducae </line><line> inde, neque est aliud, si fas est credere mundo </line><line> venturam antiqui faciem, veracius omen. </line><line> Haec imo cum sit species naturaque terrae </line><line> introrsus cessante solo trahat undique venas, </line><line> Aetna sui manifesta fides et proxima vero est. </line><line> non illinc duce me occultas scrutabere causas: </line><line> occurrent oculis ipsae cogentque fateri, </line><line> plurima namque patent illi miracula monti. </line><line> hinc vasti terrent aditus merguntque profundo, </line><line> porrigit hinc artus penitusque exaestuat ultra. </line><line> hinc scissae rupes obstant, discordiaque ingens </line><line> inter opus, nectunt aliae mediumque coercent, </line><line> pars igni domitae, pars ignes ferre coactae. </line>  <line> ; inde nisi ex parvis poteris cognoscere verum; </line><line> ut maior species Aetnae succurrat inanis </line><line> haec tibi tantarum sedes atque area rerum est, </line><line> haec operis visenda sacri faciesque domusque. </line><line> Nunc opus artificem incendi causamque reposcit. </line><line> non illam parvo aut tenui discrimine	738:742	0:1543
dux	NN	[-100,0]	1	6_33	 	, ad caedem, ad direptionem incitarentur. isdemque consulibus arma in templum Castoris palam comportabantur, gradus eiusdem templi tollebantur, armati homines forum et contiones tenebant, caedes lapidationesque fiebant; nullus erat senatus, nihil reliqui magistratus: unus omnem omnium potestatem armis et latrociniis possidebat, non aliqua vi sua, sed, cum duo consules a re publica provinciarum foedere retraxisset, insultabat, dominabatur, aliis pollicebatur, terrore ac metu multos, pluris etiam spe et promissis tenebat. quae cum essent eius modi, iudices, cum senatus duces nullos ac pro ducibus proditores aut potius apertos hostis haberet, equester ordo reus a consulibus citaretur, Italiae totius auctoritas repudiaretur, alii nominatim relegarentur, alii metu et periculo terrerentur, arma essent in templis, armati in foro, eaque non silentio consulum dissimularentur sed et voce et sententia comprobarentur, cum omnes urbem nondum excisam et eversam sed iam captam atque oppressam videremus: tamen his tantis malis tanto bonorum studio, iudices, restitissemus, sed me alii metus atque aliae curae suspicionesque moverunt. </section><section> XVI exponam enim hodierno die, iudices, omnem rationem facti et consili mei	594:601	0:1230
dux	NN	[-100,0]	1	6_34	 	, armis Samnitem iuvisse; fugatis inde Samnitibus incerta pace agere nec claudentes portas Romanis, ne arcessant bellum, et obstinatos claudere si exercitus admoveatur; in ea fluctuatione animorum opprimi incautos posse. His auctoribus mota propius castra missique eodem tempore circa tria oppida milites, partim armati qui occulti propinqua moenibus insiderent loca, partim togati tectis veste gladiis qui sub lucem apertis portis urbes ingrederentur. Ab his simul custodes trucidari coepti, simul datum signum armatis ut ex insidiis concurrerent. Ita portae occupatae triaque oppida eadem hora eodemque consilio capta; sed quia absentibus ducibus impetus est factus, nullus modus caedibus fuit deletaque Ausonum gens vix certo defectionis crimine perinde ac si internecivo bello certasset. Eodem anno prodito hostibus Romano praesidio Luceria Samnitium facta; nec diu proditoribus impunita res fuit. Haud procul inde exercitus Romanus erat, cuius primo impetu urbs sita in plano capitur. Lucerini ac Samnites ad internecionem caesi; eoque ira processit ut Romae quoque, cum de colonis mittendis Luceriam consuleretur senatus, multi delendam urbem censerent. Praeter odium, quod exsecrabile in bis captos erat, longinquitas quoque abhorrere a relegandis tam procul ab	641:648	0:1269
dux	NN	[-100,0]	1	6_35	 	, Bacche, fuisti, </line><line> Cum timuit thyrsos India victa tuos? </line><line> Auspiciis annisque patris, puer, arma movebis, </line><line> Et vinces annis auspiciisque patris: </line><line> Tale rudimentum tanto sub nomine debes, </line><line> Nunc iuvenum princeps, deinde future senum; </line><line> Cum tibi sint fratres, fratres ulciscere laesos: </line><line> Cumque pater tibi sit, iura tuere patris. </line><line> Induit arma tibi genitor patriaeque tuusque: </line><line> Hostis ab invito regna parente rapit; </line><line> Tu pia tela feres, sceleratas ille sagittas: </line><line> Stabit pro signis iusque piumque tuis. </line><line> Vincuntur causa Parthi: vincantur et armis; </line><line> Eoas Latio dux meus addat opes. </line><line> Marsque pater Caesarque pater, date numen eunti: </line><line> Nam deus e vobis alter es, alter eris. </line><line> Auguror, en, vinces; votivaque carmina reddam, </line><line> Et magno nobis ore sonandus eris. </line><line> Consistes, aciemque meis hortabere Vis; </line><line> O desint animis ne mea verba tuis! </line><line> Tergaque Parthorum Romanaque pectora dicam, </line><line> Telaque, ab averso quae iacit hostis equo. </line><line> Qui fugis ut vincas, quid victo, Parthe, relinquis? </line><line> Parthe, malum iam nunc Mars tuus omen habet. </line><line> Ergo erit illa dies, qua tu,	718:721	0:1350
dux	NN	[-100,0]	1	6_36	 	, bona locupletium donata. ad nuntium tam atrocem constitit agmen concitatisque omnibus duces- erant autem Sosis ac Dinomenes- quid agerent consultabant. terroris speciem haud vanam mendacio praebuerant Verati ac securi percussi transfugae ad duo milia hominum; ceterum Leontinorum militumque aliorum nemo post captam urbem violatus fuerat suaque omnia eis, nisi quae primus tumultus captae urbis absumpserat, restituebantur. nec ut Leontinos irent, proditos ad caedem commilitones querentes perpelli potuere, nec ut eodem loco certiorem nuntium exspectarent. cum ad defectionem inclinatos animos cernerent praetores sed eum motum haud diuturnum fore si duces amentiae sublati essent, exercitum ducunt Megara, ipsi cum paucis equitibus Herbesum proficiscuntur spe territis omnibus per proditionem urbis potiundae. quod ubi frustra eis fuit inceptum, vi agendum rati postero die Megaris castra movent, ut Herbesum omnibus copiis oppugnarent. Hippocrates et Epicydes non tam tutum prima specie quam unum spe undique abscisa consilium esse rati, ut se militibus permitterent et adsuetis magna ex parte sibi et tum fama caedis commilitonum accensis, obviam agmini procedunt. prima forte signa sescentorum Cretensium erant, qui apud Hieronymum meruerant sub eis et Hannibalis beneficium habebant,	654:659	0:1292
dux	NN	[-100,0]	1	6_37	 	, Cn. Fulvio, Scipionibus meis, tot tam praeclaris imperatoribus uno bello absumptis superstes est populus Romanus, eritque mille aliis nunc ferro nunc morbo morientibus: meo unius funere elata esset res publica? vos ipsi hic in Hispania patre et patruo meo duobus imperatoribus interfectis Septimum Marcium ducem vobis adversus exsultantes recenti victoria Poenos delegistis. et sic loquor tamquam sine duce Hispaniae futurae fuerint: M. Silanus eodem iure eodem imperio mecum in provinciam missus, L. Scipio frater meus et C. Laelius legati, vindices maiestatis imperii deessent? utrum exercitus exercitui, an duces ducibus, an dignitas, an causa comparari poterat? quibus si omnibus superiores essetis, arma contra patriam contra cives vestros ferretis? Africam Italiae, Carthaginem urbi Romanae imperare velletis? quam ob noxam patriae? Coriolanum quondam damnatio iniusta, miserum et indignum exsilium ut iret ad oppugnandam patriam impulit; revocavit tamen a publico parricidio privata pietas: vos qui dolor, quae ira incitavit? stipendiumne diebus paucis imperatore aegro serius numeratum satis digna causa fuit cur patriae indiceretis bellum, cur ad Ilergetes descisceretis a populo Romano, cur nihil divinarum humanarumve rerum inviolatum vobis	618:625	0:1254
dux	NN	[-100,0]	1	6_38	 	, corona hostium cincti ad multum diei caeduntur; exigua pars eruptione facta silvas ac montes petit. Parique terrore et castra sunt deserta et universa gens postero die in deditionem venit. Nec diu in pacto mansit; nam subinde ab Carthagine allatum est ut Hasdrubal primo quoque tempore in Italiam exercitum duceret, quae volgata res per Hispaniam omnium ferme animos ad Romanos avertit. Itaque Hasdrubal extemplo litteras Carthaginem mittit, indicans quanto fama profectionis suae damno fuisset: si vero inde pergeret, priusquam Hiberum transiret Romanorum Hispaniam fore; nam praeterquam quod nec praesidium nec ducem haberet quem relinqueret pro se, eos imperatores esse Romanos quibus vix aequis viribus resisti possit. Itaque si ulla Hispaniae cura esset, successorem sibi cum valido exercitu mitterent; cui si omnia prospere evenirent, non tamen otiosam provinciam fore. Eae litterae quamquam primo admodum moverunt senatum, tamen, quia Italiae cura prior potiorque erat, nihil de Hasdrubale neque de copiis eius mutatum est: Himilco cum exercitu iusto et aucta classe ad retinendam terra marique ac tuendam Hispaniam est missus. Qui ut pedestres navalesque copias traiecit, castris communitis navibusque subductis et vallo	615:620	0:1231
dux	NN	[-100,0]	1	6_39	 	, cui gratulatur.] Sed dum efficere vultis beatum sapientem, cum maximas animo voluptates percipiat omnibusque partibus maiores quam corpore, quid occurrat non videtis. animi enim quoque dolores percipiet omnibus partibus maiores quam corporis. ita miser sit aliquando necesse est is, quem vos beatum semper vultis esse, nec vero id, dum omnia ad voluptatem doloremque referetis, efficietis umquam. Quare aliud aliquod, Torquate, hominis summum bonum reperiendum est, voluptatem bestiis concedamus, quibus vos de summo bono testibus uti soletis. quid, si etiam bestiae multa faciunt duce sua quaeque natura partim indulgenter vel cum labore, ut in gignendo, in educando, perfacile appareat aliud quiddam iis propositum, non voluptatem? partim cursu et peragratione laetantur, congregatione aliae coetum quodam modo civitatis imitantur; videmus in quodam volucrium genere non nulla indicia pietatis, cognitionem, memoriam, in multis etiam desideria videmus. ergo in bestiis erunt secreta e voluptate humanarum quaedam simulacra virtutum, in ipsis hominibus virtus nisi voluptatis causa nulla erit? et homini, qui ceteris animantibus plurimum praestat, praecipue a natura nihil datum esse dicemus? Nos	583:587	0:1200
