lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
humanitas	NN	[-100,0]	1	11_1	 	- arma contingere. suos quaeque regio propria distinguit nota, quam abiecisse capitale est, ut vel extra suos conspici fines, vel cum alterius regionis servo quicquam esse collocutum. at neque tutior fugae meditatio quam ipsa est fuga. quin conscium talis fuisse consilii in servo nex est; in libero servitus. contra indici praemia decreta sunt; libero pecunia, servo libertas. utrique vero venia atque impunitas conscientiae, ne quando persequi malum consilium quam poenitere sit tutius. Huius rei haec lex atque hic ordo est, quem dixi. qui quantum habeat humanitatis et commodi, facile patet. quando sic irascitur, ut vitia perimat servatis hominibus, atque ita tractatis, ut bonos esse necesse sit. et quantum ante damni dederunt, tantum reliqua vita resartiant. Porro ne ad pristinos relabantur mores, adeo nullus est metus, ut viatores quoque quibus iter aliquo institutum est, non aliis viae ducibus sese tutioreis arbitrentur, quam servis illis ad quamque regionem subinde commutatis. nempe ad perpetrandum latrocinium nihil habent usquam non importunum; manus inermes; pecunia tantum sceleris index; deprehenso parata vindicta; neque spes ulla	558:569	0:1153
humanitas	NN	[-100,0]	1	11_15	 	, desideretur atque expectetur. alia enim aliis et honesta et probabilis est causa armorum; illi agrum, hi vicos, hi oppida, hi portus oramque aliquam maris ut possideant; vos nec cupistis haec antequam haberetis, nec nunc, cum orbis terrarum in dicione vestra sit, cupere potestis. pro dignitate et gloria apud omne humanum genus, quod vestrum nomen imperiumque iuxta ac deos immortales iam pridem intuetur, pugnastis. quae parare et quaerere arduum fuit, nescio an tueri difficilius sit. gentis vetustissimae nobilissimaeque vel fama rerum gestarum vel omni commendatione humanitatis doctrinarumque tuendam ab servitio regio libertatem suscepistis; hoc patrocinium receptae in fidem et clientelam vestram universae gentis perpetuum vos praestare decet. non, quae in solo[ modo] antiquo sunt, Graecae magis urbes sunt quam coloniae earum, illinc quondam profectae in Asiam; nec terra mutata mutavit genus aut mores. certare pio certamine cuiuslibet bonae artis ac virtutis ausi sumus cum parentibus quaeque civitas et conditoribus suis. adistis Graeciae, adistis Asiae urbes plerique; nisi quod longius a vobis absumus, nulla vincimur alia re. Massiliensis, quos, si natura	574:585	0:1175
humanitas	NN	[-100,0]	1	11_21	 	, exsulat. Non tu hunc ergo patria priuare, qua caret, sed uita uis. At istud ne apud eum quidem dictatorem qui omnis quos oderat morte multabat, quisquam egit isto modo. Ipse iubebat occidi; nullo postulante, praemiis inuitabat; quae tamen crudelitas ab hoc eodem aliquot annis post, quem tu nunc crudelem esse uis, uindicata est. </section>  <section> ; Ego uero istud non postulo; inquies. Ita mehercule existimo, Tubero. Noui enim te, noui patrem, noui domum nomenque uestrum; studia generis ac familiae uestrae uirtutis, humanitatis, doctrinae, plurimarum artium atque optimarum nota mihi sunt. Itaque certo scio uos non petere sanguinem. Sed parum adtenditis. Res enim eo spectat ut ea poena in qua adhuc Q. Ligarius sit non uideamini esse contenti. Quae est igitur alia praeter mortem? Si enim est in exsilio, sicuti est, quid amplius postulatis? An ne ignoscatur? Hoc uero multo acerbius multoque durius. Quodne nos[ domi] petimus precibus ac lacrimis, strati ad pedes, non tam nostrae causae fidentes quam huius humanitati, id ne impetremus pugnabis et	526:537	0:1062
humanitas	NN	[-100,0]	1	11_23	 	, gravia loca utilius esse mercennariis colere quam servis, et in salubribus quoque locis opera rustica maiora, ut sunt in condendis fructibus vindemiae aut messis. De iis, cuius modi esse oporteat, Cassius scribit haec: operarios parandos esse, qui laborem ferre possint, ne minores annorum XXII et ad agri culturam dociles. Eam coniecturam fieri posse ex aliarum rerum imperatis, et in eo eorum e noviciis requisitione, ad priorem dominum quid factitarint. Mancipia esse oportere neque formidulosa neque animosa. Qui praesint esse oportere, qui litteris atque aliqua sint humanitate imbuti, frugi, aetate maiore quam operarios, quos dixi. Facilius enim iis quam qui minore natu sunt dicto audientes. Praeterea potissimum eos praeesse oportere, qui periti sint rerum rusticarum. Non solum enim debere imperare, sed etiam facere, ut facientem imitetur et ut animadvertat eum cum causa sibi praeesse, quod scientia praestet. Neque illis concedendum ita imperare, ut Veribus coerceant potius quam Vis, si modo idem efficere possis. Neque eiusdem nationis plures parandos esse: ex eo enim potissimum solere offensiones domesticas fieri. Praefectos alacriores faciendum praemiis	574:584	0:1175
humanitas	NN	[-100,0]	1	11_26	 	, humanitatem, innocentiam, magnitudinem animi in patria liberanda quis ignorat? alteri a puero pro deliciis crudelitas fuit, deinde ea libidinum turpitudo, ut in hoc sit semper ipse laetatus, quod ea faceret, quae sibi obici ne ab inimico quidem possent verecundo. Et hic, di immortales, aliquando fuit meus! Occulta enim erant vitia non inquirenti. Neque nunc fortasse alienus ab eo essem, nisi ille vobis, nisi moenibus patriae, nisi huic urbi, nisi dis penatibus, nisi aris et focis omnium nostrum, nisi denique naturae et humanitati inventus esset inimicus. A quo admoniti diligentius et vigilantius caveamus Antonium. Etenim Dolabella non ita multos se cum habuit notos atque insignis latrones; at videtis, quos et quam multos habeat Antonius. Primum Lucium fratrem, quam facem, di immortales, quod facinus, quod scelus, quem gurgitem, quam voraginem! Quid eum non sorbere animo, quid non haurire cogitatione, cuius sanguinem non bibere censetis, in cuius possessiones atque fortunas non inpudentissimos oculos spe et mente defigere? Quid Censorinum? qui se Vo praetorem esse urbanum cupere dicebat,	527:537	0:1106
humanitas	NN	[-100,0]	1	11_31	 	, inimicum paternum, in consilium vocavit? Quae quidem quam sancte solita sint observari scitis omnes. Nunc accusamur ab eis qui in consilio nobis fuerunt.'' Decrevit Flaccus.'' Num aliud atque oportuit?'' In liberos.'' Num aliter censuit senatus?'' In absentem.'' Decrevit, cum ibidem esses, cum prodire nolles; non est hoc in absentem, sed in latentem reum. </section><section> Senatvs consvltvm et decretvm Flacci. Quid? si non decrevisset, sed edixisset, quis posset vere reprehendere? Num etiam fratris mei litteras plenissimas humanitatis et aequitatis reprehensurus; es;? quas ea de muliere ad me datas apud... requisivit. Recita. Litterae Q. Ciceronis. Quid? haec Apollonidenses occasionem nacti ad Flaccum; non; detulerunt, apud Orbium acta non sunt, ad Globulum delata non sunt? Ad senatum nostrum me consule nonne legati Apollonidenses omnia postulata de iniuriis unius Deciani detulerunt? At haec praedia in censum dedicavisti. Mitto quod aliena, mitto quod possessa per vim, mitto quod convicta ab Apollonidensibus, mitto quod a Pergamenis repudiata, mitto etiam quod a nostris magistratibus	533:544	0:1105
humanitas	NN	[-100,0]	1	11_36	 	, sed amandati et repudiati coloni. qua re cum integri nihil fuerit in hac gente; pestilentiae; plena, quam valde eam putamus tot transfusionibus coacuisse? hic mihi ignoscet Cn. Domitius Sincaius, vir ornatissimus, hospes et familiaris meus, ignoscent denique omnes ab eodem Cn. Pompeio civitate donati, quorum tamen omnium laudatione utimur, ignoscent alii viri boni ex Sardinia; credo enim esse quosdam. neque ego, cum de vitiis gentis loquor, neminem excipio; sed a me est de universo genere dicendum, in quo fortasse aliqui suis moribus et humanitate stirpis ipsius et gentis vitia vicerunt. magnam quidem esse partem sine fide, sine societate et coniunctione nominis nostri res ipsa declarat. quae est enim praeter Sardiniam provincia quae nullam habeat amicam populo Romano ac liberam civitatem?[ a] Africa ipsa parens illa Sardiniae, quae plurima et acerbissima cum maioribus nostris bella gessit, non solum fidelissimis regnis sed etiam in ipsa provincia se a societate Punicorum bellorum Vtica teste defendit. Hispania ulterior Scipionum int; eritu;.[ b] copiis inops, gente fallax.[ c] inventi sunt qui	545:555	0:1114
humanitas	NN	[-100,0]	1	11_37	 	, sic haec, quae suscipitur ab oratore ad commutandos animos atque omni ratione flectendos, intenta ac vehemens esse debet.[ LIII] Sed est quaedam in his duobus generibus, quorum alterum lene, alterum vehemens esse volumus, difficilis ad distinguendum similitudo; nam et ex illa lenitate, qua conciliamur eis, qui audiunt, ad hanc vim acerrimam, qua eosdem excitamus, influat oportet aliquid, et ex hac vi non numquam animi aliquid inflandum est illi lenitati; neque est ulla temperatior oratio quam illa, in qua asperitas contentionis oratoris ipsius humanitate conditur, remissio autem lenitatis quadam gravitate et contentione firmatur. In utroque autem genere dicendi et illo, in quo vis atque contentio quaeritur, et hoc, quod ad vitam et mores accommodatur, et principia tarda[ sunt] et exitus item spissi et producti esse debent. Nam neque adsiliendum statim est ad genus illud orationis; abest enim totum a causa et homines prius ipsum illud, quod proprium sui iudici est, audire desiderant; nec cum in eam rationem ingressus sis, celeriter discedendum est; non enim, sicut argumentum, simul	552:562	0:1100
humanitas	NN	[-100,0]	1	11_38	 	, sonitum Aeschines, vim Demosthenes habuit. Quis eorum non egregius? Tamen quis cuiusquam nisi sui similis? Gravitatem Africanus, lenitatem Laelius, asperitatem Galba, profluens quiddam habuit Carbo et canorum. Quis horum non princeps temporibus illis fuit? Et suo tamen quisque in genere princeps. Sed quid ego vetera conquiram, cum mihi liceat uti praesentibus exemplis atque vivis? Quid iucundius auribus nostris umquam accidit huius oratione Catuli? Quae est pura sic, ut Latine loqui paene solus videatur, sic autem gravis, ut in singulari dignitate omnis tamen adsit humanitas ac lepos. Quid multa? Istum audiens equidem sic iudicare soleo, quicquid aut addideris aut mutaris aut detraxeris, vitiosius et deterius futurum. Quid, noster hic Caesar nonne novam quandam rationem attulit orationis et dicendi genus induxit prope singulare? Quis umquam res praeter hunc tragicas paene comice, tristis remisse, severas hilare, forensis scaenica prope venustate tractavit atque ita, ut neque iocus magnitudine rerum excluderetur nec gravitas facetiis minueretur? Ecce praesentes duo prope aequales Sulpicius et Cotta. Quid iam inter se dissimile? Quid tam in suo genere praestans?	574:583	0:1181
humanitas	NN	[-100,0]	1	11_39	 	, tam longe lateque dispersum, quo bello omnes gentes ac nationes premebantur, Cn. Pompeius extrema hieme apparavit, ineunte vere susceptit, media aestate confecit. </section><section> Est haec divina atque incredibilis virtus imperatoris. Quid ceterae, quas paulo ante commemorare coeperam, quantae atque quam multae sunt? Non enim bellandi virtus solum in summo ac perfecto imperatore quaerenda est, sed multae sunt artes eximiae huius administrae comitesque virtutis. Ac primum, quanta innocentia debent esse imperatores? quanta deinde in omnibus rebus temperantia? quanta fide? quanta facilitate? quanto ingenio? quanta humanitate? Quae breviter qualia sint in Cn. Pompeio consideremus: summa enim omnia sunt, Quirites, sed ea magis ex aliorum contentione quam ipsa per sese cognosci atque intellegi possunt. </section><section> Quem enim imperatorem possumus ullo in numero putare, cuius in exercitu centuriatus veneant atque venierint? Quid hunc hominem magnum aut amplum de re publica cogitare, qui pecuniam, ex aerario depromptam ad bellum administrandum, aut propter cupiditatem provinciae magistratibus diviserit, aut propter avaritiam Romae in quaestu reliquerit? Vestra admurmuratio facit, Quirites, ut agnoscere videamini qui haec fecerint: ego autem	624:634	0:1264
