lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
imperator	NN	[-100,0]	1	1_0	 	- id quod maxime facit auctoritatem,- tanta et tam praeclara iudicia fecistis? An vero ullam usquam esse oram tam desertam putatis, quo non illius diei fama pervaserit, cum universus populus Romanus, referto foro completisque omnibus templis ex quibus hic locus conspici potest, unum sibi ad commune omnium gentium bellum Cn. Pompeium imperatorem deposcit? Itaque- ut plura non dicam, neque aliorum exemplis confirmem quantum[ huius] auctoritas valeat in bello- ab eodem Cn. Pompeio omnium rerum egregiarum exempla sumantur: qui quo die a vobis maritimo bello praepositus est imperator, tanta repente vilitas annonae ex summa inopia et caritate rei frumentariae consecuta est unius hominis spe ac nomine, quantum vix in summa ubertate agrorum diuturna pax efficere potuisset. iam accepta in Ponto calamitate ex eo proelio, de quo vos paulo ante invitus admonui,- cum socii pertimuissent, hostium opes animique crevissent, satis firmum praesidium provincia non haberet,- amisissetis Asiam, Quirites, nisi ad ipsum discrimen eius temporis divinitus Cn. Pompeium ad eas regiones fortuna populi Romani attulisset. Huius adventus et Mithridatem insolita inflammatum victoria continuit, et Tigranem magnis	576:585	0:1200
imperator	NN	[-100,0]	1	1_1	 	-- vos, Quirites, hoc ipso ex loco saepe cognovistis. Fidem vero eius quantam inter socios existimari putatis, quam hostes omnes omnium generum sanctissimam iudicarint? Humanitate iam tanta est, ut difficile dictu sit utrum hostes magis virtutem eius pugnantes timuerint, an mansuetudinem victi dilexerint. Et quisquam dubitabit quin huic hoc tantum bellum transmittendum sit, qui ad omnia nostrae memoriae bella conficienda divino quodam consilio natus esse videatur? </section><section> Et quoniam auctoritas quoque in bellis administrandis multum atque in imperio militari valet, certe nemini dubium est quin ea re idem ille imperator plurimum possit. Vehementer autem pertinere ad bella administranda quid hostes, quid socii de imperatoribus nostris existiment quis ignorat, cum sciamus homines in tantis rebus, ut aut contemnant aut metuant aut oderint aut ament, opinione non minus et fama quam aliqua ratione certa commoveri? Quod igitur nomen umquam in orbe terrarum clarius fuit? cuius res gestae pares? de quo homine vos,-- id quod maxime facit auctoritatem,-- tanta et tam praeclara iudicia fecistis? </section><section> An vero ullam usquam esse oram tam desertam putatis, quo non illius diei	628:637	0:1205
imperator	NN	[-300,0]	1	1_8	 	, </line><line> maxumum periclum inde esse ab summo ne rusum cadas? </line><line> nunc haec res apud summum puteum geritur: si prosenserit </line><line> miles, nihil ecferri poterit huiius: nunc quom maxume </line><line> opust dolis. Domi esse ad eam rem uideo siluai satis: </line><line> mulieres tres, quartus tute es, quintus ego, sextus senex. </line><line> Quod apud nos fallaciarum sex situmst, certo scio, </line><line> oppidum quoduis uidetur posse expugnari dolis. </line><line> Date modo operam. Id nos ad te, si quid uelles, uenimus. </line><line> Lepide facitis. Nunc hanc tibi ego impero prouinciam. </line><line> Impetrabis, imperator, quod ego potero, quod uoles. </line><line> Militem lepide et facete, laute ludificarier </line><line> uolo. Voluptatem mecastor mi imperas. Scin quem ad modum? </line><line> Nempe ut adsimulem me amore istius differri. tenes. </line><line> Quasique istius caussa amoris ex hoc matrimonio </line><line> abierim, cupiens istius nuptiarum. Omne ordine. </line><line> Nisi modo unum hoc: hasce esse aedis dicas dotalis tuas, </line><line> hinc senem aps te abiisse, postquam feceris diuortium: </line><line> ne ille mox uereatur introire in alienam domum. </line><line> Bene mones. Sed ubi ille exierit intus, istinc te procul </line><line> ita uolo adsimulare,	639:648	0:1308
imperator	NN	[-100,0]	1	1_27	 	, adgnoscere se fortunam Carthaginis fertur dixisse; castrisque inde motis ut omnia auxilia quae diffusa latius tueri non poterat in extremum Italiae angulum Bruttios contraheret, et Metapontinos civitatem universam excitos sedibus suis et Lucanorum qui suae dicionis erant in Bruttium agrum traduxit. </section><section> Cum transitu Hasdrubalis quantum in Italiam declinaverat belli tantum levatae Hispaniae viderentur, renatum ibi subito par priori bellum est. Hispanias ea tempestate sic habebant Romani Poenique: Hasdrubal Gisgonis filius ad Oceanum penitus Gadesque concesserat: nostri maris ora omnisque ferme Hispania qua in orientem vergit Scipionis ac Romanae dicionis erat. novus imperator Hanno in locum Barcini Hasdrubalis novo cum exercitu ex Africa transgressus Magonique iunctus cum in Celtiberia, quae media inter duo maria est, brevi magnum hominum numerum armasset, Scipio adversus eum M. Silanum cum decem haud amplius milibus militum, equitibus quingentis misit. Silanus quantis maximis potuit itineribus- impediebant autem et asperitates viarum et angustiae saltibus crebris, ut pleraque Hispaniae sunt, inclusae- tamen non solum nuntios sed etiam famam adventus sui praegressus, ducibus indidem ex Celtiberia transfugis ad hostem pervenit. eisdem auctoribus compertum est cum decem circiter milia ab hoste abessent	691:700	0:1338
imperator	NN	[-100,0]	1	1_34	 	, amplius duum milium numero ad unum terga vertebant ac rursus ad aciem passim conversis equis se colligebant atque in spatio consequebantur et iacula in legionarios coiciebant. Ita Caesar modo procedendo modo resistendo tardius itinere confecto noctis hora prima omnes suos ad unum in castra incolumes sauciis X factis reduxit. Labienus circiter CCC amissis, multis vulneratis ac defessis, instando omnibus ad suos se recepit. Scipio interim legiones productas cum elephantis quos ante castra in acie terroris gratia in conspectu Caesaris collocaverat, reducit in castra. Caesar contra eiusmodi hostium genera copias suas non ut imperator exercitum veteranum victoremque maximis rebus gestis, sed ut lanista tirones gladiatores condocefacere: quot pedes se reciperent ab hoste et quemadmodum obversi adversariis et in quantulo spatio resisterent, modo procurrerent modo recederent comminarenturque impetum, ac prope quo loco et quemadmodum tela mitterent praecipere. Mirifice enim hostium levis armatura anxium exercitum nostrum atque sollicitum habebat, quia et equites deterrebat proelium inire propter equorum interitum, quod eos iaculis interficiebat, et legionarium militem defatigabat propter velocitatem: gravis enim armaturae miles simulatque ab eis insectatus constiterat in eosque impetum fecerat, illi veloci cursu periculum facile	630:639	0:1344
imperator	NN	[-100,0]	1	1_35	 	, anteponant in hoc genere et Ser. Galbae et socero tuo C. Laelio, quos constat dicendi gloria praestitisse. Numquam enim negabo esse quasdam partis proprias eorum, qui in his cognoscendis atque tractandis studium suum omne posuerunt, sed oratorem plenum atque perfectum esse eum, qui de omnibus rebus possit copiose varieque dicere. Etenim saepe in eis causis, quas omnes proprias esse oratorum confitentur, est aliquid, quod non ex usu forensi, quem solum oratoribus conceditis, sed ex obscuriore aliqua scientia sit promendum atque sumendum. Quaero enim num possit aut contra imperatorem aut pro imperatore dici sine rei militaris usu aut saepe etiam sine regionum terrestrium aut maritimarum scientia; num apud populum de legibus iubendis aut vetandis, num in senatu de omni rei publicae genere dici sine summa rerum civilium cognitione et prudentia; num admoveri possit oratio ad sensus animorum atque motus vel inflammandos vel etiam exstinguendos, quod unum in oratore dominatur, sine diligentissima pervestigatione earum omnium rationum, quae de naturis humani generis ac moribus a philosophis explicantur. Atque haud scio an minus vobis hoc sim probaturus; equidem non dubitabo, quod sentio,	579:590	0:1201
imperator	NN	[-100,0]	1	1_36	 	, atque ut id, quod esset a te scelerate susceptum, latrocinium potius quam bellum nominaretur. Nunc, ut a me, patres conscripti, quandam prope iustam patriae querimoniam detester ac deprecer, percipite, quaeso, diligenter, quae dicam, et ea penitus animis vestris mentibusque mandate. Etenim, si mecum patria, quae mihi vita mea multo est carior, si cuncta Italia, si omnis res publica loquatur:; M. Tulli, quid agis? Tune eum, quem esse hostem comperisti, quem ducem belli futurum vides, quem expectari imperatorem in castris hostium sentis, auctorem sceleris, principem coniurationis, evocatorem servorum et civium perditorum, exire patiere, ut abs te non emissus ex urbe, sed immissus in urbem esse videatur? Nonne hunc in vincla duci, non ad mortem rapi, non summo supplicio mactari imperabis? Quid tandem te impedit? mosne maiorum? At persaepe etiam privati in hac re publica perniciosos cives morte multarunt. An leges, quae de civium Romanorum supplicio rogatae sunt? At numquam in hac urbe, qui a re publica defecerunt, civium iura tenuerunt.	505:516	0:1052
imperator	NN	[-100,0]	1	1_37	 	, aut supplicatione decernenda hostes eos, de quibus decernitis, iudicetis necesse est. Quod ergo ille re, id ego etiam Vo, cum imperatores eos appello; hoc ipso nomine et eos, qui iam devicti sunt, et eos, qui supersunt, hostes iudico, cum victores appello imperatores. Quo modo enim potius Pansam appellem, etsi habet honoris nomen amplissimi, quo Hirtium? Est ille quidem consul, sed alterum nomen beneficii populi Romani est, alterum virtutis atque victoriae. Quid? Caesarem, deorum beneficio rei publicae procreatum dubitemne appellare imperatorem? qui primus Antoni inmanem et foedam crudelitatem non solum a iugulis nostris, sed etiam a membris et visceribus avertit. Unius autem diei quot et quantae virtutes, di immortales, fuerunt! Princeps enim omnium Pansa proelii faciendi et cum Antonio confligendi fuit, dignus imperator legione Martia, digna legio imperatore. Cuius si acerrimum impetum cohibere Pansa potuisset, uno proelio confecta res esset. Sed cum libertatis avida legio effrenatius in aciem hostium inrupisset ipseque in primis Pansa pugnaret, duobus periculosis vulneribus acceptis sublatus e proelio rei publicae vitam reservavit. Ego vero	541:552	0:1164
imperator	NN	[-100,0]	1	1_38	 	, Boios ita ut temptare spem certaminis non auderent territos audivit, in dicionem venit. Litterae consulum amborum de rebus in Gallia prospere gestis sub idem tempus Romam allatae. M. Sergius praetor urbanus in senatu eas, deinde ex auctoritate patrum ad populum recitavit; supplicatio in quadriduum decreta. </section><section> Hiems iam eo tempore erat, et cum T. Quinctius capta Elatia in Phocide ac Locride hiberna disposita haberet, Opunte seditio orta est. Factio una Aetolos, qui propiores erant, altera Romanos accersebat. Aetoli priores venerunt; sed opulentior factio exclusis Aetolis missoque ad imperatorem Romanum nuntio usque in adventum eius tenuit urbem. Arcem regium tenebat praesidium neque ut decederent inde aut Opuntiorum minui aut auctoritate imperatoris Romani perpelli potuerunt. Mora cur non extemplo oppugnarentur ea fuit quod caduceator ab rege venerat locum ac tempus petens conloquio. Id gravate regi concessum est, non quin cuperet Quinctius per se partim armis, partim condicionibus confectum videri bellum: necdum enim sciebat utrum successor sibi alter ex novis consulibus mitteretur an, quod summa vi ut tenderent amicis et propinquis mandaverat, imperium prorogaretur; aptum autem fore conloquium credebat ut sibi liberum	608:619	0:1258
imperator	NN	[-100,0]	1	1_39	 	, Cicereius multis ante annis praetor fuerat--, P. Terentius Tuscivicanus, P. Manilius. moniti deinde consules a patribus, ut, quoniam alterum ex his succedere C. Licinio, qui legatus nominatus erat, in Gallia oporteret, primo; quoque; tempore provincias aut conpararent inter se aut sortirentur, sortiti sunt. M. Iunio Pisae obvenerunt, quem, priusquam in provinciam iret, legationes, quae undique Romam gratulatum convenerant, introducere in senatum placuit, Q. Aelio; Gallia;. ceterum quamquam tales viri mitterentur, quorum de consilio sperari posset imperatores nihil indignum nec clementia nec gravitate populi Romani decreturos esse, tamen in senatu quoque agitata sunt summa consiliorum, ut inchoata omnia legati ab domo ferre ad imperatores possent. Omnium primum liberos esse placebat Macedonas atque Illyrios, ut omnibus gentibus appareret arma populi Romani non liberis servitutem, sed contra servientibus libertatem adferre, ut et, in libertate gentes quae essent, tutam eam sibi perpetuamque sub tutela; populi Romani; esse, et, quae sub regibus viverent, et in praesens tempus mitiores eos iustioresque respectu populi Romani habere se crederent et,	555:566	0:1165
