lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
necessarius	JJ	[-100,0]	1	36_1	 	- praetor tum erat- Argos conventum edixit. Quo cum appareret omnes ferme conventuros, consul quoque, quamquam Aegiensium favebat causae, Argos venit; ubi cum disceptatio fuisset, et rem inclinatam cerneret, incepto destitit. Lacedaemonii deinde eum in sua certamina averterunt. Sollicitam eam civitatem exules maxime habebant, quorum magna pars in maritimis Laconicae orae castellis, quae omnis adempta erat, habitabant. Id aegre patientes Lacedaemonii, ut aliqua liberum ad mare haberent aditum, si quando Romam aliove quo mitterent legatos, simul ut emporium et receptaculum peregrinis mercibus ad necessarios usus esset, nocte adorti vicum maritimum nomine Lan improviso occupaverunt. Vicani quique ibi exules habitabant primo inopinata re territi sunt; deinde sub lucem congregati levi certamine expulerunt Lacedaemonios. Terror tamen omnem maritimam oram pervasit, legatosque communiter et castella omnia vicique et exules, quibus ibi domicilia erant, ad Achaeos miserunt. Philopoemen praetor, iam inde ab initio exulum causae[ et] amicus, et auctor semper Achaeis minuendi opes et auctoritatem Lacedaemoniorum, concilium querentibus dedit, decretumque referente eo factum est, cum in fidem Achaeorum tutelamque T. Quinctius et Romani	601:612	0:1241
necessarius	JJ	[-100,0]	1	36_4	 	, a turmis et levi armatura sunt interclusi. Quorum nisi summa virtus fuisset, vivi capti essent. Nam et munitione praesidii ita coangustabantur, ut eques spatio intercluso vix se defendere posset. Ex utroque genere pugnae conplures sunt vulneribus adfecti, in quis etiam Clodius Arquitius. Inter quos ita comminus est pugnatum ut ex nostris praeter duos centuriones sit nemo desideratus gloria se efferentes. Postero die ad Soricariam utrorumque convenere copiae. Nostri brachia ducere coeperunt. Pompeius cum animadverteret castello se excludi Aspavia, quod est ab Ucubi milia passuum V, haec res necessario devocabat ut ad dimicandum descenderet. Neque tamen aequo loco sui potestatem faciebat, sed ex grumo... Excelsum tumulum capiebant, usque eo ut necessario cogeretur iniquum locum subire. Quo de facto cum utrorumque copiae tumulum excellentem petissent, prohibiti a nostris sunt deiecti planitie. Quae res secundum nostris efficiebat proelium. undique cedentibus adversariis non parum magna in caede versabantur. Quibus mons, non virtus saluti fuit. Quo sub sidio[ paulum modo restiterunt, sic] ut nisi advesperasset, a paucioribus nostris omni auxilio privati essent. Nam ceciderunt ex levi armatura	599:609	0:1210
necessarius	JJ	[-100,0]	1	36_14	 	, an ita temere, ut non veri simile sit quemquam tam temere ad maleficium accessisse. In quo quaeritur, num quo alio modo commodius potuerit fieri vel a fortuna administrari. Nam saepe, si pecuniae, adiumenta, adiutores desint, facultas fuisse faciundi non videtur. Hoc modo si diligenter attendamus, apta inter se esse intelligimus haec, quae negotiis, et illa, quae personis sunt adtributa. Hic non facile est neque necessarium est distinguere, ut in superioribus partibus, quo pacto quicque accusatorem et quomodo defensorem tractare oporteat. Non est necessarium, propterea quod causa posita, quid in quamque conveniat, res ipsa docebit eos, qui non omnia hic se inventuros putabunt, si modo quandam in commune mediocrem intellegentiam conferent; non facile autem, quod et infinitum est tot de rebus utramque in partem singillatim de una quaque explicare et alias aliter haec in utramque partem causae solent convenire. Quare considerare haec, quae exposuimus, oportebit. Facilius autem ad inventionem animus incidet, si gesti negotii et suam et adversarii narrationem saepe et diligenter pertractabit et, quod quaeque pars suspicionis habebit, eliciens	555:566	0:1158
necessarius	JJ	[-100,0]	1	36_15	 	, an turpe, altero utilene esset an inutile, tertio, si id, quod speciem haberet honesti, pugnaret cum eo, quod utile videretur, quomodo ea discerni oporteret, de duobus generibus primis tribus libris explicavit, de tertio autem genere deinceps se scripsit dicturum nec exsolvit id, quod promiserat. Quod eo magis miror, quia scriptum a discipulo eius Posidonio est, triginta annis vixisse Panaetium posteaquam illos libros edidisset. Quem locum miror a Posidonio breviter esse tactum in quibusdam commentariis, praesertim cum scribat nullum esse locum in tota philosophia tam necessarium. Minime vero assentior iis, qui negant eum locum a Panaetio praetermissum, sed consulto relictum, nec omnino scribendum fuisse, quia numquam posset utilitas cum honestate pugnare. De quo alterum potest habere dubitationem, adhibendumne fuerit hoc genus, quod in divisione Panaetii tertium est an plane omittendum, alterum dubitari non potest, quin a Panaetio susceptum sit, sed relictum. Nam qui e divisione tripertita duas partes absolverit, huic necesse est restare tertiam; praeterea in extremo libro tertio de hac parte pollicetur se deinceps esse dicturum. Accedit eodem testis locuples	577:588	0:1181
necessarius	JJ	[-100,0]	1	36_33	 	, comprehensosque libero conclavi ad quaestionem servarent; aediles plebis viderent, ne qua sacra in operto fierent. triumviris capitalibus mandatum est, ut vigilias disponerent per urbem servarentque, ne qui nocturni coetus fierent, utque ab incendiis caveretur; adiutores triumviris quinqueviri cis Tiberim suae quisque regionis aedificiis praeessent. Ad haec officia dimissis magistratibus consules in rostra escenderunt, et contione advocata cum sollemne carmen precationis, quod praefari, priusquam populum adloquantur, magistratus solent, peregisset consul, ita coepit.'' nulli umquam contioni, Quirites, tam non solum apta sed etiam necessaria haec sollemnis deorum comprecatio fuit, quae vos admoneret hos esse deos, quos colere venerari precarique maiores vestri instituissent, non illos, qui pravis et externis religionibus captas mentes velut furialibus stimulis ad omne scelus et ad omnem libidinem agerent. equidem nec quid taceam nec quatenus proloquar invenio. si aliquid ignorabitis, ne locum neglegentiae dem, si omnia nudavero, ne nimium terroris offundam vobis, vereor. quidquid dixero, minus quam pro atrocitate et magnitudine rei dictum scitote esse: ut ad cavendum satis sit, dabitur opera a nobis. Bacchanalia tota	640:650	0:1238
necessarius	JJ	[-100,0]	1	36_35	 	, cum civium cruor, cum cinis patriae versari ante oculos atque animum memoria refricare coeperat, tum denique ei resistebam, neque solum illi hosti ac parricidae sed his etiam propinquis illius, Marcellis, patri et filio, quorum alter apud me parentis gravitatem, alter fili suavitatem obtinebat; neque me arbitrabar sine summo scelere posse, quod maleficium in aliis vindicassem, idem in illorum socio, cum scirem, defendere. Atque idem ego neque P. Sullam supplicem ferre, neque eosdem Marcellos pro huius periculis lacrimantis aspicere, neque huius M. Messalae, hominis necessarii, preces sustinere potui; neque enim est causa adversata naturae, nec homo nec res misericordiae meae repugnavit. Nusquam nomen, nusquam vestigium fuerat, nullum crimen, nullum indicium, nulla suspicio. Suscepi causam, Torquate, suscepi, et feci libenter ut me, quem boni constantem, ut spero, semper existimassent, eundem ne improbi quidem crudelem dicerent. Hic ait se ille, iudices, regnum meum ferre non posse. Quod tandem, Torquate, regnum? Consulatus, credo, mei; in quo ego imperavi nihil et contra patribus	574:584	0:1099
necessarius	JJ	[-100,0]	1	36_36	 	, cum consulto a nobis factum negamus. Ea dividitur in necessitudinem, fortunam, inprudentiam. De his partibus primum ostendendum est; deinde ad deprecationem revertendum videtur. Primum considerandum est, num culpa ventum sit in necessitudinem[ num culpa veniendi necessitudinem fecerit]. Deinde quaerendum est quo modo vis illa vitari potuerit ac levari. Deinde; is, qui; in necessitudinem causam conferet, expertusne sit, quid contra facere aut excogitare posset. Deinde, num quae suspiciones ex coniecturali constitutione trahi possint, quae significent id consulto factum esse, quod necessario cecidisse dicitur. Deinde, si maxime necessitudo quaepiam fuerit, conveniatne eam satis idoneam; causam; putari.; Si autem inprudentia reus se peccasse dicet,; primum quaeretur, utrum potuerit nescire an non potuerit; deinde utrum data sit opera, ut sciretur, an non; deinde, utrum casu nescierit an culpa. Nam qui se propter vinum aut amorem aut iracundiam fugisse rationem dicet, is animi vitio videbitur nescisse, non inprudentia; quare non inprudentia se defendet, sed culpa contaminabit. Deinde coniecturali constitutione quaeretur, utrum scierit an	588:598	0:1154
necessarius	JJ	[-100,0]	1	36_37	 	, cum magno gaudio et gratulatione victor in castra redit. Huic pugnae equestri rem- quam vera sit communis existimatio est- mirabilem certe adiciunt quidam annales: cum refugientem ad urbem Tauream Claudius sequeretur, patenti hostium portae invectum per alteram, stupentibus miraculo hostibus, intactum evasisse. Quieta inde stativa fuere ac retro etiam consul movit castra ut sementem Campani facerent, nec ante violavit agrum Campanum quam iam altae in segetibus herbae pabulum praebere poterant. Id convexit in Claudiana castra super Suessulam ibique hiberna aedificavit. M. Claudio proconsuli imperavit, ut retento Nolae necessario ad tuendam urbem praesidio ceteros milites dimitteret Romam ne oneri sociis et sumptui rei publicae essent. Et Ti. Gracchus a Cumis Luceriam in Apuliam legiones cum duxisset, M. Valerium inde praetorem Brundisium cum eo quem Luceriae habuerat exercitu misit tuerique oram agri Sallentini et providere quod ad Philippum bellumque Macedonicum attineret iussit. Exitu aestatis eius qua haec gesta perscripsimus litterae a P. et Cn. Scipionibus venerunt quantas quamque prosperas in Hispania res gessissent; sed pecuniam in stipendium vestimentaque et frumentum exercitui et sociis navalibus omnia deesse. Quod ad stipendium attineat, si aerarium inops sit	627:637	0:1291
necessarius	JJ	[-100,0]	1	36_38	 	, cum T. Annius ipse magis de rei publicae salute quam de sua perturbetur, me ad eius causam parem animi magnitudinem adferre non posse, tamen haec novi iudici nova forma terret oculos, qui, quocumque inciderunt, consuetudinem fori et pristinum morem iudiciorum requirunt. Non enim corona consessus vester cinctus est, ut solebat; non usitata frequentia stipati sumus: non illa praesidia, quae pro templis omnibus cernitis, etsi contra vim conlocata sunt, non adferunt tamen[ oratori] aliquid, ut in foro et in iudicio, quamquam praesidiis salutaribus et necessariis saepti sumus, tamen ne non timere quidem sine aliquo timore possimus. Quae si opposita Miloni putarem, cederem tempori, iudices, nec inter tantam vim armorum existimarem esse oratori locum. Sed me recreat et reficit Cn. Pompei, sapientissimi et iustissimi viri, consilium, qui profecto nec iustitiae suae putaret esse, quem reum sententiis iudicum tradidisset, eundem telis militum dedere, nec sapientiae, temeritatem concitatae multitudinis auctoritate publica armare. Quam ob rem illa arma, centuriones, cohortes non periculum nobis, sed praesidium denuntiant; neque solum ut quieto,	555:566	0:1153
necessarius	JJ	[-100,0]	1	36_39	 	, dum accensum recenti amore Numidam habet perpellit blanditiis quoque puellae adhibitis ut legatos in Siciliam ad Scipionem mittat per quos moneat eum ne prioribus suis promissis fretus in Africam traiciat; se et nuptiis civis Carthaginiensis, filiae Hasdrubalis quem viderit apud se in hospitio, et publico etiam foedere cum populo Carthaginiensi iunctum optare primum ut procul ab Africa, sicut adhuc fecerint, bellum Romani cum Carthaginiensibus gerant, ne sibi interesse certaminibus eorum armaque aut haec aut illa abnuentem alteram societatem sequi necesse sit: si non abstineat Africa Scipio et Carthagini exercitum admoveat, sibi necessarium fore et pro terra Africa in qua et ipse sit genitus et pro patria coniugis suae proque parente ac penatibus dimicare. Cum his mandatis ab rege legati ad Scipionem missi Syracusis eum convenerunt. Scipio quamquam magno momento rerum in Africa gerendarum magnaque spe destitutus erat, legatis propere priusquam res volgaretur remissis in Africam litteras dat ad regem quibus etiam atque etiam monet eum ne iura hospitii se cum neu cum populo Romano initae societatis neu fas fidem dexteras deos testes atque arbitros conventorum fallat. ceterum quando neque celari adventus Numidarum poterat- vagati enim in urbe	639:650	0:1262
