lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
nobilitas	NN	[-100,0]	1	20_0	 	Zela est oppidum in Ponto positum, ipsum ut in plano loco satis munitum: tumulus enim naturalis, velut manu factus, excelsiore undique fastigio sustinet murum. Circumpositi sunt huic oppido magni multique intercisi vallibus colles; quorum editissimus unus, qui propter victoriam Mithridatis et infelicitatem Triari detrimentumque exercitus nostri magnam in illis partibus habet nobilitatem, superioribus locis atque itineribus paene coniunctus[ est] oppido nec multo longius milibus passuum III abest ab Zela. Hunc locum Pharnaces veteribus paternorum felicium castrorum refectis operibus copiis suis omnibus occupavit.	378:389	0:620
nobilitas	NN	[-300,0]	1	20_8	 	, </line><line> Si non aurea sunt iuuenum simulacra per aedes </line><line> Lampadas igniferas manibus retinentia dextris, </line><line> Lumina nocturnis epulis ut suppeditentur, </line><line> Nec domus argento fulget auroque renidet </line><line> Nec citharae reboant laqueata aurataque templa, </line><line> Cum tamen inter se prostrati in gramine molli </line><line> Propter aquae riuum sub ramis arboris altae </line><line> Non magnis opibus iucunde corpora curant, </line><line> Praesertim cum tempestas arridet et anni </line><line> Tempora conspergunt uiridantis floribus herbas. </line><line> Nec calidae citius decedunt corpore febres, </line><line> Textilibus si in picturis ostroque rubenti </line><line> Iacteris, quam si in plebeia ueste cubandum est. </line><line> Quapropter quoniam nil nostro in corpore gazae </line><line> Proficiunt neque nobilitas nec gloria regni, </line><line> Quod superest, animo quoque nil prodesse putandum; </line><line> Si non forte tuas legiones per loca campi </line><line> Feruere cum uideas belli simulacra cientis, </line><line> Subsidiis magnis epicuri constabilitas, </line><line> Ornatas armis itastuas pariterque animatas, </line><line> Feruere cum uideas classem lateque uagari, </line><line> His tibi tum rebus timefactae religiones </line><line> Effugiunt animo pauidae; mortisque timores </line><line> Tum uacuum pectus linquunt curaque solutum. </line><line> Quod si ridicula haec ludibriaque esse uidemus, </line><line> Re ueraque metus hominum curaeque sequaces </line><line> Nec metuunt sonitus armorum nec fera tela </line><line> Audacterque inter reges rerumque potentis </line><line> Versantur neque fulgorem reuerentur ab auro </line><line> Nec clarum uestis	857:866	0:1724
nobilitas	NN	[-100,0]	1	20_10	 	, cum casu in eadem causa efferretur anus Iunia. Pro di immortales, quae fuit illa, quanta vis! Quam inexspectata! Quam repentina! Cum coniectis oculis, gestu omni ei imminenti, summa gravitate et celeritate Vorum; Brute, quid sedes? Quid illam anum patri nuntiare vis tuo? Quid illis omnibus, quorum imagines duci vides? Quid maioribus tuis? Quid L. Bruto, qui hunc populum dominatu regio liberavit? Quid te agere? Cui rei, cui gloriae, cui virtuti studere? Patrimonione augendo? At id non est nobilitatis. Sed fac esse, nihil superest; libidines totum dissipaverunt. An iuri civili? Est paternum. Sed dicet te, cum aedis venderes, ne in rutis quidem et caesis tibi paternum recepisse. An rei militari? Qui numquam castra videris! An eloquentiae? Quae neque est in te, et, quicquid est vocis ac linguae, omne in istum turpissimum calumniae quaestum contulisti! Tu lucem aspicere audes? Tu hos intueri? Tu in foro,[ tu in urbe,] tu in civium esse conspectu? Tu illam mortuam,	495:506	0:976
nobilitas	NN	[-300,0]	1	20_15	 	, et quidquid habet nummorum, se cum habet ipse, </line><line> cum bulga cenat, dormit, lauit. omnia in una </line><line> sunt homini bulga: bulga haec deuincta lacerto est. </line><line> quem neque Lucanis oriundi montibus tauri </line><line> ducere protelo ualidis ceruicibus possent, </line><line> zonatim circum inpluuium cinerarius </line><line> cludebat </line><line> tres a Deucalione grabati restibus tenti </line><line> pluma atque amphitapoe et si aliud quid deliciarum </line><line> hic tu apte credis quemquam latrina petisse? </line><line> e Sicula Luciliu Sardiniensem </line><line> terram </line><line> pretium redimet, qui uendit equum, musimonem. </line>  <line> " nequitia occupat hoc, petulantia prodigitasque." </line><line> peccare inpune rati sunt </line><line> posse et nobilitati facul propellere iniquos." </line><line> suam enim rem inuadere se atque innubere censent </line><line> haec, inquam, rudet ex rostris atque heiulitabit, </line><line> concursans, ueluti Ancarius, clareque quiritans. </line><line> Phryne nobilis illa ubi amatorem inprobius quem </line><line> rador subuellor, desquamor pumicor, ornor, </line><line> expilor expingor </line><line> ne auriculam obsidat caries, ne uermiculi qui. </line><line> quos? oculi non sunt neque nasum? et qualia sunt! </line><line> calda siem ac bene plena, si olorum atque anseris collus. </line><line> qui te diligat, aetatis facieque tuae se </line><line> fautorem ostendat, fore amicum polliceatur. </line><line> aetatem et faciem,	793:803	0:1514
nobilitas	NN	[-100,0]	1	20_19	 	, hinc equites Romani lautissimi et plurimi. Sed, si Aricinam uxorem non probas, cur probas Tusculanam? Quamquam huius sanctissimae feminae atque optimae pater, M. Atius Balbus, in primis honestus, praetorius fuit; tuae coniugis, bonae feminae, locupletis quidem certe, Bambalio quidam pater, homo nullo numero. Nihil illo contemptius, qui propter haesitantiam linguae stuporemque cordis cognomen ex contumelia traxerit. At avus nobilis. Tuditanus nempe ille, qui cum palla et cothurnis nummos populo de rostris spargere solebat. Vellem hanc contemptionem pecuniae suis reliquisset! Habetis nobilitatem generis gloriosam. Qui autem evenit, ut tibi Iulia natus ignobilis videatur, cum tu eodem materno genere soleas gloriari? Quae porro amentia est eum dicere aliquid de uxorum ignobilitate, cuius pater Numitoriam Fregellanam, proditoris filiam, habuerit uxorem, ipse ex libertini filia susceperit liberos? Sed hoc clarissimi viri viderint, L. Philippus qui habet Aricinam uxorem, C. Marcellus, qui Aricinae filiam; quos certe scio dignitatis optimarum feminarum non paenitere. Idem etiam Q. Ciceronem, fratris mei filium, compellat edicto nec sentit amens commendationem esse conpellationem suam. Quid	591:602	0:1203
nobilitas	NN	[-100,0]	1	20_21	 	, idem postquam ad magnos honores pervenit, summus imperator, idem in pace, si ius consuleres, peritissimus, si causa oranda esset, eloquentissimus, nec is tantum, cuius lingua vivo eo viguerit, monumentum eloquentiae nullum exstet: vivit immo vigetque eloquentia eius sacrata scriptis omnis generis. orationes et pro se multae et pro aliis et in alios: nam non solum accusando sed etiam causam dicendo fatigavit inimicos. simultates nimio plures et exercuerunt eum et ipse exercuit eas; nec facile dixeris, utrum magis presserit eum nobilitas, an ille agitaverit nobilitatem. asperi procul dubio animi et linguae acerbae et immodice liberae fuit, sed invicti a cupiditatibus animi, rigidae innocentiae, contemptor gratiae, divitiarum. in parsimonia, in patientia laboris periculique ferrei prope corporis animique, quem ne senectus quidem, quae solvit omnia, fregerit, qui sextum et octogesimum annum agens causam dixerit, ipse pro se oraverit scripseritque, nonagesimo anno Ser. Galbam ad populi adduxerit iudicium. a. Hunc, sicut omni vita, tum petentem premebat nobilitas; coierantque praeter L. Flaccum, qui collega in consulatu fuerat, candidati omnes	564:575	0:1158
nobilitas	NN	[-100,0]	1	20_23	 	, insigne utriusque fortunae exemplum, nobis documento sint. ne tibi, P. Corneli, cum ex alto Africam conspexeris, ludus et iocus fuisse Hispaniae tuae videbuntur. quid enim simile? pacato mari praeter oram Italiae Galliaeque vectus Emporias in urbem sociorum classem adpulisti; expositos milites per tutissima omnia ad socios et amicos populi Romani Tarraconem duxisti; ab Tarracone deinde iter per praesidia Romana; circa Hiberum exercitus patris patruique tui post amissos imperatores ferociores calamitate ipsa facti, et dux tumultuarius quidem ille L. Marcius et militari suffragio ad tempus lectus, ceterum si nobilitas ac iusti honores adornarent, claris imperatoribus qualibet arte belli par; oppugnata per summum otium Carthago nullo trium Punicorum exercituum socios defendente; cetera- neque ea elevo- nullo tamen modo Africo bello comparanda, ubi non portus ullus classi nostrae apertus, non ager pacatus, non civitas socia, non rex amicus, non consistendi usquam locus, non procedendi; quacumque circumspexeris hostilia omnia atque infesta.'' An Syphaci Numidisque credis? satis sit semel creditum; non semper temeritas est felix, et fraus fidem in parvis sibi praestruit ut, cum operae	616:625	0:1200
nobilitas	NN	[-100,0]	1	20_25	 	, minime popularis fuisse; si quid locuti populariter videamur, id nos eo consilio fecisse ut nobis Cn. Pompeium adiungeremus, ut eum qui plurimum posset aut amicum in nostra petitione haberemus aut certe non adversarium. Praeterea adulescentis nobilis elabora ut habeas, vel ut teneas studiosos quos habes; multum dignitatis adferent. Plurimos habes; perfice ut sciant quantum in iis putes esse. Si adduxeris ut ii qui non nolunt cupiant, plurimum proderunt. </section><section> Ac multum etiam novitatem tuam adiuvat quod eius modi nobiles tecum petunt ut nemo sit qui audeat dicere plus illis nobilitatem quam tibi virtutem prodesse oportere. Nam P. Galbam et L. Cassium summo loco natos quis est qui petere consulatum putet? Vides igitur amplissimis ex familiis homines, quod sine nervis sint, tibi paris non esse. At Antonius et Catilina molesti sunt. Immo homini navo, industrio, innocenti, diserto, gratioso apud eos qui res iudicant, optandi competitores ambo a pueritia sicarii, ambo libidinosi, ambo egentes. Eorum alterius bona proscripta vidimus, vocem denique audivimus iurantis se Romae iudicio aequo cum homine Graeco certare non posse, ex senatu eiectum	596:607	0:1170
nobilitas	NN	[-100,0]	1	20_38	 	, sed ne cupienti quidem cuiquam permittitur. Hiemis enim, non avaritiae perfugium maiores nostri in sociorum atque amicorum tectis esse voluerunt. </section><section> Age vero: ceteris in rebus quali sit temperantia considerate. Unde illam tantam celeritatem et tam incredibilem cursum inventum putatis? Non enim illum eximia vis remigum aut ars inaudita quaedam gubernandi aut venti aliqui novi tam celeriter in ultimas terras pertulerunt; sed eae res quae ceteros remorari solent, non retardarunt: non avaritia ab instituto cursu ad praedam aliquam devocavit, non libido ad voluptatem, non amoenitas ad delectationem, non nobilitas urbis ad cognitionem, non denique labor ipse ad quietem; postremo signa et tabulas ceteraque ornamenta Graecorum oppidorum, quae ceteri tellenda esse arbitrantur, ea sibi ille ne visenda quidem existimavit. </section><section> Itaque omnes nunc in eis locis Cn. Pompeium sicut aliquem non ex hac urbe missum, sed de caelo delapsum intuentur. Nunc denique incipiunt credere fuisse homines Romanos hac quondam continentia, quod iam nationibus exteris incredibile ac falso memoriae proditum videbatur. Nunc imperi vestri splendor illis gentibus lucem adferre coepit. Nunc intellegunt non sine causa maiores suos, tum cum ea temperantia	625:634	0:1268
nobilitas	NN	[-100,0]	1	20_39	 	, tota res militaris divinitus esset constituta, tum progressio admirabilis incredibilisque cursus ad omnem excellentiam factus est dominatu regio re p. liberata. Nec vero hic locus est, ut de moribus institutisque maiorum et disciplina ac temperatione civitatis loquamur; aliis haec locis satis accurate a nobis dicta sunt maximeque in is sex libris, quos de re publica scripsimus. Hoc autem loco consideranti mihi studia doctrinae multa sane occurrunt, cur ea quoque arcessita aliunde neque solum expetita, sed etiam conservata et culta videantur. Erat enim illis paene in conspectu praestanti sapientia et nobilitate Pythagoras, qui fuit in Italia temporibus isdem quibus L. Brutus patriam liberavit, praeclarus auctor nobilitatis tuae. Pythagorae autem doctrina cum longe lateque flueret, permanavisse mihi videtur in hanc civitatem, idque cum coniectura probabile est, tum quibusdam etiam vestigiis indicatur. Quis enim est qui putet, cum floreret in Italia Graecia potentissumis et maximis urbibus, ea quae magna dicta est, in isque primum ipsius Pythagorae, deinde postea Pythagoreorum tantum nomen esset, nostrorum hominum ad eorum doctissimas voces aures clausas fuisse? Quin etiam arbitror propter Pythagoreorum admirationem Numam quoque regem	609:619	0:1254
