lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
pontifex	NN	[-100,0]	1	7_0	 	, at post de eius heredibus aliquis exegisset pro sua parte id quod ab eo quoi ipse heres esset praetermissum fuisset, eaque pecunia non minor esset facta cum superiore exactione quam heredibus omnibus esset relicta, qui eam pecuniam exegisset, solum sine coheredibus sacris alligari. Quin etiam cavent ut, cui plus legatum sit quam sine religione capere liceat, is per aes et libram heredes testamenti solvat, propterea quod eo loco res est ita soluta hereditate, quasi ea pecunia legata non esset.  XXI Hoc ego loco multisque aliis quaero a vobis Scaevolae, pontifices maximi et homines meo quidem iudicio acutissimi, quid sit quod ad ius pontificium civile adpetatis; civilis enim iuris scientia pontificium quodam modo tollitis. Nam sacra cum pecunia pontificum auctoritate, nulla lege coniuncta sunt. Itaquc si vos tantummodo pontifices essetis, pontificalis maneret auctoritas; sed quod idem iuris civilis estis peritissimi, hac scientia illam eludistis. Placuit P. Scaevolae et Ti. Coruncanio pontificibus maximis itemque ceteris, eos qui tantundem caperent quantum omnes heredes sacris alligari. Habeo ius pontificium.  Quid huc accessit ex iure civili? Partitionis caput scriptum caute, ut	560:570	0:1199
pontifex	NN	[-100,0]	1	7_1	 	, comitia habita; declarati consules Q. Fabius Maximus quintum, Q. Fulvius Flaccus quartum. praetores inde creati L. Veturius Philo, T. Quinctius Crispinus, C. Hostilius Tubulus, C. Aurunculeius. magistratibus in annum creatis Q. Fulvius dictatura se abdicavit. Extremo aestatis huius classis Punica navium quadraginta cum praefecto Hamilcare in Sardiniam traiecta, Olbiensem primo, dein postquam ibi P. Manlius Volso praetor cum exercitu apparuit circumacta inde ad alterum insulae latus Caralitanum agrum vastavit, et cum praeda omnis generis in Africam redit. Sacerdotes Romani eo anno mortui aliquot suffectique. C. Servilius pontifex factus in locum T. Otacili Crassi, Ti. Sempronius Ti. filius Longus augur factus in locum T. Otacili Crassi. decemvir item sacris faciundis in locum Ti. Semproni C. filii Longi Ti. Sempronius Ti. filius Longus suffectus. M. Marcius rex sacrorum mortuus est et M. Aemilius Papus maximus curio; neque in eorum locum sacerdotes eo anno suffecti. Et censores hic annus habuit L. Veturium Philonem et P. Licinium Crassum, maximum pontificem. Crassus Licinius nec consul nec praetor ante fuerat quam censor est factus: ex aedilitate gradum ad censuram fecit. sed hi censores neque	630:638	0:1214
pontifex	NN	[-100,0]	1	7_2	 	, contacturum funebribus diris signa tela arma hostium, locumque eundem suae pestis ac Gallorum ac Samnitium fore,- haec exsecratus in se hostesque, qua confertissimam cernebat Gallorum aciem, concitat equum inferensque se ipse infestis telis est interfectus.  Vix humanae inde opis videri pugna potuit. Romani duce amisso, quae res terrori alias esse solet, sistere fugam ac novam de integro velle instaurare pugnam; Galli et maxime globus circumstans consulis corpus velut alienata mente vana in cassum iactare tela; torpere quidam et nec pugnae meminisse nec fugae. At ex parte altera pontifex Livius, cui lictores Decius tradiderat iusseratque pro praetore esse, vociferari vicisse Romanos defunctos consulis fato; Gallos Samnitesque Telluris Matris ac Deorum Manium esse; rapere ad se ac vocare Decium devotam se cum aciem furiarumque ac formidinis plena omnia ad hostes esse. Superveniunt deinde his restituentibus pugnam L. Cornelius Scipio et C. Marcius, cum subsidiis ex novissima acie iussu Q. Fabi consulis ad praesidium collegae missi. Ibi auditur P. Deci eventus, ingens hortamen ad omnia pro re publica audenda. Itaque cum Galli structis ante se scutis conferti starent nec facilis pede conlato	588:596	0:1209
pontifex	NN	[-100,0]	1	7_3	 	, cum appareret aedilibus fierique se pro tribu aedilem videret neque accipi nomen quia scriptum faceret, tabulam posuisse et iurasse se scriptum non facturum; quem aliquanto ante desisse scriptum facere arguit Macer Licinius tribunatu ante gesto triumviratibusque, nocturno altero, altero coloniae deducendae. Ceterum, id quod haud discrepat, contumacia adversus contemnentes humilitatem suam nobiles certavit; civile ius, repositum in penetralibus pontificum, evolgavit fastosque circa forum in albo proposuit, ut quando lege agi posset sciretur; aedem Concordiae in area Volcani summa invidia nobilium dedicavit; coactusque consensu populi Cornelius Barbatus pontifex maximus verba praeire, cum more maiorum negaret nisi consulem aut imperatorem posse templum dedicare. Itaque ex auctoritate senatus latum ad populum est ne quis templum aramve iniussu senatus aut tribunorum plebei partis maioris dedicaret.- haud memorabilem rem per se, nisi documentum sit adversus superbiam nobilium plebeiae libertatis, referam. Ad collegam aegrum visendi causa Flavius cum venisset consensuque nobilium adulescentium, qui ibi adsidebant, adsurrectum ei non esset, curulem adferri sellam eo iussit ac sede honoris sui anxios invidia inimicos spectavit.- ceterum Flavium dixerat aedilem forensis factio, Ap.	662:670	0:1297
pontifex	NN	[-100,0]	1	7_4	 	, duobus locis dicta, maxima frequentia amplissimorum ac sapientissimorum civium adstante, omni religione una mente omnes liberaverunt. Nego umquam post sacra constituta, quorum eadem est antiquitas quae ipsius urbis, ulla de re, ne de capite quidem virginum Vestalium, tam frequens conlegium iudicasse. Quamquam ad facinoris disquisitionem interest adesse quam plurimos( ita est enim interpretatio illa pontificum, ut eidem potestatem habeant iudicum), religionis explanatio vel ab uno pontifice perito recte fieri potest( quod idem in iudicio capitis durum atque iniquum est), tamen sic reperietis, frequentiores pontifices de mea domo quam umquam de caerimoniis virginum iudicasse. Postero die frequentissimus senatus te consule designato, Lentule, sententiae principe, P. Lentulo et Q. Metello consulibus referentibus statuit, cum omnes pontifices qui erant huius ordinis adessent, cumque alii qui honoribus populi Romani antecedebant multa de conlegi iudicio verba fecissent, omnesque idem scribendo adessent, domum meam iudicio pontificum religione liberatam videri. De hoc igitur loco sacro potissimum videntur haruspices dicere, qui locus solus ex privatis locis omnibus hoc praecipue iuris habet, ut ab ipsis qui sacris praesunt sacer non esse iudicatus	615:625	0:1263
pontifex	NN	[-100,0]	1	7_5	 	, ex plebe sit, Numae, L. Tarquinio, Ser. Tullio similis, an, ne si sit quidem, ad gubernacula rei publicae accedere eum patiemur, potiusque decemviris, taeterrimis mortalium, qui tum omnes ex patribus erant, quam optimis regum, novis hominibus, similes consules sumus habituri?    ; At enim nemo post reges exactos de plebe consul fuit. Quid postea? Nullane res nova institui debet? Et quod nondum est factum- multa enim nondum sunt facta in novo populo,- ea ne si utilia quidem sunt fieri oportet? Pontifices, augures Romulo regnante nulli erant; ab Numa Pompilio creati sunt. Census in civitate et discriptio centuriarum classiumque non erat; ab Ser. Tullio est facta. Consules nunquam fuerant; regibus exactis creati sunt. Dictatoris nec imperium nec nomen fuerat; apud patres esse coepit. Tribuni plebi, aediles, quaestores nulli erant; institutum est ut fierent. Decemviros legibus scribendis intra decem hos annos et creavimus et e re publica sustulimus. Quis dubitat quin in aeternum urbe condita, in immensum crescente nova imperia, sacerdotia, iura gentium hominumque instituantur?	500:510	0:1092
pontifex	NN	[-100,0]	1	7_6	 	, id semper populo Romano, semper senatui, semper ipsis dis immortalibus satis sanctum, satis augustum, satis religiosum esse visum est. At vero meam domum P. Lentulus, consul et pontifex, P. Servilius, M. Lucullus, Q. Metellus, M''. Glabrio, M. Messalla, L. Lentulus, flamen Martialis, P. Galba, Q. Metellus Scipio, C. Fannius, M. Lepidus, L. Claudius rex sacrorum, M. Scaurus, M. Crassus, C. Curio, Sex. Caesar flamen Quirinalis, Q. Cornelius, P. Albinovanus, Q. Terentius, pontifices minores, causa cognita, duobus locis dicta, maxima frequentia amplissimorum ac sapientissimorum civium adstante, omni religione una mente omnes liberaverunt. Nego umquam post sacra constituta, quorum eadem est antiquitas quae ipsius urbis, ulla de re, ne de capite quidem virginum Vestalium, tam frequens conlegium iudicasse. Quamquam ad facinoris disquisitionem interest adesse quam plurimos( ita est enim interpretatio illa pontificum, ut eidem potestatem habeant iudicum), religionis explanatio vel ab uno pontifice perito recte fieri potest( quod idem in iudicio capitis durum atque iniquum est), tamen	476:486	0:1094
pontifex	NN	[-100,0]	1	7_9	 	, instaurataeque sunt ex decreto pontificum. eadem tempestas et in Capitolio aliquot signa prostravit fulminibusque complura loca deformavit, aedem Iovis Tarracinae, aedem Albam Capuae portamque Romanam; muri pinnae aliquot locis decussae erant. haec inter prodigia nuntiatum et ab Reate tripedem natum mulum. ob ea decemviri iussi adire libros edidere, quibus diis et quot hostiis sacrificaretur, et[ fulminibus complura loca deformata aedem Iovis] ut supplicatio diem unum esset. ludi deinde votivi Q. Fulvii consulis per dies decem magno apparatu facti. Censorum inde comitia habita: creati M. Aemilius Lepidus pontifex maximus et M. Fulvius Nobilior, qui ex Aetolis triumphaverat. inter hos viros nobiles inimicitiae erant, saepe multis et in senatu et ad populum atrocibus celebratae certaminibus. comitiis confectis, ut traditum antiquitus est, censores in Campo ad aram Martis sellis curulibus consederunt; quo repente principes senatorum cum agmine venerunt civitatis, inter quos Q. Caecilius Metellus verba fecit.    '' Non obliti sumus, censores, vos paulo ante ab universo populo Romano moribus nostris praepositos esse, et nos a vobis et admoneri et regi, non vos a nobis debere. indicandum	614:622	0:1203
pontifex	NN	[-100,0]	1	7_17	 	, longinquo, maxime quartanae, implicabantur morbo. servitia maxime moriebantur; eorum strages per omnis vias insepultorum erat. ne liberorum quidem funeribus Libitina sufficiebat. cadavera intacta a canibus ac volturibus tabes absumebat; satisque constabat nec illo nec priore anno in tanta strage boum hominumque volturium usquam visum. sacerdotes publici ea pestilentia mortui sunt Cn. Servilius Caepio pontifex, pater praetoris, et Ti. Sempronius Ti. filius Longus decemvir sacrorum et P. Aelius Paetus augur et Ti. Sempronius Gracchus et C. Mamilius Atellus curio maximus; et; M. Sempronius Tuditanus; pontifex;. pontifices suffecti sunt C. Sulpicius Galba in locum Tuditani. augures suffecti sunt in Gracchi locum T. Veturius Gracchus Sempronianus, in P. Aeli Q. Aelius Paetus. decemvir sacrorum C. Sempronius Longus, curio maximus C. Scribonius Curio sufficitur. cum pestilentiae finis non fieret, senatus decrevit, uti decemviri libros Sibyllinos adirent. ex decreto eorum diem unum supplicatio fuit, et Q. Marcio Philippo verba praeeunte populus in foro votum concepit, si morbus pestilentiaque ex agro Romano emota esset, biduum ferias ac supplicationem se habiturum. in Veienti agro biceps natus puer, et Sinuessae	618:628	0:1226
pontifex	NN	[-100,0]	1	7_22	 	, mox redituros se legati rebus perfectis adfirmant. Profecti cum mandata plebis patribus exposuissent, alii decemviri, quando quidem praeter spem ipsorum supplicii sui nulla mentio fieret, haud quicquam abnuere: Appius truci ingenio et invidia praecipua odium in se aliorum suo in eos metiens odio,'' haud ignaro'' inquit,'' imminet fortuna. Video donec arma adversariis tradantur diferri adversus nos certamen. Dandus invidiae est sanguis. Nihil ne ego quidem moror quo minus decemviratu abeam.'' Factum senatus consultum ut decemviri se primo quoque tempore magistratu abdicarent, Q. Furius pontifex maximus tribunos plebis crearet; et ne cui fraudi esset secessio militum plebisque. His senatus consultis perfectis dimisso senatu, decemviri prodeunt in contionem abdicantque se magistratu, ingenti hominum laetitia. Nuntiantur haec plebi. Legatos quidquid in urbe hominum supererat prosequitur. Huic multitudini laeta alia turba ex castris occurrit. Congratulantur libertatem concordiamque civitati restitutam. Legati pro contione:'' Quod bonum faustum felixque sit vobis reique publicae, redite in patriam ad penates coniuges liberosque vestros; sed qua hic modestia fuistis, ubi nullius ager in tot rerum usu necessario tantae multitudini est	594:602	0:1249
