lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
regnum	NN	[-100,0]	1	31_26	 	, </line><line> fons vivus, ignis, caritas, </line><line> et spiritalis unctio. </line><line> Tu septiformis munere, </line><line> dextrae Dei tu digitus, </line><line> tu rite promissum patris, </line><line> sermone ditans guttura. </line><line> Accende lumen sensibus, </line><line> infunde amorem cordibus, </line><line> infirma nostri corporis </line><line> virtute firmans perpeti! </line><line> Hostem repellas longius </line><line> pacemque dones protinus; </line><line> ductore sic te praevio </line><line> vitemus omne noxium. </line><line> Per te sciamus da patrem, </line><line> noscamus atque filium, </line><line> te utriusque spiritum </line><line> credamus omni tempore. </section></line><section> Homerus. . . ante Romam conditam. . . annis circiter centum et sexaginta. M. Manlius, convictus est consilium de regno occupando inisse, Verando necatus est. </section><section> a virgine Vestale me iuvene violacea purpura vigebat, cuius libra denariis centum venibat, nec multo post rubra Tarentina. huic successit dibapha Tyria, quae in libras denariis mille non poterat emi. hac P. Lentulus Spinther aedilis curulis primus in praetexta usus inprobabatur. qua purpura quis non iam tricliniaria facit? aedis Martis est in circo Flaminio architectata ab Hermodoro Salaminio. </section>  <section> ; freti Gaditani; latitudinis minus VII milia passuum, ubi vero plurumum, X milia. Alpes in latitudinem C milia. cum; Q. Metellus	826:831	0:1440
regnum	NN	[-100,0]	1	31_31	 	, advenienti Caesari occurrerunt seque ei dediderunt. Caesar in fidem receptos consolatus per hostium munitiones in suam partem oppidi magna gratulatione venit suorum, qui non tantum bellum ipsum ac dimicationem sed etiam talem adventum eius felicem fuisse laetabantur. </section><section> Caesar Aegypto atque Alexandrea potitus reges constituit quos Ptolomaeus testamento scripserat atque obtestatus erat populum Romanum ne mutarentur. Nam maiore ex duobus pueris, rege, amisso minori tradidit regnum maiorique ex duabus filiis, Cleopatrae, quae manserat in fide praesidiisque eius; minorem, Arsinoen, cuius nomine diu regnasse impotenter Ganymeden docuimus, deducere ex regno statuit, ne qua rursus nova dissensio, prius quam diuturnitate confirmarentur regibus imperia, per homines seditiosos nasceretur. Legiones ibi veterana sexta se cum reducta ceteras reliquit, quo firmius esset eorum regum imperium, qui neque amorem suorum habere poterant, quod fideliter permanserant in Caesaris amicitia, neque vetustatis auctoritatem, paucis diebus reges constituti. Simul ad imperi nostri dignitatem utilitatemque publicam pertinere existimabat, si permanerent in fide reges, praesidiis eos nostris esse tutos; si essent ingrati, posse isdem praesidiis coerceri. Sic rebus omnibus confectis et collocatis ipse[ itinere	673:678	0:1317
regnum	NN	[-100,0]	1	31_32	 	, alias per multos annos nullo ambigente libertatem usurpasse? nam si quod aliquando servierunt, temporum iniquitate pressi, ius post tot saecula adserendi eos in servitutem faciet, quid abest quin actum nobis nihil sit, quod a Philippo liberavimus Graeciam, et repetant posteri eius Corinthum, Chalcidem, Demetriadem et Thessalorum totam gentem? sed quid ego causam civitatium ago quam ipsis agentibus et nos et regem ipsum cognoscere aequius est?'' Vocari deinde civitatium legationes iussit, praeparatas iam ante et instructas ab Eumene, qui quantumcumque virium Antiocho decessisset, suo id accessurum regno ducebat. admissi plures, dum suas quisque nunc querellas, nunc postulationes inserit et aequa iniquis miscent, ex disceptatione altercationem fecerunt. itaque nec remissa ulla re nec impetrata, aeque ac venerant omnium incerti legati Romam redierunt. rex dimissis iis consilium de bello Romano habuit. ibi alius alio ferocius, quia quo quisque asperius adversus Romanos locutus esset, eo spes gratiae maior erat, alius superbiam postulatorum increpare, tamquam Nabidi victo, sic Antiocho, maximo Asiae regum, imponentium leges: quamquam Nabidi tamen dominationem in patria sua et patria Lacedaemone remissam	606:611	0:1220
regnum	NN	[-100,0]	1	31_33	 	, consilium habuit. ibi aliquamdiu diversis sententiis certatum est. erant, quibus vel stipendium; pendendum;, si iniungeretur, vel agri parte cedendum, si multarent, quidquid denique aliud pacis causa patiendum esset, non recusandum videretur, nec committendum, ut in aleam tanti casus se regnumque daret. si possessio haud ambigua regni maneret, multa diem tempusque adferre posse, quibus non amissa modo reciperare, sed timendus ultro iis esse, quos nunc timeret, posset. ceterum multo maior pars ferocioris sententiae erat. quidquid cessisset, cum eo simul regno protinus cedendum esse adfirmabant. neque enim Romanos pecunia aut agro egere, sed hoc scire, cum omnia humana, tum maxima quaeque et regna et imperia sub casibus multis esse. Carthaginiensium opes fregisse sese, et cervicibus eorum praepotentem finitimum regem inposuisse; Antiochum progeniemque eius ultra iuga Tauri emotum; unum esse Macedoniae regnum, et regione propincum, et quod, sicubi populo Romano sua fortuna labet, antiquos animos regibus suis videatur posse facere. dum integrae; res sint, statuere; apud animum suum Persea debere, utrum singula concedendo nudatus ad	561:566	0:1148
regnum	NN	[-100,0]	1	31_34	 	, cum urbem ex omnibus partibus, quem ad modum discriptum distributumque erat, incendissent caedemque infinitam civium fecissent, praesto esset ille, qui et fugientis exciperet et se cum his urbanis ducibus coniungeret. Introducti autem Galli ius iurandum sibi et litteras ab Lentulo, Cethego, Statilio ad suam gentem data esse dixerunt, atque ita sibi ab his et a L. Cassio esse praescriptum, ut equitatum in Italiam quam primum mitterent; pedestres sibi copias non defuturas. Lentulum autem sibi confirmasse ex fatis Sibyllinis haruspicumque responsis se esse tertium illum Cornelium, ad quem regnum huius urbis atque imperium pervenire esset necesse; Cinnam ante se et Sullam fuisse. Eundemque dixisse fatalem hunc annum esse ad interitum huius urbis atque imperii, qui esset annus decimus post virginum absolutionem, post Capitoli autem incensionem vice simus. Hanc autem Cethego cum ceteris controversiam fuisse dixerunt, quod Lentulo et aliis Saturnalibus caedem fieri atque urbem incendi placeret, Cethego nimium id longum videretur. Ac ne longum sit, Quirites, tabellas proferri iussimus, quae a quoque dicebantur datae. Primo ostendimus Cethego; signum cognovit. Nos linum incidimus, legimus.	595:601	0:1202
regnum	NN	[-100,0]	1	31_35	 	, Curtium lacum appellarunt. Ex bello tam tristi laeta repente pax cariores Sabinas viris ac parentibus et ante omnes Romulo ipsi fecit. Itaque cum populum in curias triginta divideret, nomina earum curiis imposuit. Id non traditur, cum haud dubie aliquanto numerus maior hoc mulierum fuerit, aetate an dignitatibus suis virorumve an sorte lectae sint, quae nomina curiis darent. Eodem tempore et centuriae tres equitum conscriptae sunt. Ramnenses ab Romulo, ab T. Tatio Titienses appellati: Lucerum nominis et originis causa incerta est. Inde non modo commune sed concors etiam regnum duobus regibus fuit. Post aliquot annos propinqui regis Tati legatos Laurentium pulsant; cumque Laurentes iure gentium agerent, apud Tatium gratia suorum et preces plus poterant. Igitur illorum poenam in se vertit; nam Lavinii cum ad sollemne sacrificium eo venisset concursu facto interficitur. Eam rem minus aegre quam dignum erat tulisse Romulum ferunt, seu ob infidam societatem regni seu quia haud iniuria caesum credebat. Itaque bello quidem abstinuit; ut tamen expiarentur legatorum iniuriae regisque caedes, foedus inter Romam Laviniumque urbes renovatum est. Et cum his quidem insperata pax erat:	579:585	0:1192
regnum	NN	[-100,0]	1	31_36	 	, et eas, quibus semustulatus ille est, et eas, quibus incensa L. Bellieni domus deflagravit; tu illos impetus perditorum hominum et ex maxima parte servorum, quos nos vi manuque reppulimus, in nostras domos inmisisti. Idem tamen quasi fuligine abstersa reliquis diebus in Capitolio praeclara senatus consulta fecisti, ne qua post Idus Martias immunitatis tabula neve cuius benefici figeretur. Meministi ipse, de exulibus, scis, de immunitate quid dixeris. Optimum vero, quod dictaturae nomen in perpetuum de re publica sustulisti; quo quidem facto tantum te cepisse odium regni videbatur, ut eius omen omne propter proximum dictatoris metum tolleres. Constituta res publica videbatur aliis, mihi vero nullo modo, qui omnia te gubernante naufragia metuebam. Num igitur me fefellit, aut num diutius sui potuit dissimilis esse? Inspectantibus vobis toto Capitolo tabulae figebantur, neque solum singulis venibant immunitates, sed etiam populis universis; civitas non iam singillatim, sed provinciis totis dabatur. Itaque, si haec manent, quae stante re publica manere non possunt, provincias universas, patres conscripti, perdidistis, neque vectigalia solum, sed etiam imperium	573:578	0:1176
regnum	NN	[-100,100]	1	31_37	 	, eumque natos suos ascendere iussit et Colchos ad regem Aeolum Solis filium transire ibique arietem Marti immolare. Ita dicitur esse factum; quo cum ascendissent et aries eos in pelagus detulisset, Helle de ariete decidit, ex quo Hellespontum pelagus est appellatum, Phrixum autem Colchos detulit; ibi matris praeceptis arietem immolavit pellemque eius inauratam in templo Martis posuit, quam servante dracone Iason Aesonis et Alcimedis filius dicitur petisse. Phrixum autem Aeeta libens recepit filiamque Chalciopen dedit ei uxorem; quae postea liberos ex eo procreavit. Sed veritus est Aeeta, ne se regno eicerent, quod ei responsum fuit ex prodigiis ab advena Aeoli filio mortem caveret; itaque Phrixum interfecit. At filii eius, Argus Phrontis Melas Cylindrus, in ratem conscenderunt, ut ad avum Athamentem transirent: Hos Iason cum pellem peteret, naufragos ex insula Dia sustulit et ad Chalciopen matrem reportavit, cuius beneficio ad sororem Medeam est commendatus. </section><section> Aeeta Aeetae Solis filio erat responsum tam diu eum regnum habiturum, quamdiu ea pellis, quam Phrixus consecraverat, in fano Martis esset. Itaque Aeeta Iasoni hanc simultatem constituit, si vellet pellem auratam auferre	602:607	0:1214
regnum	NN	[-100,0]	1	31_38	 	, ex urbanis malevolorum sermunculis haec ab istis esse conlecta? Blesamius tyrannum Caesarem scriberet? Multorum enim capita civium viderat, multos iussu Caesaris vexatos, Veratos, necatos, multas adflictas et eversas domos, armatis militibus refertum forum! Quae semper in civili victoria sensimus, ea te victore non vidimus. Solus, inquam, es, C. Caesar, cuius in victoria ceciderit nemo nisi armatus. Et quem nos liberi, in summa libertate nati, non modo non tyrannum, sed clementissimum in victoria ducem vidimus, is Blesamio, qui vivit in regno, tyrannus videri potest? Nam de statua quis queritur, una praesertim, cum tam multas videat? Valde enim invidendum est eius statuis, cuius tropaeis non invidemus. Nam si locus adfert invidiam, nullus locus est ad statuam quidem rostris clarior. De plausu autem quid respondeam? Qui nec desideratus umquam a te est et non numquam obstupefactis hominibus ipsa admiratione compressus est et fortasse eo praeterrnissus, quia nihil volgare te dignum videri potest. Nihil a me arbitror praeteritum, sed aliquid ad extremum causae reservatum. Id autem aliquid est, te	545:550	0:1112
regnum	NN	[-100,0]	1	31_39	 	, id tibi tradere in animo est. te unum habeo, quem dignum regno iudicem. si neminem haberem, perire et exstingui id mallem quam Perseo scelestae fraudis praemium esse. Demetrium excitatum ab inferis restitutumque credam mihi, si te, qui morti innocentis, qui meo infelici errori unus illacrimasti, in locum eius substitutum relinquam.'' ab hoc sermone omni genere honoris producere eum non destitit. cum in Thracia Perseus abesset, circumire Macedoniae urbes principibusque Antigonum commendare; et si vita longior suppetisset, haud dubium fuit, quin eum in possessione regni relicturus fuerit. ab Demetriade profectus Thessalonicae plurimum temporis moratus fuerat. inde cum Amphipolim venisset, gravi morbo est implicitus. sed animo tamen aegrum magis fuisse quam corpore constat; curisque et vigiliis, cum identidem species et umbrae insontis interempti filii agitarent, exstinctum esse cum diris exsecrationibus alterius. tamen admoveri potuisset Antigonus, si aut; affuisset aut; statim palam facta esset mors regis. medicus Calligenes, qui curationi praeerat, non exspectata morte regis, a primis desperationis notis nuntios per dispositos; equos;, ita ut convenerat, misit ad	571:576	0:1184
