lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
scriptura	NN	[-100,0]	1	5_30	 	, necesse esset; haec autem, etiamsi necesse non esset, ut vellent contra iudicare. Id autem fiet, si, quibus ex locis culpa demonstrabitur esse in eo, qui comparatione aut remotione aut relatione criminis aut concessionis partibus se defendet- de quibus ante, ut potuimus, diligenter perscripsimus-, si de iis locis, quae res postulabit, ad causam adversariorum inprobandam transferemus; aut causae et rationes afferentur, quare et quo consilio ita sit in lege aut in testamento scriptum, ut sententia quoque et voluntate scriptoris, non ipsa solum scriptura causa confirmata esse videatur; aut aliis quoque constitutionibus factum coarguetur. Contra scriptum autem qui dicet, primum inducet eum locum, per quem aequitas causae demonstretur; aut ostendet, quo animo, quo consilio, qua de causa fecerit; et, quamcumque causam assumet, assumptionis partibus se defendet, de quibus ante dictum est. Atque in hoc loco cum diutius commoratus sui facti rationem et aequitatem causae exornaverit, tum ex his locis fere contra adversarios dicet oportere causas accipi. Demonstrabit nullam esse legem, quae aliquam rem inutilem aut iniquam fieri velit	550:559	0:1144
scriptura	NN	[-100,0]	1	5_31	 	, sintne haec testimonia putanda. Adulescens bonus, honesto loco natus, disertus cum maximo ornatissimoque comitatu venit in oppidum Graecorum, postulat contionem, locupletis homines et gravis ne sibi adversentur testimoni denuntiatione deterret, egentis et levis spe largitionis et viatico publico, privata etiam benignitate prolectat. Opifices et tabernarios atque illam omnem faecem civitatum quid est negoti concitare, in eum praesertim qui nuper summo cum imperio fuerit, summo autem in amore esse propter ipsum imperi nomen non potuerit? Mirandum vero est homines eos quibus odio sunt nostrae secures, nomen acerbitati, scriptura, decumae, portorium morti, libenter adripere facultatem laedendi quaecumque detur! Mementote igitur, cum audietis psephismata, non audire vos testimonia, audire temeritatem volgi, audire vocem levissimi cuiusque, audire strepitum imperitorum, audire contionem concitatam levissimae nationis. Itaque perscrutamini penitus naturam rationemque criminum; iam nihil praeter spem, nihil praeter terrorem ac minas reperietis. In aerario nihil habent civitates, nihil in vectigalibus. Duae rationes conficiendae pecuniae, aut versura aut tributo; nec tabulae creditoris proferuntur nec tributi confectio ulla recitatur. Quam vero facile falsas rationes inferre et	626:635	0:1292
scriptura	NN	[-100,0]	1	5_32	 	:'' amnem, Troiugena, fuge Cannam, ne te alienigenae cogant in campo Diomedis conserere manus. sed neque credes tu mihi, donec compleris sanguine campum, multaque milia occisa tua deferet amnis in pontum magnum ex terra frugifera; piscibus atque avibus ferisque quae incolunt terras iis fuat esca caro tua; nam mihi ita Iuppiter fatus est.'' et Diomedis Argivi campos et Cannam flumen ii qui militaverant in iis locis iuxta atque ipsam cladem agnoscebant. tum alterum carmen recitatum, non eo tantum obscurius quia incertiora futura praeteritis sunt sed perplexius etiam scripturae genere.'' hostes, Romani, si ex agro expellere voltis, vomicam quae gentium venit longe, Apollini vovendos censeo ludos qui quotannis comiter Apollini fiant; cum populus dederit ex publico partem, privati uti conferant pro se atque suis; iis ludis faciendis praesit praetor is quis ius populo plebeique dabit summum; decemviri Graeco ritu hostiis sacra faciant. hoc si recte facietis, gaudebitis semper fietque res vestra melior; nam is deum exstinguet perduelles vestros qui vestros campos pascit placide.'' ad id carmen expiandum diem unum sumpserunt; postero die senatus	571:581	0:1156
scriptura	NN	[-300,0]	1	5_33	 	. Vos ualete et plaudite! </book></section></line><line><section><book> Hecyra est huic nomen fabulae. Haec quom datast </line><line> noua, nouom interuenit uitium et calamitas </line><line> ut neque spectari neque cognosci potuerit: </line><line> ita populu studio stupidus in funambulo </line><line> animum occuparat. Nunc haec planest pro noua, </line><line> et is qui scripsit hanc ob eam rem noluit </line><line> iterum referre ut iterum possit uendere. </line><line> Alias cognostis eiu: quaeso hanc noscite. </line><line> Orator ad uos uenio ornatu prologi: </line><line> sinite exorator sim eodem ut iure uti senem </line><line> liceat quo iure sum usus adulescentior, </line><line> nouas qui exactas feci ut inueterascerent, </line><line> ne cum poeta scriptura euanesceret. </line><line> In is quas primum Caecili didici nouas </line><line> partim sum earum exactu, partim uix steti. </line><line> Quia scibam dubiam fortunam esse scaenicam, </line><line> spe incerta certum mihi laborem sustuli, </line><line> easdem agere coepi ut ab eodem alias discerem </line><line> nouas, studiose ne illum ab studio abducerem. </line><line> Perfeci ut spectarentur: ubi sunt cognitae, </line><line> placitae sunt. Ita poetam restitui in locum </line><line> prope iam remotum iniuria aduorsarium </line><line> ab studio atque ab labore atque arte musica. </line><line> Quod si scripturam spreuissem in praesentia </line><line> et in deterrendo uoluissem operam sumere, </line><line> ut in otio esset potiu quam in negotio	761:770	0:1521
scriptura	NN	[-300,0]	1	5_34	 	<line> Nimis otiosum te arbitror hominem esse. Qui arbitrare? </line><line> Quia tuo uestimento et cibo alienis rebus curas. </line><line> Vos mihi dedistis otium. Qui, amabo? Ego expedibo. </line><line> Rem perdidi apud uos, uos meum negotium apstulistis. </line><line> Si rem seruassem, fuit ubi negotiosus essem. </line><line> An tu te Veneris publicum aut Amoris alia lege </line><line> habere posse postulas quin otiosus fias? </line><line> Illa, haud ego, habuit publicum: peruorse interpretaris; </line><line> nam aduorsum legem meam ob meam scripturam pecudem cepit. </line><line> Plerique idem quod tu facis faciunt rei male gerentes: </line><line> ubi non est scripturam unde dent, incusant publicanos. </line><line> Male uortit res pecuaria mihi apud uos: nunc uicissim </line><line> uolo habere aratiunculam pro copia hic apud uos. </line><line> Non aruos hic, sed pascuost ager: si arationes </line><line> habituris, qui arari solent, ad pueros ire meliust. </line><line> Hunc nos habemus publicum, illi alii sunt publicani. </line><line> Vtrosque pergnoui probi. em istoc pol tu otiosus, </line><line> quom et illic et hic peruorsus es. Sed utriscum rem esse mauis? </line><line> Procaciores esti uos, sed illi peiiuriosi; </line><line> illis perit quidquid datur neque ipsis apparet quicquam: </line><line> uos saltem si	670:680	0:1336
scriptura	NN	[-300,0]	1	5_35	 	ab Orco mortuom quo pacto! Nescis, Parmeno, </line><line> quantum hodie profueris mihi et ex quanta aerumna extraxeris. </line><line> Immo uero scio, neque inprudens feci. Ego istuc sati scio. An </line><line> temere quicquam Parmeno praetereat quod facto usu sit? </line><line> Sequere me intro, Parmeno. Sequor. Equidem plus hodie boni </line><line> feci inprudens quam sciens ante hunc diem umquam. Plaudite! </book></section></line><line><section><book> Postquam poeta uetu poetam non potest </line><line> retrahere a studio et transdere hominem in otium. </line><line> Maledictis deterrere ne scribat parat; </line><line> qui ita dictitat, quas ante hic fecit fabulas </line><line> tenui esse oratione et scriptura leui: </line><line> quia nusquam insanum scripsit adulescentulum </line><line> ceruam uidere fugere et sectari canes </line><line> et eam plorare, orare ut subueniat sibi. </line><line> Quod si intellegeret, quom stetit olim noua, </line><line> actoris opera mage stetisse quam sua, </line><line> minu multo audacter quam nunc laedit laederet </line>  <line> [ et mage placerent quas fecisset fabulas]. </line><line> Nunc siquis est qui hoc dicat aut sic cogitet: </line>  <line> " uetu si poeta non lacessisset prior, </line><line> nullum inuenire prologum posset nouos </line><line> quem diceret, nisi haberet cui male diceret", </line><line> is sibi responsum hoc habeat, in medio omnibus </line><line> palmam esse positam qui	710:719	0:1450
scriptura	NN	[-100,0]	1	5_36	 	ambigua visum iri; quae autem ex omni considerata scriptura perspicua fiant, haec ambigua non oportere existimare. Deinde, qua in sententia scriptor fuerit, ex ceteris eius scriptis et ex factis, dictis, animo atque vita eius sumi oportebit et eam ipsam scripturam, in qua inerit illud ambiguum, de quo quaeretur, totam omnibus ex partibus pertemptare, si quid aut ad id appositum sit, quod nos interpretemur, aut ei, quod adversarius intellegat, adversetur. Nam facile, quid veri simile sit eum voluisse, qui scripsit, ex omni scriptura et ex persona scriptoris atque iis rebus, quae personis attributae sunt, considerabitur. Deinde erit demonstrandum, si quid ex re ipsa dabitur facultatis, id, quod adversarius intellegat, multo minus commode fieri posse, quam id, quod nos accipimus, quod illius rei neque administratio neque exitus ullus exstet; nos quod dicamus, facile et commode transigi posse; ut in hac lege- nihil enim prohibet fictam exempli loco ponere, quo facilius res intellegatur-:; MERETRIX CORONAM AUREAM NE habeto; SI HABUERIT, PUBLICA ESTO;, contra	528:537	0:1070
scriptura	NN	[-100,0]	1	5_37	 	aut quam turpe sit id, quod adversarii dicant fieri oportuisse aut oportere, et id, quod nos fecerimus aut postulemus, quam utile aut quam honestum sit; deinde leges nobis caras esse non propter litteras, quae tenues et obscurae notae sint voluntatis, sed propter earum rerum, quibus de scriptum est, utilitatem et eorum, qui scripserint, sapientiam et diligentiam; postea, quid sit lex, describere, ut ea videatur in sententiis, non in verbis consistere; et iudex is videatur legi optemperare, qui sententiam eius, non qui scripturam sequatur; deinde, quam indignum sit eodem affici supplicio eum, qui propter aliquod scelus et audaciam contra leges fecerit, et eum, qui honesta aut necessaria de causa non ab sententia, sed ab litteris legis recesserit; atque his et huiusmodi rationibus et accipi causam et in hac lege accipi et eam causam, quam ipse afferat, oportere accipi demonstrabit. Et quemadmodum ei dicebamus, qui ab scripto diceret, hoc fore utilissimum, si quid de aequitate ea, quae cum adversario staret, derogasset, sic huic, qui contra scriptum dicet	524:534	0:1069
scriptura	NN	[-100,0]	1	5_38	 	benivolentia principium constituemus, ne quid illa turpitudinis pars nobis obesse possit. Sin humile genus erit causae, faciemus attentos. Sin turpe causae genus erit, insinuatione utendum est, de qua posterius dicemus, nisi quid nacti erimus, qua re adversarios criminando benivolentiam captare possimus. Sin honestum genus causae erit, licebit recte vel uti vel non uti principio. Si uti volemus, aut id oportebit ostendere, qua re causa sit honesta, aut breviter, quibus de rebus simus dicturi, exponere. Sin principio uti nolemus, ab lege, ab scriptura, aut ab aliquo nostrae causae adiumento principium capere oportebit. </section><section> Quoniam igitur docilem, benivolum, attentum auditorem habere volumus, quo modo quidque effici possit, aperiemus. Dociles auditores habere poterimus, si summam causae breviter exponemus et si attentos eos faciemus; nam docilis est, qui attente vult audire. Attentos habebimus, si pollicebimur nos de rebus magnis, novis, inusitatis verba facturos aut de iis, quae ad rem publicam pertineant, aut ad eos ipsos, qui audient, aut ad deorum inmortalium religionem; et si rogabimus, ut attente	547:556	0:1134
scriptura	NN	[-100,0]	1	5_39	 	cum filium heredem faceret, vasorum argenteorum centum pondo uxori suae sic legavit:; HERES MEUS UXORI MEAE VASORUM ARGENTEORUM PONDO CENTUM, QUAE VOLET, DATO;. Post mortem eius vasa magnifica et pretiose caelata petit a filio mater. Ille se, quae ipse vellet, debere dicit. Primum, si fieri poterit, demonstrandum est non esse ambigue scriptum, propterea quod omnes in consuetudine sermonis sic uti solent eo verbo uno pluribusve in eam sententiam, in quam is, qui dicet, accipiendum esse demonstrabit. Deinde ex superiore et ex inferiore scriptura docendum id, quod quaeratur, fieri perspicuum. Quare si ipsa separatim ex se verba considerentur, omnia aut pleraque ambigua visum iri; quae autem ex omni considerata scriptura perspicua fiant, haec ambigua non oportere existimare. Deinde, qua in sententia scriptor fuerit, ex ceteris eius scriptis et ex factis, dictis, animo atque vita eius sumi oportebit et eam ipsam scripturam, in qua inerit illud ambiguum, de quo quaeretur, totam omnibus ex partibus pertemptare, si quid aut ad id appositum sit, quod nos interpretemur, aut ei,	540:549	0:1085
