lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
simplex	JJ	[-100,0]	1	30_0	 	- de quibus omnibus diximus in verborum exornationibus-; deinde simile et exemplum- de quo suo loco plura dicemus-; deinde conclusionem, de qua in secundo libro, quae opus fuerunt, diximus, demonstrantes argumentationes quemadmodum concludere oporteat: in hoc libro docuimus, cuiusmodi esset exornatio Vorum, cui conclusioni nomen est. Ergo huiusmodi vehementer ornata poterit esse expolitio, quae constabit ex frequentibus exornationibus verborum et sententiarum. Hoc modo igitur septem partibus tractabitur- et ab eiusdem sententiae non recedamus exemplo, ut scire possis, quam facile praeceptione rhetoricae res simplex multiplici ratione tractatur:; Sapiens nullum pro re publica periculum vitabit, ideo quod saepe, cum pro re publica perire noluerit, necesse erit cum re publica pereat; et, quoniam omnia sunt commoda; a; patria accepta, nullum incommodum pro patria grave putandum est. Ergo qui fugiunt id periculum quod pro re;; subeundum est, stulte faciunt: nam neque effugere incommoda possunt et ingrati in civitatem reperiuntur. At, qui patriae pericula suo periculo expetant, hi sapientes putandi sunt, cum et eum, quem debent, honorem	615:622	0:1149
simplex	JJ	[-100,0]	1	30_31	 	, cuius animus tantis angustiis invidiae continetur, qui non hunc hominem studiosissime laudet et sapientissimum iudicet, qui pro salute patriae, pro incolumitate civitatis, pro rei publicae fortunis quamvis magnum atque atrox periculum studiose suscipiat et libenter subeat? Equidem hunc hominem magis cupio satis laudare quam possum; idemque hoc certo scio vobis omnibus usu venire.; Eadem res igitur his tribus in dicundo commutabitur rebus: Vis, pronuntiando, tractando;;; dupliciter: sermocinatione;.; Sed de eadem re cum dicemus, plurimis utemur commutationibus. Nam cum rem simpliciter pronuntiarimus, rationem poterimus subicere; deinde dupliciter vel sine rationibus vel cum rationibus pronuntiare; deinde afferre contrarium- de quibus omnibus diximus in verborum exornationibus-; deinde simile et exemplum- de quo suo loco plura dicemus-; deinde conclusionem, de qua in secundo libro, quae opus fuerunt, diximus, demonstrantes argumentationes quemadmodum concludere oporteat: in hoc libro docuimus, cuiusmodi esset exornatio Vorum, cui conclusioni nomen est. Ergo huiusmodi vehementer ornata poterit esse expolitio, quae constabit ex frequentibus exornationibus verborum et sententiarum. Hoc modo igitur septem partibus	581:592	0:1230
simplex	JJ	[-100,0]	1	30_32	 	, de corpusculorum( ita enim appellat atomos) concursione fortuita loqui? nostra tu physica nosti; quae cum contineantur ex effectione et ex materia ea quam fingit et format effectio, adhibenda etiam geometria est; quam quibusnam quisquam enuntiare verbis aut quem ad intellegendum poterit adducere? Haec ipsa de vita et moribus et de expetendis fugiendisque rebus illi simpliciter, pecudis enim et hominis idem bonum esse censent; apud nostros autem non ignoras quae sit et quanta subtilitas. sive enim Zenonem sequare, magnum est efficere ut quis intellegat quid sit illud verum et simplex bonum quod non possit ab honestate seiungi( quod bonum quale sit negat omnino Epicurus; se; sine voluptatibus sensum moventibus ne suspicari; quidem;; si vero Academiam veterem persequemur, quam nos ut scis probamus quam erit illa acute explicanda nobis, quam argute quam obscure etiam contra Stoicos disserendum. Totum igitur illud philosophiae studium mihi quidem ipse sumo et ad vitae constantiam quantum possum et ad delectationem animi nec ullum arbitror ut apud Platonem est maius aut melius a deis datum munus homini; sed meos amicos in quibus est studium in Graeciam mitto	584:591	0:1173
simplex	JJ	[-100,0]	1	30_33	 	, dicemus. Igitur primus liber, exposito genere huius artis et officio et fine et materia et partibus, genera controversiarum et inventiones et constitutiones[ et iudicationes] continebat, deinde partes orationis et in eas omnes omnia praecepta. Quare cum in eo ceteris de rebus distinctius dictum sit, disperse autem de confirmatione et de reprehensione, nunc certos confirmandi et reprehendendi in singula causarum genera locos tradendos arbitramur. Et quia, quo pacto tractari conveniret argumentationes, in libro primo non indiligenter expositum est, hic tantum ipsa inventa unam quamque in rem exponentur simpliciter sine ulla exornatione, ut ex hoc inventa ipsa, ex superiore autem expolitio inventorum petatur. Quare haec, quae nunc praecipientur, ad confirmationis et reprehensionis partes referre oportebit. Omnis et demonstrativa et deliberativa et iudicialis causa necesse est in aliquo eorum, quae ante exposita sunt, constitutionis genere uno pluribusve versetur. Hoc quamquam ita est, tamen cum communiter quaedam de omnibus praecipi possint, separatim quoque aliae sunt cuiusque generis diversae praeceptiones. Aliud enim laus, aliud vituperatio, aliud sententiae dictio, aliud accusatio aut recusatio, conficere debet. In	610:621	0:1238
simplex	JJ	[-100,0]	1	30_34	 	, iuncta esse omnino et duplici genere intelleguntur, sed in meliorem partem vocabuli conferantur et honesta nominentur. Ex his illud conficitur, ut petendarum rerum partes sint honestas et utilitas, vitandarum turpitudo et inutilitas. His igitur duabus rebus res duae grandes sunt adtributae, necessitudo et affectio; quarum altera ex vi, altera ex re et personis consideratur. De utraque post apertius perscribemus: nunc honestatis rationes primum explicemus. Quod aut totum aut aliqua ex parte propter se petitur, honestum nominabimus. Quare, cum eius duae partes sint, quarum altera simplex, altera iuncta sit, simplicem prius consideremus. Est igitur in eo genere omnes res una vi atque uno nomine amplexa virtus. Nam virtus est animi habitus naturae modo atque rationi consentaneus. Quamobrem omnibus eius partibus cognitis tota vis erit simplicis honestatis considerata. Habet igitur partes quattuor: prudentiam, iustitiam, fortitudinem, temperantiam. P r u d e n t i a est rerum bonarum et malarum neutrarumque scientia. Partes eius: m e m o r i a, i n t e l l e g e n t i	587:594	0:1081
simplex	JJ	[-100,0]	1	30_35	 	, maxime facit, ut et illi, qui audient, a culpa absint, et nos, qui dicimus, ameici ipsorum et veritatis esse videamur. Est autem quoddam genus in dicendo licentiae, quod astutiore ratione conparatur, cum aut ita obiurgamus eos, qui audiunt, quomodo ipsi se cupiunt obiurgari, aut id, quod scimus; facile omnes audituros, dicimus; nos timere, quomodo accipiant, sed tamen veritate commoveri, ut nihilosetius dicamus. Horum amborum generum exempla subiciemus; prioris, huiusmodi:; Nimium, Quirites, animis estis simplicibus et mansuetis; nimium creditis uni cuique. Existimatis unum quemque eniti, ut perficiat, quae vobis pollicitus sit. Erratis et falsa spe frustra iam diu detinemini stultitia vestra, qui, quod erat in vestra potestate, ab aliis petere quam ipsi sumere maluistis.; Posterioris licentiae hoc erit exemplum:; Mihi cum isto, iudices, fuit amicitia, sed ista tamen amicitia, tametsi vereor quomodo accepturi sitis, tamen dicam, vos;; privastis. Quid ita? Quia ut vobis essem probatus, eum, qui vos obpugnabat, inimicum	512:523	0:1036
simplex	JJ	[-100,0]	1	30_36	 	, me inhumanum existimari, me singulari immanitate et crudelitate praeditum. Hanc mihi tu si propter meas res gestas imponis in omni vita mea, Torquate, personam, vehementer erras. Me natura misericordem, patria severum, crudelem nec patria nec natura esse voluit; denique istam ipsam personam vehementem et acrem quam mihi tum tempus et res publica imposuit iam voluntas et natura ipsa detraxit. Illa enim ad breve tempus severitatem postulavit, haec in omni vita misericordiam lenitatemque desiderat. Qua re nihil est quod ex tanto comitatu virorum amplissimorum me unum abstrahas; simplex officium atque una bonorum est omnium causa. Nihil erit quod admirere posthac, si in ea parte in qua hos animum adverteris me videbis. Nulla est enim in re publica mea causa propria; tempus agendi fuit mihi magis proprium quam ceteris, doloris vero et timoris et periculi fuit illa causa communis; neque enim ego tunc princeps ad salutem esse potuissem, si esse alii comites noluissent. Qua re necesse est, quod mihi consuli praecipuum fuit praeter alios, id iam privato cum ceteris esse commune. Neque ego hoc partiendae invidiae, sed	584:591	0:1128
simplex	JJ	[-100,0]	1	30_37	 	, ordo gerendorum negotiorum, officia vitae, ipsum denique illud honestum, in quo uno vultis esse omnia, deserendum est. quae diligentissime contra Aristonem dicuntur a Chryippo. Ex ea difficultate illae'' fallaciloquae'', ut ait Accius,'' malitiae'' natae sunt. Quod enim sapientia, pedem ubi poneret, non habebat sublatis officiis omnibus, officia autem tollebantur dilectu omni et discrimine remoto, quae esse; non; poterant rebus omnibus sic exaequatis, ut inter eas nihil interesset, ex his angustiis ista evaserunt deteriora quam Aristonis. Illa tamen simplicia, vestra versuta. Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; neget. Quid? quae contraria sunt his, malane? Nihilo magis. Zenonem roges; respondeat totidem Vis. Admirantes quaeramus ab utroque, quonam modo vitam agere possimus, si nihil interesse nostra putemus, valeamus aegrine simus, vacemus an cruciemur dolore, frigus, famem propulsare possimus necne possimus. Vives, inquit Aristo, magnifice atque praeclare, quod erit cumque visum ages, numquam angere, numquam cupies, numquam timebis. Quid	558:567	0:1107
simplex	JJ	[-100,0]	1	30_38	 	, quae a deteriore ordine inprobetur- aut quibus sociis aut omnibus civibus, exteris nationibus, posterisque nostris. Cum huiusmodi divisio sit locorum in consultatione, breviter aperienda erit totius tractatio causae. Exordiri licebit vel a principio vel ab insinuatione vel isdem rationibus, quibus in iudicialei causa. Si cuius rei narratio incidet, eadem ratione narrari oportebit. Quoniam in huiusmodi causis finis est utilitas et ea dividitur in rationem tutam atque honestam,; si; utrumque poterimus ostendere, utrumque pollicebimur nos in dicendo demonstraturos esse; si alterum; erimus demonstraturi, simpliciter; quid dicturi sumus, ostendemus. At si nostram rationem tutam esse dicemus, divisione utemur in vim et consilium. Nam quod in docendo rei dilucidae magnificandae causa dolum appellavimus, id in dicendo honestius consilium appellabimus. Si rationem nostrae sententiae rectam esse dicemus et omnes partes rectei incident, quadripertita divisione utemur: si non incident, quot erunt, tot exponemus in dicendo. Confirmatione et confutatione utemur, nostris locis, quos ante ostendimus, confirmandis, contrariis confutandis. Argumentationis artificiose tractandae ratio de secundo libro petetur. Sed si acciderit, ut	610:621	0:1234
simplex	JJ	[-100,0]	1	30_39	 	, quam graves, quam difficiles plerisque videntur calamitatum societates! ad quas non est facile inventu qui descendant. Quamquam Ennius recte: Amicus certus in re incerta cernitur, tamen haec duo levitatis et infirmitatis plerosque convincunt, aut si in bonis rebus contemnunt aut in malis deserunt. Qui igitur utraque in re gravem, constantem, stabilem se in amicitia praestiterit, hunc ex maxime raro genere hominum iudicare debemus et paene divino. </section><section> Firmamentum autem stabilitatis constantiaeque eius, quam in amicitia quaerimus, fides est; nihil est enim stabile quod infidum est. Simplicem praeterea et communem et consentientem, id est qui rebus isdem moveatur, eligi par est, quae omnia pertinent ad fidelitatem; neque enim fidum potest esse multiplex ingenium et tortuosum, neque vero, qui non isdem rebus movetur naturaque consentit, aut fidus aut stabilis potest esse. Addendum eodem est, ut ne criminibus aut inferendis delectetur aut credat oblatis, quae pertinent omnia ad eam, quam iam dudum tracto, constantiam. Ita fit verum illud, quod initio dixi, amicitiam nisi inter bonos esse non posse. Est enim boni viri,	605:614	0:1149
