lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
virtus	NN	[-100,0]	1	40_2	 	sed saepe obest vel maxime in narrando, non solum quod obscuritatem adfert, sed etiam quod eam virtutem, quae narrationis est maxima, ut iucunda et ad persuadendum accommodata sit, tollit.	95:103	0:189
virtus	NN	[-100,0]	1	40_4	 	Senescentibus vitiis, maturescente virtute, sinerent tantum virum senem in civitate fieri.	35:42	0:91
virtus	NN	[-100,0]	1	40_5	 	C. Caesar adulescens, paene potius puer, incredibili ac divina quadam mente atque virtute ,[ tum,] cum maxime furor arderet Antoni, cumque eius a Brundisio crudelis et pestifer reditus timeretur, nec postulantibus nec cogitantibus, ne optantibus quidem nobis, quia non posse fieri videbatur, firmissimum exercitum ex invicto genere veteranorum militum comparavit patrimoniumque suum ecfudit;	82:89	0:392
virtus	NN	[-100,0]	1	40_9	 	interdum in praesens tempus plus profici dolo quam virtute;	51:58	0:60
virtus	NN	[-100,0]	1	40_10	 	ipsa quoque et cultu est et nomine femina Virtus: non mirum, populo si placet illa suo.	42:48	0:88
virtus	NN	[-100,0]	1	40_12	 	Est igitur in eo genere omnes res una vi atque uno nomine amplexa virtus.	66:72	0:74
virtus	NN	[-100,0]	1	40_14	 	Tantum ad virtutem adicies, quantum ex voluptate abstraxeris.	10:18	0:62
virtus	NN	[-100,0]	1	40_15	 	Illam enim fortasse pertinaciam non nulli, virtutem alii putabunt, hanc vero iniquitatem omnes cum aliqua crudelitate coniunctam.	43:51	0:130
virtus	NN	[-100,0]	1	40_17	 	a Ti. Graccho rogatus in provinciam ii. quater intra paucos annos primum pilum duxi; quater et tricies virtutis causa donatus ab imperatoribus sum;	103:111	0:148
virtus	NN	[-100,0]	1	40_18	 	Didius magna cum virtute cum compluribus interficitur.	17:24	0:55
virtus	NN	[-100,0]	1	40_19	 	nec vero tam de virtutibus dicendi tuis, quae cum omnibus tum certe mihi notissimae sunt, quam quod gradus tuos et quasi processus dicendi studeo cognoscere.	16:26	0:158
virtus	NN	[-100,0]	1	40_23	 	Virtute enim admirabili Caesaris constantiaque militum veteranorum legionumque earum, quae optimo iudicio auctoritatem vestram, libertatem populi Romani, virtutem Caesaris secutae sunt, a cervicibus nostris est depulsus Antonius.	0:7	0:230
virtus	NN	[-100,0]	1	40_25	 	nec peditum virtuti equites aut legatorum studia ducibus cedunt.	12:19	0:65
virtus	NN	[-100,0]	1	40_30	 	quam opinionem nemo umquam mortalis adsequi potuit sine eximia virtutis gloria.	63:71	0:80
virtus	NN	[-100,0]	1	40_31	 	Deus ille, qui nihil censuit deesse virtuti, homuncio hic, qui multa putat praeter virtutem homini partim cara esse, partim etiam necessaria.	83:91	0:142
virtus	NN	[-100,0]	1	40_32	 	hic alii resident pariles virtutis honore heroes mediisque siti sunt sedibus omnes, omnes, Roma decus magni quos suspicit orbis.	26:34	0:129
virtus	NN	[-100,0]	1	40_35	 	postero die spolia de hostibus lecta, et pro contione donati, quorum virtus insignis fuerat.	69:75	0:93
virtus	NN	[-100,0]	1	40_37	 	Ceterae tamen virtutes ipsae per se multum valent, iustitia, fides, pudor, temperantia.	14:22	0:88
virtus	NN	[-100,0]	1	40_38	 	cum honos sit praemium virtutis iudicio studioque civium delatum ad aliquem, qui eum sententiis, qui suffragiis adeptus est, is mihi et honestus et honoratus videtur.	23:31	0:167
virtus	NN	[-100,0]	1	40_41	 	in novo populo, ubi omnis repentina atque ex virtute nobilitas sit, futurum locum forti ac strenuo viro;	45:52	0:105
virtus	NN	[-100,0]	1	40_43	 	Tunc ex virtute nostra intelleges, quid ex tuis copiis sperare debeas.	8:15	0:71
virtus	NN	[-100,0]	1	40_45	 	qua una virtute omnes virtutes reliquae continentur.	8:15	0:53
virtus	NN	[-100,0]	1	40_46	 	ut doceatur is apud quem dicetur, ut delectetur, ut moveatur vehementius. quibus virtutibus oratoris horum quidque efficiatur aut quibus vitiis orator aut non adsequatur haec aut etiam in his labatur et cadat,  artifex aliquis iudicabit.	81:91	0:238
virtus	NN	[-100,0]	1	40_47	 	Virtute pares, necessitate, quae ultimum ac maximum telum est, superiores estis.	0:7	0:81
virtus	NN	[-100,100]	1	40_49	 	Te tamen, o parvae rector, Polydecta, Seriphi, nec iuvenis virtus per tot spectata labores nec mala mollierant, sed inexorabile durus exerces odium, nec iniqua finis in ira est;	59:65	0:178
virtus	NN	[-100,0]	1	40_50	 	Verum tamen, quoniam de constantia paulo ante diximus, non ego hoc loco id quaerendum puto, verumne sit, quod Zenoni placuerit quodque eius auditori Aristoni, bonum esse solum, quod honestum esset, sed si ita esset, tum <fueritne consentaneum>, ut totum hoc beate vivere in una virtute poneret.	278:285	0:295
virtus	NN	[-100,0]	1	40_52	 	An ego non venirem contra alienum pro familiari et necessario, non venirem contra gratiam non virtutis spe, sed aetatis flore collectam, non venirem contra iniuriam quam iste intercessoris iniquissimi beneficio optinuit, non iure pretorio?	94:102	0:240
virtus	NN	[-100,0]	1	40_54	 	Omnia enim sunt profecto laudanda quae coniuncta cum virtute sunt, et quae cum vitiis, vituperanda.	53:60	0:100
virtus	NN	[-100,0]	1	40_56	 	Nullius apud me, patres conscripti, auctoritas maior est quam M. Lepidi vel propter ipsius virtutem vel propter familiae dignitatem.	91:99	0:133
virtus	NN	[-100,0]	1	40_59	 	Ac ne plura complectar- sunt enim innumerabilia-, bene laudata virtus voluptatis aditus intercludat necesse est.	63:69	0:113
virtus	NN	[1100,1200]	2	40_0	 	Macte virtute, adulescens, et Marium vindicasti.	6:13	0:49
virtus	NN	[0,200]	2	40_1	 	Sed o virtus, in adversis comes, sola tu me secuta in carcerem, tu in ludum, virum fortem tu sola non decipis.	6:12	0:111
virtus	NN	[400,500]	2	40_3	 	Ars dicta est vel APO THS ARETHS, id est a virtute, quam Graeci unius cuiusque rei scientiam vocant	43:50	0:100
virtus	NN	[0,100]	2	40_6	 	Sed nec hae nec illae docent aluntve virtutem;	37:45	0:47
virtus	NN	[0,100]	2	40_7	 	DC cum ipso erant spectatae virtutis;	28:36	0:38
virtus	NN	[300,500]	2	40_8	 	Ite optati mortalibus anni, ducite uirtutes;	35:43	0:45
virtus	NN	[500,600]	2	40_11	 	Bellatoribus viris quam necessarius, ut acueret ratione virtutem.	56:64	0:66
virtus	NN	[400,500]	2	40_13	 	Tu cultorem hunc, qui suam terram, non qui tuam excolat, requiris, [ tu inhabitantium te vitiis sterilis, tu fecunda virtutibus ].	117:127	0:131
