Language,Model,Spearman's Rho
german,UWB,0.43640631811302555
german,UG_Student_Intern,-0.09046917315157835
german,UWB,0.3202597849328573
german,UG_Student_Intern,0.05989570633787599
german,UWB,0.3867924360238858
german,UG_Student_Intern,-0.0347623581742986
german,temporal_attention,0.1509088913544668
german,UWB,0.4797640637545216
german,UG_Student_Intern,0.05331316277122476
german,temporal_attention,0.2392564182324964
german,UWB,0.45669796067799173
german,UG_Student_Intern,-0.06914390804308844
german,temporal_attention,0.13883182795118937
german,UWB,0.2822333555684837
german,UG_Student_Intern,0.0997173748567908
german,temporal_attention,0.11429689283912572
german,UWB,0.4356991026885093
german,UG_Student_Intern,0.023990923247051144
german,temporal_attention,0.14987526881094307
german,UWB,0.2519318946872876
german,UG_Student_Intern,-0.09580048942870083
german,UWB,0.31514607340173983
german,UG_Student_Intern,0.014144308490324936
german,temporal_attention,0.12153225064379196
german,UWB,0.3054626622045174
german,UG_Student_Intern,-0.037482417499361084
german,temporal_attention,0.1691332888323855
german,UWB,0.3849971968693445
german,UG_Student_Intern,-0.07942573229182463
german,temporal_attention,0.06294217278194596
german,UWB,0.2675450352131463
german,UG_Student_Intern,0.07044953651911844
german,temporal_attention,0.1243067111553557
german,UWB,0.33162963291161857
german,UG_Student_Intern,-0.005222513904119977
german,temporal_attention,0.20503807192321033
german,UWB,0.30029454948689865
german,UG_Student_Intern,0.023066103076529898
german,temporal_attention,0.06441100481747972
german,UWB,0.3657935780344033
german,UG_Student_Intern,0.12419790878235319
german,temporal_attention,0.23223866517383523
german,UWB,0.40523443824780947
german,UG_Student_Intern,0.012185865776279945
german,temporal_attention,0.07692327771276716
german,UWB,0.2964864664318112
german,UG_Student_Intern,0.011805057470771197
german,temporal_attention,0.20879175379179657
german,UWB,0.3396266073273022
german,UG_Student_Intern,0.07371360770919343
german,temporal_attention,0.18240717833869044
german,UWB,0.4224252131822044
german,UG_Student_Intern,0.0113698479787612
german,temporal_attention,0.15803544678613052
german,UWB,0.35099645530606344
german,UG_Student_Intern,0.0789361216133134
german,temporal_attention,0.17381179087149295
german,UWB,0.40256878010924824
german,UG_Student_Intern,0.07311519465767967
