Language,Model,Spearman's Rho
german,UWB,0.351540467171076
german,UG_Student_Intern,0.08851073043753335
german,temporal_attention,0.22968180940827648
german,UWB,0.2828861698064987
german,UG_Student_Intern,0.08530106043395962
german,temporal_attention,0.17631424545055047
german,UWB,0.3302696032490873
german,UG_Student_Intern,0.11446009639862949
german,temporal_attention,0.0909587838300896
german,UWB,0.29621446049930494
german,UG_Student_Intern,0.11805057470771196
german,temporal_attention,0.09977177604329206
german,UWB,0.3371241527482447
german,UG_Student_Intern,0.12109704115178196
german,temporal_attention,0.05396597700923976
german,UWB,0.35551175378566713
german,UG_Student_Intern,0.04879786429162103
german,temporal_attention,0.17957831664062546
german,UWB,0.3940821950150532
german,UG_Student_Intern,-0.02627577308010363
german,temporal_attention,0.22794097144023648
german,UWB,0.3575245976862134
german,UG_Student_Intern,0.10521189469341703
german,temporal_attention,0.06772947719405595
german,UWB,0.35295489802010843
german,UG_Student_Intern,0.06811028549956469
german,temporal_attention,0.0788273192403109
german,UWB,0.3359273266452173
german,UG_Student_Intern,0.12653715980190694
german,temporal_attention,0.10602791249093578
german,UWB,0.3199877790003511
german,UG_Student_Intern,0.012131464589778696
german,temporal_attention,0.03797202817787233
german,UWB,0.34555633665593843
german,UG_Student_Intern,0.03737361512635858
german,temporal_attention,0.1544993696635493
german,UWB,0.4243292547097481
german,UG_Student_Intern,0.032858316646754857
german,temporal_attention,0.11995461623525572
german,UWB,0.24012683721651643
german,UG_Student_Intern,0.023392510195537397
german,temporal_attention,0.15400975898503805
german,UWB,0.36051666294378215
german,UG_Student_Intern,0.07001432702710844
german,temporal_attention,0.14084467185173563
german,UWB,0.2054732814152203
german,UG_Student_Intern,-0.04139930292745107
german,temporal_attention,0.12811479421044317
german,UWB,0.4329246421769456
german,UG_Student_Intern,-0.03264071190074985
german,temporal_attention,0.1482976344024068
german,UWB,0.38042749720323954
german,UG_Student_Intern,0.10069659621381331
german,temporal_attention,0.169024486459383
german,UWB,0.4835177456231078
german,UG_Student_Intern,0.11516731182314574
german,temporal_attention,0.07126555431663718
german,UWB,0.5042989988665851
german,UG_Student_Intern,0.13159647014652318
german,temporal_attention,0.1387230255781869
german,UWB,0.3129700259416898
german,UG_Student_Intern,0.04025687801092482
german,temporal_attention,0.20335163514167157
german,UWB,0.2979008972808437
german,UG_Student_Intern,0.07061274007862219
german,temporal_attention,0.12931162031347068
german,UWB,0.20335163514167157
german,UG_Student_Intern,0.0801329477163409
german,temporal_attention,0.20291642564966159
german,UWB,0.36122387836829845
german,UG_Student_Intern,-0.036394393769336085
german,temporal_attention,0.10205662587634455
german,UWB,0.4015895587522257
german,UG_Student_Intern,0.06462860956348472
german,temporal_attention,0.15553299220707303
german,UWB,0.37297453465256836
german,UG_Student_Intern,-0.003808083055087483
german,temporal_attention,0.1933962180119429
german,UWB,0.3704176788870096
german,UG_Student_Intern,-0.02747259918313113
german,temporal_attention,0.21586390803695904
german,UWB,0.3578510048052209
german,UG_Student_Intern,-0.039495261399907326
german,temporal_attention,0.21265423803338532
german,UWB,0.4283549425108406
german,UG_Student_Intern,0.04939627734313478
german,temporal_attention,0.17718466443457045
german,UWB,0.32107580273037606
german,UG_Student_Intern,0.013763500184816188
german,temporal_attention,0.06751187244805094
german,UWB,0.4220444048766956
german,UG_Student_Intern,0.03976726733241357
german,temporal_attention,0.09237321467912209
german,UWB,0.37237612160105454
german,UG_Student_Intern,0.01947562476744741
german,temporal_attention,0.14835203558890808
german,UWB,0.4293885650543643
german,UG_Student_Intern,0.036231190209832335
german,temporal_attention,0.05064750463266353
german,UWB,0.4133946162229969
german,UG_Student_Intern,0.010989039673252451
german,temporal_attention,0.18610645902077544
german,UWB,0.3062242788155349
german,UG_Student_Intern,0.02905023359166737
german,temporal_attention,0.06152774193291348
german,UWB,0.3871188431428933
german,UG_Student_Intern,0.056250826842292254
german,temporal_attention,0.2087373526052953
german,UWB,0.30704029661305365
german,UG_Student_Intern,-0.030627868000203614
german,temporal_attention,0.1320860808250344
german,UWB,0.2473077938346814
german,UG_Student_Intern,-0.0344359510552911
german,temporal_attention,0.26384575453106135
german,UWB,0.3921781534875095
german,UG_Student_Intern,0.04711142751008229
german,temporal_attention,0.15847065627814055
german,UWB,0.3618222914198121
german,UG_Student_Intern,0.015449936966354933
german,temporal_attention,0.17587903595854049
german,UWB,0.4219356025036931
german,UG_Student_Intern,0.01800679273191367
german,temporal_attention,0.18300559139020417
german,UWB,0.2739099740337925
german,UG_Student_Intern,-0.04123609936794731
german,temporal_attention,0.14525116795833684
german,UWB,0.43586230624801303
german,UG_Student_Intern,0.032749514273752355
german,temporal_attention,0.07055833889212093
german,UWB,0.2398548312840102
german,UG_Student_Intern,0.04090969224893982
german,temporal_attention,0.1422591027007681
german,UWB,0.5151248349803339
german,UG_Student_Intern,-0.09482126807167833
german,temporal_attention,0.1544993696635493
german,UWB,0.25176869112778383
german,UG_Student_Intern,0.054074779382242255
german,temporal_attention,0.15944987763516302
german,UWB,0.28103652946545626
german,UG_Student_Intern,0.04711142751008229
german,temporal_attention,0.12000901742175697
german,UWB,0.3277127474835285
german,UG_Student_Intern,-0.015069128660846183
german,temporal_attention,0.09291722654413459
german,UWB,0.34071463105732724
german,UG_Student_Intern,-0.0659342380395147
german,temporal_attention,-0.02072685205697616
german,UWB,0.34218346309286096
german,UG_Student_Intern,-0.03459915461479485
german,temporal_attention,0.174029395617498
german,UWB,0.2873470670996012
german,UG_Student_Intern,0.00440649610660123
german,temporal_attention,0.1604835001786868
german,UWB,0.4166586874130719
german,UG_Student_Intern,0.13665578049113938
german,temporal_attention,0.1901321468218679
german,UWB,0.5130031887067852
german,UG_Student_Intern,-0.07855531330780464
german,temporal_attention,0.1315420689600219
german,UWB,0.3459915461479485
german,UG_Student_Intern,0.08530106043395962
german,temporal_attention,0.1251771301393757
german,UWB,0.321293407476381
german,UG_Student_Intern,-0.04477217649052855
german,temporal_attention,0.04700262513707979
german,UWB,0.37759863550517453
german,UG_Student_Intern,-0.01534113459335243
german,temporal_attention,0.17946951426762295
german,UWB,0.3580686095512259
german,UG_Student_Intern,-0.024643737485066142
german,temporal_attention,0.054509988874252256
german,UWB,0.3371241527482447
german,UG_Student_Intern,0.05238834260070352
german,temporal_attention,0.14601278456935435
german,UWB,0.31536367814774485
german,UG_Student_Intern,0.01321948831980369
german,temporal_attention,0.08589947348547336
german,UWB,0.4828649313850928
german,UG_Student_Intern,0.04401055987951106
german,temporal_attention,0.18251598071169292
german,UWB,0.48362654799611027
german,UG_Student_Intern,0.043684152760503546
german,temporal_attention,0.14057266591922937
german,UWB,0.4545219132179417
german,UG_Student_Intern,0.16331236187675177
german,temporal_attention,0.2115662143033603
german,UWB,0.4021335706172382
german,UG_Student_Intern,0.05886208379435224
german,temporal_attention,0.1956266666584941
german,UWB,0.20982537633532033
german,UG_Student_Intern,0.012022662216776196
german,temporal_attention,0.1481344308429031
german,UWB,0.37710902482666336
german,UG_Student_Intern,0.08486585094194962
german,temporal_attention,0.21319824989839778
german,UWB,0.3095427511921111
german,UG_Student_Intern,0.09716051909123206
german,temporal_attention,0.0871507007750021
german,UWB,0.4461441304967493
german,UG_Student_Intern,0.06305097515494847
german,temporal_attention,0.0991733629917783
german,UWB,0.3201509825598548
german,UG_Student_Intern,-0.10118620689232453
german,temporal_attention,0.1581986503456343
german,UWB,0.4269405116618081
german,UG_Student_Intern,0.06310537634144972
german,temporal_attention,0.09199240637361335
german,UWB,0.2839197923500225
german,UG_Student_Intern,0.011696255097768699
german,temporal_attention,0.01735397849389867
german,UWB,0.13714539116965063
german,UG_Student_Intern,-0.10912878012150702
german,temporal_attention,0.15177931033848682
german,UWB,0.4093689284219044
german,UG_Student_Intern,0.0988469558727708
german,temporal_attention,0.19948915090008287
german,UWB,0.34414190580690596
german,UG_Student_Intern,0.0659342380395147
german,temporal_attention,0.12914841675396693
german,UWB,0.4953772042803803
german,UG_Student_Intern,0.12795159065093945
german,temporal_attention,0.1460671857558556
german,UWB,0.3481675936079984
german,UG_Student_Intern,0.11239285131158201
german,temporal_attention,0.281417337770965
german,UWB,0.43678712641853434
german,UG_Student_Intern,0.06620624397202095
german,temporal_attention,0.15373775305253182
german,UWB,0.270101890978705
german,UG_Student_Intern,0.027690203929136126
german,temporal_attention,0.2093357656568091
german,UWB,0.3974550685781308
german,UG_Student_Intern,-0.00010880237300249951
german,temporal_attention,0.19350502038494538
german,UWB,0.37428016312859835
german,UG_Student_Intern,-0.03987606970541607
german,temporal_attention,0.18529044122325664
german,UWB,0.2749979977638175
german,UG_Student_Intern,-0.05815486836983599
german,temporal_attention,0.14514236558533433
german,UWB,0.3673712124429396
german,UG_Student_Intern,0.04814505005360603
german,temporal_attention,0.09253641823862582
german,UWB,0.32531909527747355
german,UG_Student_Intern,0.024317330366058643
german,temporal_attention,0.10434147570939702
german,UWB,0.458928409324543
german,UG_Student_Intern,-0.008540986280696211
german,temporal_attention,0.23931081941899768
german,UWB,0.21803995549700902
german,UG_Student_Intern,0.022032480533006153
german,temporal_attention,0.11435129402562698
german,UWB,0.3291815795190623
german,UG_Student_Intern,0.018115595104916168
german,temporal_attention,0.09395084908765831
german,UWB,0.4466337411752605
german,UG_Student_Intern,0.06685905821003595
german,temporal_attention,0.1315420689600219
german,UWB,0.4379295513350605
german,UG_Student_Intern,0.01088023730024995
