Language,Model,Spearman's Rho
english,temporal_attention,0.3469085359263647
english,temporal_attention,0.3386092886553991
english,temporal_attention,0.2227755088877783
english,temporal_attention,0.38034264636082643
english,temporal_attention,0.32544905369715355
english,temporal_attention,0.38105401041262355
english,temporal_attention,0.375125976647648
english,temporal_attention,0.33659375717530743
english,temporal_attention,0.4093900118092062
english,temporal_attention,0.4430612435942669
english,temporal_attention,0.43665896712809343
english,temporal_attention,0.40192068926533714
english,temporal_attention,0.37891991825723237
english,temporal_attention,0.20309443678805975
english,temporal_attention,0.2917778219120929
english,temporal_attention,0.2790918296550453
english,temporal_attention,0.2985357804041649
english,temporal_attention,0.35746043602802113
english,temporal_attention,0.39231727456607685
english,temporal_attention,0.45041200546283655
english,temporal_attention,0.3702649889603682
english,temporal_attention,0.3734661271934549
english,temporal_attention,0.40227637129123567
english,temporal_attention,0.22834786062685528
english,temporal_attention,0.3029225253902467
