Language,Model,Spearman's Rho
english,UWB,0.091
english,UG_Student_Intern,0.15531448464235742
english,temporal_attention,0.2905922151590977
english,UWB,-0.016
english,UG_Student_Intern,0.057857609546160635
english,temporal_attention,0.48811430020808055
english,UWB,0.071
english,UG_Student_Intern,0.13527773051674033
english,temporal_attention,0.37394036989465296
english,UWB,0.031
english,UG_Student_Intern,0.10219930210817718
english,temporal_attention,0.1887485950768191
english,UWB,0.128
english,UG_Student_Intern,0.18922283777801716
english,temporal_attention,0.18495465346723478
english,UWB,0.063
english,UG_Student_Intern,0.0899875525523277
english,temporal_attention,0.33754224257770354
english,UWB,0.342
english,UG_Student_Intern,0.18033078713055392
english,temporal_attention,0.2760092520972581
english,UWB,-0.072
english,UG_Student_Intern,0.1261485585186781
english,temporal_attention,0.30173691863725166
english,UWB,0.28
english,UG_Student_Intern,0.16290236786152604
english,temporal_attention,0.24530203719468513
english,UWB,0.13
english,UG_Student_Intern,0.08643073229334242
english,temporal_attention,0.25383840581624983
english,UWB,0.045
english,UG_Student_Intern,0.10575612236716245
english,temporal_attention,0.2800403150574414
english,UWB,0.2
english,UG_Student_Intern,-0.01588713049013427
english,temporal_attention,0.28762819827661
english,UWB,-0.084
english,UG_Student_Intern,0.1339735630884457
english,temporal_attention,0.23427589439183075
english,UWB,0.035
english,UG_Student_Intern,0.07457466476339147
english,temporal_attention,0.3358823931235104
english,UWB,0.063
english,UG_Student_Intern,-0.050625408352890554
english,temporal_attention,0.33031004138443343
english,UWB,0.275
english,UG_Student_Intern,0.02276364965750582
english,temporal_attention,0.3176240491273859
english,UWB,0.023
english,UG_Student_Intern,0.06188867250634396
english,temporal_attention,0.3597130888587118
english,UWB,0.314
english,UG_Student_Intern,-0.024779181137597486
english,temporal_attention,0.41626653097657784
english,UWB,0.069
english,UG_Student_Intern,-0.06829094897251747
english,temporal_attention,0.3470270966016643
english,UWB,0.037
english,UG_Student_Intern,0.13041674282946045
english,temporal_attention,0.4189934265084665
english,UWB,0.233
english,UG_Student_Intern,0.10457051561416737
english,temporal_attention,0.31039184793411584
english,UWB,0.078
english,UG_Student_Intern,0.17143873648309071
english,temporal_attention,0.33469678637051525
english,UWB,0.082
english,UG_Student_Intern,0.14333985643710698
english,temporal_attention,0.17392851066438042
english,UWB,-0.053
english,UG_Student_Intern,0.19503231086769313
english,temporal_attention,0.2719781891370748
english,UWB,0.161
english,UG_Student_Intern,0.04825419484690037
english,temporal_attention,0.4817120237419071
english,UWB,0.15
english,UG_Student_Intern,0.100065209952786
english,temporal_attention,0.39030174308598525
english,UWB,-0.062
english,UG_Student_Intern,0.19017132318041322
english,temporal_attention,0.4143695601717856
english,UWB,-0.005
english,UG_Student_Intern,-0.02975872950017688
english,temporal_attention,0.4476851099309478
english,UWB,0.094
english,UG_Student_Intern,0.020155314800916615
english,temporal_attention,0.299958508507759
english,UWB,0.205
english,UG_Student_Intern,0.06663109951832434
english,temporal_attention,0.3531922517172388
english,UWB,-0.026
english,UG_Student_Intern,0.08560080756624584
english,temporal_attention,0.30446381416914037
english,UWB,-0.217
english,UG_Student_Intern,-0.03450115651215726
english,temporal_attention,0.2507558282584626
english,UWB,0.192
english,UG_Student_Intern,0.07943565245067136
english,temporal_attention,0.2537198451409503
english,UWB,0.078
english,UG_Student_Intern,0.08014701650246842
english,temporal_attention,0.2421008989615984
english,UWB,0.364
english,UG_Student_Intern,0.14938645087738195
english,temporal_attention,0.12045764610430164
english,UWB,0.089
english,UG_Student_Intern,0.06769814559601992
english,temporal_attention,0.32948011665733684
english,UWB,0.078
english,UG_Student_Intern,0.1696603263535981
english,temporal_attention,0.36670816870138284
english,UWB,0.09
english,UG_Student_Intern,0.12496295176568299
english,temporal_attention,0.27304523521477037
english,UWB,0.064
english,UG_Student_Intern,0.050032604976393
english,temporal_attention,0.27873614762914684
english,UWB,0.022
english,UG_Student_Intern,0.14677811602079274
english,temporal_attention,0.39575553414976267
english,UWB,-0.002
english,UG_Student_Intern,0.07979133447656987
english,temporal_attention,0.3286501919302403
english,UWB,0.075
english,UG_Student_Intern,0.2346315764177293
english,temporal_attention,0.3706206709862666
english,UWB,0.047
english,UG_Student_Intern,0.15045349695507756
english,temporal_attention,0.25703954404933654
english,UWB,0.062
english,UG_Student_Intern,0.21649179309690433
english,temporal_attention,0.3911316678130818
english,UWB,0.182
english,UG_Student_Intern,0.09911672455038995
english,temporal_attention,0.5235639421226339
english,UWB,0.205
english,UG_Student_Intern,0.06912087369961403
english,temporal_attention,0.4823048271184046
english,UWB,0.03
english,UG_Student_Intern,-0.03402691381095922
english,temporal_attention,0.4583555707079037
english,UWB,0.055
english,UG_Student_Intern,0.028098880045983748
english,temporal_attention,0.2549054518939454
english,UWB,0.115
english,UG_Student_Intern,-0.06497125006413121
english,temporal_attention,0.2762463734478571
english,UWB,0.13
english,UG_Student_Intern,-0.024779181137597486
english,temporal_attention,0.269014172254587
english,UWB,0.18
english,UG_Student_Intern,-0.011026142802854381
english,temporal_attention,0.37405893056995243
english,UWB,0.054
english,UG_Student_Intern,0.0034382595836857746
english,temporal_attention,0.1753512387679745
english,UWB,0.156
english,UG_Student_Intern,-0.14061296090521824
english,temporal_attention,0.3731104451675563
english,UWB,-0.003
english,UG_Student_Intern,-0.07255913328329981
english,temporal_attention,0.4607267842138939
english,UWB,0.148
english,UG_Student_Intern,0.009840536049859287
english,temporal_attention,0.4061888735761195
english,UWB,0.028
english,UG_Student_Intern,0.03782085542054353
english,temporal_attention,0.19206829398520536
english,UWB,0.146
english,UG_Student_Intern,0.200130419905572
english,temporal_attention,0.30363388944204384
english,UWB,-0.067
english,UG_Student_Intern,0.17819669497516277
english,temporal_attention,0.1983520097760794
english,UWB,0.124
english,UG_Student_Intern,0.03948070487473666
english,temporal_attention,0.2347501370930288
english,UWB,0.063
english,UG_Student_Intern,0.009959096725158796
english,temporal_attention,0.3491611887570555
english,UWB,0.031
english,UG_Student_Intern,0.1409686429311168
english,temporal_attention,0.36789377545437796
english,UWB,-0.003
english,UG_Student_Intern,0.031181457603770994
english,temporal_attention,0.1862588208955294
english,UWB,-0.088
english,UG_Student_Intern,-0.008654929296864193
english,temporal_attention,0.3760744620500441
english,UWB,0.135
english,UG_Student_Intern,0.12923113607646536
english,temporal_attention,0.3823581778409181
english,UWB,0.034
english,UG_Student_Intern,-0.024897741812896994
english,temporal_attention,0.3607801349364073
english,UWB,0.08
english,UG_Student_Intern,0.11547809774172224
english,temporal_attention,0.4064259949267185
english,UWB,-0.074
english,UG_Student_Intern,0.10563756169186296
english,temporal_attention,0.28442706004352325
english,UWB,0.046
english,UG_Student_Intern,0.06354852196053708
english,temporal_attention,0.3912502284883813
english,UWB,0.167
english,UG_Student_Intern,0.07659019624348312
english,temporal_attention,0.2741122812924659
english,UWB,0.168
english,UG_Student_Intern,0.12674136189517562
english,temporal_attention,0.24044104950740522
english,UWB,-0.047
english,UG_Student_Intern,0.2138834582403151
english,temporal_attention,0.411879785990496
english,UWB,0.09
english,UG_Student_Intern,0.22040429538178813
english,temporal_attention,0.4786294461841198
english,UWB,0.164
english,UG_Student_Intern,0.1262671191939776
english,temporal_attention,0.4302566906619199
english,UWB,-0.063
english,UG_Student_Intern,-0.0035568202589852846
english,temporal_attention,0.29972138715715996
english,UWB,0.098
english,UG_Student_Intern,0.07801292434707723
english,temporal_attention,0.26261189578841354
english,UWB,0.132
english,UG_Student_Intern,0.10646748641895952
english,temporal_attention,0.2489774181289699
english,UWB,0.208
english,UG_Student_Intern,0.01778410129492642
english,temporal_attention,0.24814749340187334
english,UWB,0.153
english,UG_Student_Intern,0.048846998223397914
english,temporal_attention,0.5016302171922247
english,UWB,0.258
english,UG_Student_Intern,0.1339735630884457
english,temporal_attention,0.27019977900758213
english,UWB,0.075
english,UG_Student_Intern,0.1311281068812575
english,temporal_attention,0.37737862947833867
english,UWB,0.259
english,UG_Student_Intern,0.2099709559554313
english,temporal_attention,0.1499792542538795
english,UWB,-0.077
english,UG_Student_Intern,0.0412591150042293
english,temporal_attention,0.29675737027467225
english,UWB,0.095
english,UG_Student_Intern,0.12010196407840311
english,temporal_attention,0.3925543959166759
english,UWB,0.119
english,UG_Student_Intern,0.044104571211417525
english,temporal_attention,0.2946232781192811
english,UWB,-0.112
english,UG_Student_Intern,0.11725650787121489
english,temporal_attention,0.29675737027467225
english,UWB,0.104
english,UG_Student_Intern,0.050269726326992024
english,temporal_attention,0.3590017248069147
english,UWB,0.037
english,UG_Student_Intern,0.08216254798256008
english,temporal_attention,0.25099294960906154
english,UWB,0.066
english,UG_Student_Intern,-0.05157389375528663
english,temporal_attention,0.33315549759162166
english,UWB,0.096
english,UG_Student_Intern,-0.05275950050828172
english,temporal_attention,0.4157922882753798
english,UWB,-0.013
english,UG_Student_Intern,0.056909124143764554
english,temporal_attention,0.18175351523414804
english,UWB,-0.018
english,UG_Student_Intern,0.0787242883988743
english,temporal_attention,0.2287035426527538
english,UWB,0.059
english,UG_Student_Intern,-0.06283715790874003
english,temporal_attention,0.27162250711117625
english,UWB,0.104
english,UG_Student_Intern,-0.007113640517970569
english,temporal_attention,0.2883395623284071
english,UWB,0.058
english,UG_Student_Intern,-0.015294327113636723
english,temporal_attention,0.2719781891370748
english,UWB,0.053
english,UG_Student_Intern,0.08145118393076302
english,temporal_attention,0.2007232232820696
english,UWB,-0.069
english,UG_Student_Intern,-0.04801707349630134
english,temporal_attention,0.3192838985815791
english,UWB,0.053
english,UG_Student_Intern,0.03402691381095922
english,temporal_attention,0.34157330553788684
english,UWB,0.245
english,UG_Student_Intern,0.04789851282100183
english,temporal_attention,0.1574485767977486
english,UWB,0.082
english,UG_Student_Intern,-0.020985239528013178
english,temporal_attention,0.19752208504898283
english,UWB,0.461
english,UG_Student_Intern,0.06342996128523758
english,temporal_attention,0.26936985428048554
english,UWB,-0.17463987471617748
english,UG_Student_Intern,0.031537139629669524
english,temporal_attention,0.28905092638020413
english,UWB,-0.012804552932347025
english,UG_Student_Intern,0.02572766653999356
english,temporal_attention,0.19005276250511371
english,UWB,0.24103385288390278
english,UG_Student_Intern,0.1912383692581088
english,temporal_attention,0.3042266928185413
english,UWB,0.1599383509790383
english,UG_Student_Intern,0.04979548362579399
english,temporal_attention,0.20024898058087154
english,UWB,0.08571936824154536
english,UG_Student_Intern,0.06461556803823268
english,temporal_attention,0.2758906914219586
english,UWB,0.312763061440106
english,UG_Student_Intern,0.04114055432892979
english,temporal_attention,0.2922520646132909
english,UWB,-0.03082577557787246
english,UG_Student_Intern,0.11678226517001686
english,temporal_attention,0.5232082600967354
english,UWB,0.20570277164464898
english,UG_Student_Intern,-0.005809473089675964
english,temporal_attention,0.3961112161756612
english,UWB,0.0045053056613813605
english,UG_Student_Intern,0.17333570728788286
english,temporal_attention,0.3508210382112486
english,UWB,0.03699093069344696
english,UG_Student_Intern,-0.03450115651215726
english,temporal_attention,0.37477029462174954
english,UWB,0.006046594440274984
english,UG_Student_Intern,0.05323374320947976
english,temporal_attention,0.15377319586346383
english,UWB,0.24518347651938563
english,UG_Student_Intern,-0.01588713049013427
english,temporal_attention,0.23806983600141504
english,UWB,0.007469322543869099
english,UG_Student_Intern,0.13978303617812168
english,temporal_attention,0.2085482278518372
english,UWB,0.06236291520754199
english,UG_Student_Intern,-0.04351176783491999
english,temporal_attention,0.41045705788690184
english,UWB,0.04102199365363028
english,UG_Student_Intern,0.02786175869538473
english,temporal_attention,0.2671172014497949
english,UWB,0.08726065702043899
english,UG_Student_Intern,-0.112632641534534
english,temporal_attention,0.3089691198305217
english,UWB,0.19823344910077986
english,UG_Student_Intern,0.023712135059901895
english,temporal_attention,0.4763767933534291
english,UWB,0.23842551802731357
english,UG_Student_Intern,0.15341751383756527
english,temporal_attention,0.3715691563886627
english,UWB,0.06532693209002972
english,UG_Student_Intern,0.12342166298678937
english,temporal_attention,0.47661391470402814
english,UWB,0.15199478573397115
english,UG_Student_Intern,0.011856067529950947
english,temporal_attention,0.5120635566185815
english,UWB,0.13183947093305454
english,UG_Student_Intern,0.05536783536487093
english,temporal_attention,0.41792638043077096
english,UWB,-0.042563282432523906
english,UG_Student_Intern,0.04742427011980379
english,temporal_attention,0.1476080407478893
english,UWB,0.26201909241191595
english,UG_Student_Intern,0.02217084628100827
english,temporal_attention,0.2140020189156146
english,UWB,0.26723576212509437
english,UG_Student_Intern,0.08026557717776792
english,temporal_attention,0.31252594008950696
english,UWB,0.15282471046106771
english,UG_Student_Intern,0.013160234958245552
english,temporal_attention,0.20214595138566369
english,UWB,-0.18697018494732642
english,UG_Student_Intern,-0.06556405344062875
english,temporal_attention,0.37002786760976913
english,UWB,-0.15033493627977804
english,UG_Student_Intern,0.18199063658474707
english,temporal_attention,0.2575137867505346
english,UWB,0.04801707349630135
english,UG_Student_Intern,-0.010433339426356835
english,temporal_attention,0.16527358136751621
english,UWB,0.05465647131307387
english,UG_Student_Intern,0.0750489074645895
english,temporal_attention,0.10931294262614774
english,UWB,0.17155729715839024
english,UG_Student_Intern,0.19218685466050486
english,temporal_attention,0.36836801815557596
english,UWB,0.17831525565046227
english,UG_Student_Intern,0.06295571858403953
english,temporal_attention,0.46795898540716396
english,UWB,0.23024483143164745
english,UG_Student_Intern,0.020036754125617104
english,temporal_attention,0.3671824114025809
english,UWB,0.2276364965750582
english,UG_Student_Intern,-0.04363032851021949
english,temporal_attention,0.26320469916491107
english,UWB,0.0137530383347431
english,UG_Student_Intern,0.015057205763037705
english,temporal_attention,0.17950086240345736
english,UWB,0.22467247969257048
english,UG_Student_Intern,0.041851918380726855
english,temporal_attention,0.24530203719468513
english,UWB,0.2536012844656508
english,UG_Student_Intern,0.17274290391138533
