Language,Model,Spearman's Rho
english,temporal_attention,0.20700693907294357
english,temporal_attention,0.26652439807329736
english,temporal_attention,0.3420475482390849
english,temporal_attention,0.2010789053079681
english,temporal_attention,0.41780781975547143
english,temporal_attention,0.31667556372498984
english,temporal_attention,0.5270022017063196
english,temporal_attention,0.349753992133553
english,temporal_attention,0.2530084810891532
english,temporal_attention,0.23842551802731357
english,temporal_attention,0.3114588940118114
english,temporal_attention,0.17049025108069465
english,temporal_attention,0.23522437979422683
english,temporal_attention,0.30149979728665266
english,temporal_attention,0.2996028264818605
english,temporal_attention,0.2681842475274905
english,temporal_attention,0.28146304316103554
english,temporal_attention,0.3886418936317921
english,temporal_attention,0.36765665410377896
english,temporal_attention,0.28170016451163454
english,temporal_attention,0.37477029462174954
english,temporal_attention,0.24826605407717287
english,temporal_attention,0.2347501370930288
english,temporal_attention,0.1888671557521186
english,temporal_attention,0.16657774879581083
english,temporal_attention,0.2262137684714641
english,temporal_attention,0.3361195144741094
english,temporal_attention,0.3929100779425745
english,temporal_attention,0.3042266928185413
english,temporal_attention,0.3808168890620245
english,temporal_attention,0.29865434107946437
english,temporal_attention,0.32544905369715355
english,temporal_attention,0.24719900799947728
english,temporal_attention,0.4442468503472621
english,temporal_attention,0.37168771706396225
english,temporal_attention,0.3392020920318966
english,temporal_attention,0.3778528721795367
english,temporal_attention,0.2461319619217817
english,temporal_attention,0.45634003922781197
english,temporal_attention,0.32165511208756925
english,temporal_attention,0.2671172014497949
english,temporal_attention,0.36623392600018484
english,temporal_attention,0.5277135657581168
english,temporal_attention,0.29675737027467225
english,temporal_attention,0.1799751051046554
english,temporal_attention,0.3585274821057167
english,temporal_attention,0.34833126402995884
english,temporal_attention,0.4033434173689313
english,temporal_attention,0.2960460062228752
english,temporal_attention,0.37168771706396225
english,temporal_attention,0.38318810256801467
english,temporal_attention,0.3598316495340113
english,temporal_attention,0.375125976647648
english,temporal_attention,0.3744146125958509
english,temporal_attention,0.40085364318764155
english,temporal_attention,0.3598316495340113
english,temporal_attention,0.27731341952555266
english,temporal_attention,0.4167407736777758
english,temporal_attention,0.29320055001568696
english,temporal_attention,0.22656945049736263
english,temporal_attention,0.3108660906353139
english,temporal_attention,0.22431679766667195
english,temporal_attention,0.31098465131061337
english,temporal_attention,0.3263975390995496
english,temporal_attention,0.3235520828923614
english,temporal_attention,0.2635603811908096
english,temporal_attention,0.24957022150546748
english,temporal_attention,0.31027328725881637
english,temporal_attention,0.19420238614059657
english,temporal_attention,0.17155729715839024
english,temporal_attention,0.3964668982015598
english,temporal_attention,0.26261189578841354
english,temporal_attention,0.41721501637897385
english,temporal_attention,0.2798031937068424
english,temporal_attention,0.2933191106909865
english,temporal_attention,0.20321299746335925
english,temporal_attention,0.2608334856589209
english,temporal_attention,0.2659315946967998
english,temporal_attention,0.30387101079264284
english,temporal_attention,0.4367775278033929
english,temporal_attention,0.2526527990632547
english,temporal_attention,0.2062955750211465
english,temporal_attention,0.3895903790341882
english,temporal_attention,0.3392020920318966
english,temporal_attention,0.3249748109959555
english,temporal_attention,0.39575553414976267
english,temporal_attention,0.30849487712932366
english,temporal_attention,0.13717470132153248
english,temporal_attention,0.38129113176322255
english,temporal_attention,0.4405714694129772
english,temporal_attention,0.2916592612367933
english,temporal_attention,0.3731104451675563
english,temporal_attention,0.4143695601717856
english,temporal_attention,0.3070721490257296
english,temporal_attention,0.17333570728788286
english,temporal_attention,0.2722153104876738
english,temporal_attention,0.3702649889603682
english,temporal_attention,0.27565357007135954
english,temporal_attention,0.23723991127431848
english,temporal_attention,0.27055546103348066
english,temporal_attention,0.0724405726080003
english,temporal_attention,0.21483194364271116
english,temporal_attention,0.10267354480937521
english,temporal_attention,0.15590728801885498
english,temporal_attention,0.35449641914553337
english,temporal_attention,0.41140554328929796
english,temporal_attention,0.23712135059901895
english,temporal_attention,0.3912502284883813
english,temporal_attention,0.36374415181889513
english,temporal_attention,0.28822100165310754
english,temporal_attention,0.40986425451040426
english,temporal_attention,0.325093371671255
english,temporal_attention,0.25182287433615813
english,temporal_attention,0.3744146125958509
english,temporal_attention,0.3020926006631502
english,temporal_attention,0.350702477535949
english,temporal_attention,0.4261070670264371
english,temporal_attention,0.3840180272951112
english,temporal_attention,0.46807754608246344
english,temporal_attention,0.3073092703763286
english,temporal_attention,0.4467366245285518
english,temporal_attention,0.225265283069068
english,temporal_attention,0.21767739984989942
english,temporal_attention,0.38010552501022743
english,temporal_attention,0.3911316678130818
english,temporal_attention,0.4283597198571278
english,temporal_attention,0.3968225802274582
english,temporal_attention,0.32485625032065596
english,temporal_attention,0.23048195278224648
english,temporal_attention,0.24968878218076698
english,temporal_attention,0.21423914026621363
english,temporal_attention,0.23486869776832828
english,temporal_attention,0.34347027634267896
english,temporal_attention,0.21566186836980772
english,temporal_attention,0.406544555602018
english,temporal_attention,0.35639338995032555
english,temporal_attention,0.34216610891438437
english,temporal_attention,0.4661805752776713
english,temporal_attention,0.21032663798132983
english,temporal_attention,0.24091529220860328
english,temporal_attention,0.24079673153330378
english,temporal_attention,0.3908945464624828
english,temporal_attention,0.42658130972763514
english,temporal_attention,0.42136464001445667
english,temporal_attention,0.4789851282100183
english,temporal_attention,0.26616871604739883
english,temporal_attention,0.3871006048528985
english,temporal_attention,0.46321655839518355
english,temporal_attention,0.33090284476093096
english,temporal_attention,0.38911613633299014
english,temporal_attention,0.37299188449225684
english,temporal_attention,0.3479755820040603
english,temporal_attention,0.25786946877643313
english,temporal_attention,0.11784931124771245
english,temporal_attention,0.274823645344263
english,temporal_attention,0.34287747296618143
english,temporal_attention,0.1547216812658599
english,temporal_attention,0.2738751599418669
english,temporal_attention,0.40109076453824055
english,temporal_attention,0.5177544690329579
english,temporal_attention,0.3120516973883089
english,temporal_attention,0.5090995397360937
english,temporal_attention,0.26308613848961154
english,temporal_attention,0.32699034247604714
english,temporal_attention,0.2974687343264693
english,temporal_attention,0.17392851066438042
english,temporal_attention,0.2830043319399292
english,temporal_attention,0.45444306842301985
english,temporal_attention,0.47815520348292173
english,temporal_attention,0.33362974029281967
english,temporal_attention,0.30481949619503884
english,temporal_attention,0.31051040860941537
english,temporal_attention,0.47044875958845367
english,temporal_attention,0.37382180921935343
english,temporal_attention,0.30932480185642025
english,temporal_attention,0.5162131802540643
english,temporal_attention,0.2552611339198439
english,temporal_attention,0.27873614762914684
english,temporal_attention,0.07493034678928999
english,temporal_attention,0.3101547265835168
english,temporal_attention,0.2696069756310846
english,temporal_attention,0.31027328725881637
