Language,Model,Tokens,Spearman's Rho
english,UWB,250000,0.19515087154299265
english,UG_Student_Intern,250000,0.031181457603770994
english,temporal_attention,250000,0.2413895349098013
english,UWB,250000,0.20060466260677007
english,UG_Student_Intern,250000,-0.05501215333897239
english,temporal_attention,250000,0.45527299315011643
english,UWB,250000,0.1851917748178338
english,UG_Student_Intern,250000,0.03651668799224892
english,temporal_attention,250000,0.5217855319931413
english,UWB,250000,0.11251408085923452
english,UG_Student_Intern,250000,-0.05513071401427191
english,temporal_attention,250000,0.35912028548221425
english,UWB,250000,0.206651257047045
english,UG_Student_Intern,250000,0.09947240657628846
english,temporal_attention,250000,0.40524038817372343
english,UWB,250000,0.28525698477061984
english,UG_Student_Intern,250000,-0.11168415613213795
english,temporal_attention,250000,0.2972316129758703
english,UWB,250000,0.1276898472975717
english,UG_Student_Intern,250000,0.0825182300084586
english,temporal_attention,250000,0.45503587179951743
english,UWB,250000,0.07481178611399049
english,UG_Student_Intern,250000,0.051218211729388105
english,temporal_attention,250000,0.3936214419943715
english,UWB,250000,0.03734661271934549
english,UG_Student_Intern,250000,-0.05252237915768271
english,temporal_attention,250000,0.2968759309499718
english,UWB,250000,0.12567431581748006
english,UG_Student_Intern,250000,0.09899816387509043
english,temporal_attention,250000,0.3140672288684006
english,UWB,750000,0.19657359964658672
english,UG_Student_Intern,750000,0.21803308187579792
english,temporal_attention,750000,0.3918430318648789
english,UWB,750000,0.08050269852836694
english,UG_Student_Intern,750000,0.3395577740577952
english,temporal_attention,750000,0.4702116382378546
english,UWB,750000,0.23937400342970966
english,UG_Student_Intern,750000,0.1983520097760794
english,temporal_attention,750000,0.3761930227253436
english,UWB,750000,0.09046179525352574
english,UG_Student_Intern,750000,0.21613611107100578
english,temporal_attention,750000,0.37951272163372984
english,UWB,750000,0.1163080224688188
english,UG_Student_Intern,750000,0.25431264851744784
english,temporal_attention,750000,0.06686822086892336
english,UWB,750000,0.19550655356889116
english,UG_Student_Intern,750000,0.15163910370807265
english,temporal_attention,750000,0.20416148286575533
english,UWB,750000,0.0974568750961968
english,UG_Student_Intern,750000,0.2711482644099782
english,temporal_attention,750000,0.39136878916368084
english,UWB,750000,0.23759559330021704
english,UG_Student_Intern,750000,0.13409212376374524
english,temporal_attention,750000,0.43227222214201155
english,UWB,750000,0.15709289477185004
english,UG_Student_Intern,750000,0.06188867250634396
english,temporal_attention,750000,0.47602111132753056
english,UWB,750000,0.1914754906087078
english,UG_Student_Intern,750000,0.19384670411469804
english,temporal_attention,750000,0.35639338995032555
english,UWB,1250000,0.3252119323465545
english,UG_Student_Intern,1250000,0.2725709925135723
english,temporal_attention,1250000,0.29794297702766737
english,UWB,1250000,0.21317209418851807
english,UG_Student_Intern,1250000,0.17226866121018727
english,temporal_attention,1250000,0.25028158555726454
english,UWB,1250000,0.3488055067311569
