Language,Model,Spearman's Rho
english,UWB,0.1448811452160006
english,UG_Student_Intern,0.09544134361610514
english,temporal_attention,0.29901002310536295
english,UWB,0.12579287649277957
english,UG_Student_Intern,-0.023949256410500917
english,temporal_attention,0.18199063658474707
english,UWB,0.08666785364394143
english,UG_Student_Intern,0.042326161081924885
english,temporal_attention,0.42421009622164496
english,UWB,0.193846704114698
english,UG_Student_Intern,0.04137767567952881
english,temporal_attention,0.31643844237439084
english,UWB,0.23190468088584054
english,UG_Student_Intern,0.11559665841702176
english,temporal_attention,0.5064912048795045
english,UWB,0.18436185009073727
english,UG_Student_Intern,0.0017784101294926423
english,temporal_attention,0.33943921338249566
english,UWB,-0.02584622721529307
english,UG_Student_Intern,0.05928033764975474
english,temporal_attention,0.31667556372498984
english,UWB,0.025964787890592575
english,UG_Student_Intern,0.04967692295049447
english,temporal_attention,0.3208251873604726
english,UWB,0.07161064788090374
english,UG_Student_Intern,-0.004979548362579398
english,temporal_attention,0.2962831275734742
english,UWB,0.13100954620595798
english,UG_Student_Intern,0.03936214419943715
english,temporal_attention,0.26913273292988654
english,UWB,0.1633766105627241
english,UG_Student_Intern,0.051218211729388105
english,temporal_attention,0.3370679998765055
english,UWB,0.2711482644099782
english,UG_Student_Intern,0.10800877519785314
english,temporal_attention,0.07789436367177774
english,UWB,0.08607505026744389
english,UG_Student_Intern,0.03770229474524402
english,temporal_attention,0.3515324022630456
english,UWB,0.2424565809874969
english,UG_Student_Intern,0.16693343082170936
english,temporal_attention,0.49819195760853885
english,UWB,0.0599917017015518
english,UG_Student_Intern,0.0863121716180429
english,temporal_attention,0.31631988169909125
english,UWB,0.21163080540962445
english,UG_Student_Intern,0.06686822086892336
english,temporal_attention,0.443772607646064
english,UWB,0.15152054303277313
english,UG_Student_Intern,0.09046179525352574
english,temporal_attention,0.20878534920243622
english,UWB,0.2660501553720993
english,UG_Student_Intern,0.14903076885148342
english,temporal_attention,0.32106230871107166
english,UWB,0.20914103122833472
english,UG_Student_Intern,0.17226866121018727
english,temporal_attention,0.31062896928471484
english,UWB,-0.055367835364870936
english,UG_Student_Intern,-0.006046594440274984
english,temporal_attention,0.31169601536241043
english,UWB,0.188037231025022
english,UG_Student_Intern,0.0412591150042293
english,temporal_attention,0.174995556742076
english,UWB,0.029165926123679332
english,UG_Student_Intern,0.09022467390292672
english,temporal_attention,0.30659790632453154
english,UWB,0.0925958874089169
english,UG_Student_Intern,0.14606675196899568
english,temporal_attention,0.3983638690063519
english,UWB,0.06568261411592825
english,UG_Student_Intern,-0.043986010536118024
english,temporal_attention,0.4046475847972259
english,UWB,0.16740767352290742
english,UG_Student_Intern,-0.12662280121987612
english,temporal_attention,0.32900587395613884
english,UWB,0.06070306575334886
english,UG_Student_Intern,-0.08382239743675321
english,temporal_attention,0.3967040195521588
english,UWB,0.2099709559554313
english,UG_Student_Intern,0.026913273292988652
english,temporal_attention,0.35165096293834514
english,UWB,0.14594819129369618
english,UG_Student_Intern,0.26925129360518607
english,temporal_attention,0.5641116930750661
english,UWB,0.31560851764729425
english,UG_Student_Intern,0.04635722404210821
